# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	0.000000e+00
2.000000e-04	0.000000e+00
2.500000e-04	0.000000e+00
3.000000e-04	0.000000e+00
3.500000e-04	0.000000e+00
4.000000e-04	0.000000e+00
4.500000e-04	0.000000e+00
5.000000e-04	0.000000e+00
5.500000e-04	0.000000e+00
6.000000e-04	0.000000e+00
6.500000e-04	0.000000e+00
7.000000e-04	5.664900e-03
7.500000e-04	4.672200e-02
8.000000e-04	8.384200e-02
8.500000e-04	1.175700e-01
9.000000e-04	1.483500e-01
9.500000e-04	1.765400e-01
1.000000e-03	2.024500e-01
1.500000e-03	3.782700e-01
2.000000e-03	5.285900e-01
2.500000e-03	6.274200e-01
3.000000e-03	6.898600e-01
3.500000e-03	7.301700e-01
4.000000e-03	7.561800e-01
4.500000e-03	7.725300e-01
5.000000e-03	7.821800e-01
5.500000e-03	7.870600e-01
6.000000e-03	7.884700e-01
6.500000e-03	7.873500e-01
7.000000e-03	7.843600e-01
7.500000e-03	7.799700e-01
8.000000e-03	7.745500e-01
8.500000e-03	7.683700e-01
9.000000e-03	7.616300e-01
9.500000e-03	7.544800e-01
1.000000e-02	7.470500e-01
1.500000e-02	6.704000e-01
2.000000e-02	6.032500e-01
2.500000e-02	5.479900e-01
3.000000e-02	5.024400e-01
3.500000e-02	4.644300e-01
4.000000e-02	4.322500e-01
4.500000e-02	4.046500e-01
5.000000e-02	3.807100e-01
5.500000e-02	3.597200e-01
6.000000e-02	3.411600e-01
6.500000e-02	3.246100e-01
7.000000e-02	3.097500e-01
7.500000e-02	2.963400e-01
8.000000e-02	2.841500e-01
8.500000e-02	2.730300e-01
9.000000e-02	2.628300e-01
9.500000e-02	2.534400e-01
1.000000e-01	2.447700e-01
1.500000e-01	1.840100e-01
2.000000e-01	1.488500e-01
2.500000e-01	1.256700e-01
3.000000e-01	1.091300e-01
3.500000e-01	9.668900e-02
4.000000e-01	8.689200e-02
4.500000e-01	7.897900e-02
5.000000e-01	7.251400e-02
5.500000e-01	6.712300e-02
6.000000e-01	6.255200e-02
6.500000e-01	5.862300e-02
7.000000e-01	5.520500e-02
7.500000e-01	5.220200e-02
8.000000e-01	4.954200e-02
8.500000e-01	4.716600e-02
9.000000e-01	4.503100e-02
9.500000e-01	4.310000e-02
1.000000e+00	4.134500e-02
1.500000e+00	2.924000e-02
2.000000e+00	2.269700e-02
2.500000e+00	1.862900e-02
3.000000e+00	1.584300e-02
3.500000e+00	1.381000e-02
4.000000e+00	1.225800e-02
4.500000e+00	1.103300e-02
5.000000e+00	1.003900e-02
5.500000e+00	9.218300e-03
6.000000e+00	8.535900e-03
6.500000e+00	7.969000e-03
7.000000e+00	7.487800e-03
7.500000e+00	7.067700e-03
8.000000e+00	6.695100e-03
8.500000e+00	6.362500e-03
9.000000e+00	6.064800e-03
9.500000e+00	5.798000e-03
1.000000e+01	5.558300e-03
1.500000e+01	4.099900e-03
2.000000e+01	3.446300e-03
2.500000e+01	3.083600e-03
3.000000e+01	2.851900e-03
3.500000e+01	2.689500e-03
4.000000e+01	2.568500e-03
4.500000e+01	2.475000e-03
5.000000e+01	2.401700e-03
5.500000e+01	2.343900e-03
6.000000e+01	2.298700e-03
6.500000e+01	2.263600e-03
7.000000e+01	2.236800e-03
7.500000e+01	2.216600e-03
8.000000e+01	2.201800e-03
8.500000e+01	2.191200e-03
9.000000e+01	2.183700e-03
9.500000e+01	2.178600e-03
1.000000e+02	2.175200e-03
1.500000e+02	2.159300e-03
2.000000e+02	2.129700e-03
2.500000e+02	2.123900e-03
3.000000e+02	2.161800e-03
3.500000e+02	2.236300e-03
4.000000e+02	2.331300e-03
4.500000e+02	2.431600e-03
5.000000e+02	2.526700e-03
5.500000e+02	2.611400e-03
6.000000e+02	2.685400e-03
6.500000e+02	2.751100e-03
7.000000e+02	2.811900e-03
7.500000e+02	2.870200e-03
8.000000e+02	2.926400e-03
8.500000e+02	2.977700e-03
9.000000e+02	3.017600e-03
9.500000e+02	3.035400e-03
1.000000e+03	3.017100e-03
