# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	0.000000e+00
2.500000e-01	0.000000e+00
3.000000e-01	0.000000e+00
3.500000e-01	0.000000e+00
4.000000e-01	0.000000e+00
4.500000e-01	9.010000e-07
5.000000e-01	2.834400e-06
5.500000e-01	4.884500e-06
6.000000e-01	6.950900e-06
6.500000e-01	8.977900e-06
7.000000e-01	1.093600e-05
7.500000e-01	1.281200e-05
8.000000e-01	1.460100e-05
8.500000e-01	1.630200e-05
9.000000e-01	1.791900e-05
9.500000e-01	1.945500e-05
1.000000e+00	2.091600e-05
1.500000e+00	3.237200e-05
2.000000e+00	4.024200e-05
2.500000e+00	4.616400e-05
3.000000e+00	5.088600e-05
3.500000e+00	5.479800e-05
4.000000e+00	5.812900e-05
4.500000e+00	6.102200e-05
5.000000e+00	6.357400e-05
5.500000e+00	6.585100e-05
6.000000e+00	6.790500e-05
6.500000e+00	6.977000e-05
7.000000e+00	7.147500e-05
7.500000e+00	7.304400e-05
8.000000e+00	7.449300e-05
8.500000e+00	7.583700e-05
9.000000e+00	7.708800e-05
9.500000e+00	7.825500e-05
1.000000e+01	7.934900e-05
1.500000e+01	8.736000e-05
2.000000e+01	9.210700e-05
2.500000e+01	9.502100e-05
3.000000e+01	9.678100e-05
3.500000e+01	9.777600e-05
4.000000e+01	9.825700e-05
4.500000e+01	9.839200e-05
5.000000e+01	9.829900e-05
5.500000e+01	9.805800e-05
6.000000e+01	9.772700e-05
6.500000e+01	9.734400e-05
7.000000e+01	9.693600e-05
7.500000e+01	9.652200e-05
8.000000e+01	9.611100e-05
8.500000e+01	9.571300e-05
9.000000e+01	9.533100e-05
9.500000e+01	9.496800e-05
1.000000e+02	9.462500e-05
