# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	0.000000e+00
2.000000e-04	0.000000e+00
2.500000e-04	0.000000e+00
3.000000e-04	0.000000e+00
3.500000e-04	3.706300e-02
4.000000e-04	1.089700e-01
4.500000e-04	1.701400e-01
5.000000e-04	2.229900e-01
5.500000e-04	2.692100e-01
6.000000e-04	3.100600e-01
6.500000e-04	3.464500e-01
7.000000e-04	3.791100e-01
7.500000e-04	4.086000e-01
8.000000e-04	4.353600e-01
8.500000e-04	4.597600e-01
9.000000e-04	4.821000e-01
9.500000e-04	5.026100e-01
1.000000e-03	5.215200e-01
1.500000e-03	6.508400e-01
2.000000e-03	7.194200e-01
2.500000e-03	7.584800e-01
3.000000e-03	7.809800e-01
3.500000e-03	7.933400e-01
4.000000e-03	7.991500e-01
4.500000e-03	8.005800e-01
5.000000e-03	7.989900e-01
5.500000e-03	7.952800e-01
6.000000e-03	7.900900e-01
6.500000e-03	7.838400e-01
7.000000e-03	7.768500e-01
7.500000e-03	7.693500e-01
8.000000e-03	7.615000e-01
8.500000e-03	7.534200e-01
9.000000e-03	7.452200e-01
9.500000e-03	7.369600e-01
1.000000e-02	7.286900e-01
1.500000e-02	6.512200e-01
2.000000e-02	5.872800e-01
2.500000e-02	5.353500e-01
3.000000e-02	4.926300e-01
3.500000e-02	4.569200e-01
4.000000e-02	4.265900e-01
4.500000e-02	4.005000e-01
5.000000e-02	3.777800e-01
5.500000e-02	3.577900e-01
6.000000e-02	3.400600e-01
6.500000e-02	3.242000e-01
7.000000e-02	3.099300e-01
7.500000e-02	2.970100e-01
8.000000e-02	2.852400e-01
8.500000e-02	2.744700e-01
9.000000e-02	2.645800e-01
9.500000e-02	2.554500e-01
1.000000e-01	2.470100e-01
1.500000e-01	1.873500e-01
2.000000e-01	1.524100e-01
2.500000e-01	1.292000e-01
3.000000e-01	1.125300e-01
3.500000e-01	9.993700e-02
4.000000e-01	9.004800e-02
4.500000e-01	8.207200e-02
5.000000e-01	7.551700e-02
5.500000e-01	7.002000e-02
6.000000e-01	6.533800e-02
6.500000e-01	6.131000e-02
7.000000e-01	5.781500e-02
7.500000e-01	5.474200e-02
8.000000e-01	5.201400e-02
8.500000e-01	4.957600e-02
9.000000e-01	4.738300e-02
9.500000e-01	4.539700e-02
1.000000e+00	4.359000e-02
1.500000e+00	3.135700e-02
2.000000e+00	2.452600e-02
2.500000e+00	2.009800e-02
3.000000e+00	1.707100e-02
3.500000e+00	1.486400e-02
4.000000e+00	1.318200e-02
4.500000e+00	1.185400e-02
5.000000e+00	1.078000e-02
5.500000e+00	9.890900e-03
6.000000e+00	9.143200e-03
6.500000e+00	8.505000e-03
7.000000e+00	7.953700e-03
7.500000e+00	7.472500e-03
8.000000e+00	7.048700e-03
8.500000e+00	6.672400e-03
9.000000e+00	6.336100e-03
9.500000e+00	6.033500e-03
1.000000e+01	5.759900e-03
1.500000e+01	3.992500e-03
2.000000e+01	3.081200e-03
2.500000e+01	2.522600e-03
3.000000e+01	2.144200e-03
3.500000e+01	1.870500e-03
4.000000e+01	1.663000e-03
4.500000e+01	1.500100e-03
5.000000e+01	1.368800e-03
5.500000e+01	1.260700e-03
6.000000e+01	1.170000e-03
6.500000e+01	1.092900e-03
7.000000e+01	1.026500e-03
7.500000e+01	9.686800e-04
8.000000e+01	9.178900e-04
8.500000e+01	8.729200e-04
9.000000e+01	8.328100e-04
9.500000e+01	7.968100e-04
1.000000e+02	7.643200e-04
1.500000e+02	5.563600e-04
2.000000e+02	4.508600e-04
2.500000e+02	3.870800e-04
3.000000e+02	3.444300e-04
3.500000e+02	3.139500e-04
4.000000e+02	2.911100e-04
4.500000e+02	2.734000e-04
5.000000e+02	2.592900e-04
5.500000e+02	2.477900e-04
6.000000e+02	2.382700e-04
6.500000e+02	2.302600e-04
7.000000e+02	2.234400e-04
7.500000e+02	2.175700e-04
8.000000e+02	2.124700e-04
8.500000e+02	2.080000e-04
9.000000e+02	2.040600e-04
9.500000e+02	2.005700e-04
1.000000e+03	1.974500e-04
