# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	3.691900e-05
4.500000e-02	3.504500e-05
5.000000e-02	3.340600e-05
5.500000e-02	3.196500e-05
6.000000e-02	3.068900e-05
6.500000e-02	2.993600e-05
7.000000e-02	2.949500e-05
7.500000e-02	2.905300e-05
8.000000e-02	2.861900e-05
8.500000e-02	2.820000e-05
9.000000e-02	2.779900e-05
9.500000e-02	2.741600e-05
1.000000e-01	2.705200e-05
1.500000e-01	2.432100e-05
2.000000e-01	2.271100e-05
2.500000e-01	2.172600e-05
3.000000e-01	2.111100e-05
3.500000e-01	2.072900e-05
4.000000e-01	2.050000e-05
4.500000e-01	2.037600e-05
5.000000e-01	2.032600e-05
5.500000e-01	2.032800e-05
6.000000e-01	2.036900e-05
6.500000e-01	2.043900e-05
7.000000e-01	2.053000e-05
7.500000e-01	2.063700e-05
8.000000e-01	2.075700e-05
8.500000e-01	2.088500e-05
9.000000e-01	2.102000e-05
9.500000e-01	2.116000e-05
1.000000e+00	2.130400e-05
1.500000e+00	2.277200e-05
2.000000e+00	2.434800e-05
2.500000e+00	2.989500e-05
3.000000e+00	3.644000e-05
3.500000e+00	4.233700e-05
4.000000e+00	4.738900e-05
4.500000e+00	5.169100e-05
5.000000e+00	5.537900e-05
5.500000e+00	5.857100e-05
6.000000e+00	6.136400e-05
6.500000e+00	6.383100e-05
7.000000e+00	6.602900e-05
7.500000e+00	6.800300e-05
8.000000e+00	6.978700e-05
8.500000e+00	7.141000e-05
9.000000e+00	7.289300e-05
9.500000e+00	7.425400e-05
1.000000e+01	7.550900e-05
1.500000e+01	8.414900e-05
2.000000e+01	8.876600e-05
2.500000e+01	9.130900e-05
3.000000e+01	9.262000e-05
3.500000e+01	9.315900e-05
4.000000e+01	9.321100e-05
4.500000e+01	9.296200e-05
5.000000e+01	9.253500e-05
5.500000e+01	9.201100e-05
6.000000e+01	9.144400e-05
6.500000e+01	9.086800e-05
7.000000e+01	9.030400e-05
7.500000e+01	8.976600e-05
8.000000e+01	8.925800e-05
8.500000e+01	8.878500e-05
9.000000e+01	8.834700e-05
9.500000e+01	8.794200e-05
1.000000e+02	8.757000e-05
