# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.779200e+00
1.500000e-04	2.912800e+00
2.000000e-04	2.952700e+00
2.500000e-04	2.950100e+00
3.000000e-04	2.925900e+00
3.500000e-04	2.890100e+00
4.000000e-04	2.848200e+00
4.500000e-04	2.803100e+00
5.000000e-04	2.756700e+00
5.500000e-04	2.710000e+00
6.000000e-04	2.663700e+00
6.500000e-04	2.618300e+00
7.000000e-04	2.574000e+00
7.500000e-04	2.530900e+00
8.000000e-04	2.489100e+00
8.500000e-04	2.448600e+00
9.000000e-04	2.409500e+00
9.500000e-04	2.371600e+00
1.000000e-03	2.335100e+00
1.500000e-03	2.030500e+00
2.000000e-03	1.807200e+00
2.500000e-03	1.636100e+00
3.000000e-03	1.500100e+00
3.500000e-03	1.427300e+00
4.000000e-03	1.365700e+00
4.500000e-03	1.311300e+00
5.000000e-03	1.262900e+00
5.500000e-03	1.219300e+00
6.000000e-03	1.179900e+00
6.500000e-03	1.143900e+00
7.000000e-03	1.110800e+00
7.500000e-03	1.080300e+00
8.000000e-03	1.052000e+00
8.500000e-03	1.025700e+00
9.000000e-03	1.001100e+00
9.500000e-03	9.780900e-01
1.000000e-02	9.564300e-01
1.500000e-02	7.926500e-01
2.000000e-02	6.855500e-01
2.500000e-02	6.083000e-01
3.000000e-02	5.492100e-01
3.500000e-02	5.021700e-01
4.000000e-02	4.636300e-01
4.500000e-02	4.313400e-01
5.000000e-02	4.038300e-01
5.500000e-02	3.804600e-01
6.000000e-02	3.601500e-01
6.500000e-02	3.422200e-01
7.000000e-02	3.262500e-01
7.500000e-02	3.119100e-01
8.000000e-02	2.989600e-01
8.500000e-02	2.871900e-01
9.000000e-02	2.764400e-01
9.500000e-02	2.665700e-01
1.000000e-01	2.574800e-01
1.500000e-01	1.942800e-01
2.000000e-01	1.560000e-01
2.500000e-01	1.309400e-01
3.000000e-01	1.132200e-01
3.500000e-01	1.000300e-01
4.000000e-01	8.979000e-02
4.500000e-01	8.157900e-02
5.000000e-01	7.483500e-02
5.500000e-01	6.918900e-02
6.000000e-01	6.438800e-02
6.500000e-01	6.025100e-02
7.000000e-01	5.662600e-02
7.500000e-01	5.342700e-02
8.000000e-01	5.059900e-02
8.500000e-01	4.807800e-02
9.000000e-01	4.581700e-02
9.500000e-01	4.377300e-02
1.000000e+00	4.187600e-02
1.500000e+00	2.948900e-02
2.000000e+00	2.298900e-02
2.500000e+00	1.881400e-02
3.000000e+00	1.595900e-02
3.500000e+00	1.388600e-02
4.000000e+00	1.236500e-02
4.500000e+00	1.116200e-02
5.000000e+00	1.016300e-02
5.500000e+00	9.337000e-03
6.000000e+00	8.652400e-03
6.500000e+00	8.076900e-03
7.000000e+00	7.584300e-03
7.500000e+00	7.155700e-03
8.000000e+00	6.777600e-03
8.500000e+00	6.440300e-03
9.000000e+00	6.136800e-03
9.500000e+00	5.862000e-03
1.000000e+01	5.612000e-03
1.500000e+01	3.994200e-03
2.000000e+01	3.201200e-03
2.500000e+01	2.737500e-03
3.000000e+01	2.422600e-03
3.500000e+01	2.184800e-03
4.000000e+01	1.994800e-03
4.500000e+01	1.839000e-03
5.000000e+01	1.709800e-03
5.500000e+01	1.601800e-03
6.000000e+01	1.510700e-03
6.500000e+01	1.433300e-03
7.000000e+01	1.366900e-03
7.500000e+01	1.309500e-03
8.000000e+01	1.259500e-03
8.500000e+01	1.215400e-03
9.000000e+01	1.176200e-03
9.500000e+01	1.141200e-03
1.000000e+02	1.109600e-03
1.500000e+02	9.016000e-04
2.000000e+02	7.886000e-04
2.500000e+02	7.233800e-04
3.000000e+02	6.883000e-04
3.500000e+02	6.721700e-04
4.000000e+02	6.672100e-04
4.500000e+02	6.682100e-04
5.000000e+02	6.718500e-04
5.500000e+02	6.762600e-04
6.000000e+02	6.805400e-04
6.500000e+02	6.844000e-04
7.000000e+02	6.878400e-04
7.500000e+02	6.908400e-04
8.000000e+02	6.933300e-04
8.500000e+02	6.950000e-04
9.000000e+02	6.953500e-04
9.500000e+02	6.936600e-04
1.000000e+03	6.890900e-04
