# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	6.333600e-07
5.000000e-02	1.291800e-06
5.500000e-02	1.782600e-06
6.000000e-02	2.156200e-06
6.500000e-02	2.445500e-06
7.000000e-02	2.672900e-06
7.500000e-02	2.853700e-06
8.000000e-02	2.999200e-06
8.500000e-02	3.117100e-06
9.000000e-02	3.213600e-06
9.500000e-02	3.293100e-06
1.000000e-01	3.359000e-06
1.500000e-01	3.649100e-06
2.000000e-01	3.719400e-06
2.500000e-01	3.752500e-06
3.000000e-01	3.783700e-06
3.500000e-01	3.820300e-06
4.000000e-01	3.862900e-06
4.500000e-01	3.910600e-06
5.000000e-01	3.962100e-06
5.500000e-01	4.016400e-06
6.000000e-01	4.072600e-06
6.500000e-01	4.130000e-06
7.000000e-01	4.188100e-06
7.500000e-01	4.246500e-06
8.000000e-01	4.304900e-06
8.500000e-01	4.580000e-06
9.000000e-01	4.983300e-06
9.500000e-01	5.459500e-06
1.000000e+00	5.989000e-06
1.500000e+00	1.283100e-05
2.000000e+00	2.013400e-05
2.500000e+00	2.643500e-05
3.000000e+00	3.175900e-05
3.500000e+00	3.629900e-05
4.000000e+00	4.022300e-05
4.500000e+00	4.366200e-05
5.000000e+00	4.671200e-05
5.500000e+00	4.944300e-05
6.000000e+00	5.191000e-05
6.500000e+00	5.415600e-05
7.000000e+00	5.621300e-05
7.500000e+00	5.810700e-05
8.000000e+00	5.985900e-05
8.500000e+00	6.148800e-05
9.000000e+00	6.300700e-05
9.500000e+00	6.442800e-05
1.000000e+01	6.576200e-05
1.500000e+01	7.571500e-05
2.000000e+01	8.195700e-05
2.500000e+01	8.615400e-05
3.000000e+01	8.906000e-05
3.500000e+01	9.108900e-05
4.000000e+01	9.249900e-05
4.500000e+01	9.346400e-05
5.000000e+01	9.410600e-05
5.500000e+01	9.451300e-05
6.000000e+01	9.474800e-05
6.500000e+01	9.485800e-05
7.000000e+01	9.487900e-05
7.500000e+01	9.483700e-05
8.000000e+01	9.474900e-05
8.500000e+01	9.463000e-05
9.000000e+01	9.449100e-05
9.500000e+01	9.433900e-05
1.000000e+02	9.417900e-05
