# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	3.210400e-01
1.500000e-04	3.926200e-01
2.000000e-04	4.346700e-01
2.500000e-04	4.615600e-01
3.000000e-04	4.794700e-01
3.500000e-04	4.916000e-01
4.000000e-04	4.997600e-01
4.500000e-04	5.051200e-01
5.000000e-04	5.084100e-01
5.500000e-04	5.101700e-01
6.000000e-04	5.107500e-01
6.500000e-04	5.104300e-01
7.000000e-04	5.094000e-01
7.500000e-04	5.078200e-01
8.000000e-04	5.058000e-01
8.500000e-04	5.409200e-01
9.000000e-04	5.736300e-01
9.500000e-04	6.031700e-01
1.000000e-03	6.299500e-01
1.500000e-03	8.128500e-01
2.000000e-03	9.368900e-01
2.500000e-03	1.001900e+00
3.000000e-03	1.036000e+00
3.500000e-03	1.052100e+00
4.000000e-03	1.057400e+00
4.500000e-03	1.055600e+00
5.000000e-03	1.049400e+00
5.500000e-03	1.040200e+00
6.000000e-03	1.029100e+00
6.500000e-03	1.016800e+00
7.000000e-03	1.003600e+00
7.500000e-03	9.899700e-01
8.000000e-03	9.761200e-01
8.500000e-03	9.622100e-01
9.000000e-03	9.483600e-01
9.500000e-03	9.346400e-01
1.000000e-02	9.211300e-01
1.500000e-02	8.013900e-01
2.000000e-02	7.090300e-01
2.500000e-02	6.370800e-01
3.000000e-02	5.796100e-01
3.500000e-02	5.326200e-01
4.000000e-02	4.934200e-01
4.500000e-02	4.601700e-01
5.000000e-02	4.315800e-01
5.500000e-02	4.066900e-01
6.000000e-02	3.848100e-01
6.500000e-02	3.654000e-01
7.000000e-02	3.480500e-01
7.500000e-02	3.324400e-01
8.000000e-02	3.183100e-01
8.500000e-02	3.054400e-01
9.000000e-02	2.936800e-01
9.500000e-02	2.828800e-01
1.000000e-01	2.729200e-01
1.500000e-01	2.038800e-01
2.000000e-01	1.644400e-01
2.500000e-01	1.386100e-01
3.000000e-01	1.202600e-01
3.500000e-01	1.064700e-01
4.000000e-01	9.550400e-02
4.500000e-01	8.667000e-02
5.000000e-01	7.944000e-02
5.500000e-01	7.341900e-02
6.000000e-01	6.832100e-02
6.500000e-01	6.394300e-02
7.000000e-01	6.014000e-02
7.500000e-01	5.680300e-02
8.000000e-01	5.384900e-02
8.500000e-01	5.121400e-02
9.000000e-01	4.884700e-02
9.500000e-01	4.670900e-02
1.000000e+00	4.476700e-02
1.500000e+00	3.156600e-02
2.000000e+00	2.445000e-02
2.500000e+00	2.003500e-02
3.000000e+00	1.701800e-02
3.500000e+00	1.483200e-02
4.000000e+00	1.317600e-02
4.500000e+00	1.187100e-02
5.000000e+00	1.081400e-02
5.500000e+00	9.941300e-03
6.000000e+00	9.217100e-03
6.500000e+00	8.616600e-03
7.000000e+00	8.107800e-03
7.500000e+00	7.664200e-03
8.000000e+00	7.271100e-03
8.500000e+00	6.920600e-03
9.000000e+00	6.607300e-03
9.500000e+00	6.326600e-03
1.000000e+01	6.074700e-03
1.500000e+01	4.547900e-03
2.000000e+01	3.865200e-03
2.500000e+01	3.483000e-03
3.000000e+01	3.236000e-03
3.500000e+01	3.061100e-03
4.000000e+01	2.929900e-03
4.500000e+01	2.827900e-03
5.000000e+01	2.747400e-03
5.500000e+01	2.683300e-03
6.000000e+01	2.632400e-03
6.500000e+01	2.592100e-03
7.000000e+01	2.560400e-03
7.500000e+01	2.535600e-03
8.000000e+01	2.516300e-03
8.500000e+01	2.501400e-03
9.000000e+01	2.489800e-03
9.500000e+01	2.480800e-03
1.000000e+02	2.473600e-03
1.500000e+02	2.428300e-03
2.000000e+02	2.382600e-03
2.500000e+02	2.370300e-03
3.000000e+02	2.408100e-03
3.500000e+02	2.486000e-03
4.000000e+02	2.586300e-03
4.500000e+02	2.692600e-03
5.000000e+02	2.793600e-03
5.500000e+02	2.883800e-03
6.000000e+02	2.962800e-03
6.500000e+02	3.033100e-03
7.000000e+02	3.098000e-03
7.500000e+02	3.160200e-03
8.000000e+02	3.220000e-03
8.500000e+02	3.274300e-03
9.000000e+02	3.316300e-03
9.500000e+02	3.335000e-03
1.000000e+03	3.315900e-03
