# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	9.367500e-01
1.500000e-04	1.242600e+00
2.000000e-04	1.445000e+00
2.500000e-04	1.572000e+00
3.000000e-04	1.655300e+00
3.500000e-04	1.711200e+00
4.000000e-04	1.748800e+00
4.500000e-04	1.773700e+00
5.000000e-04	1.795300e+00
5.500000e-04	1.827000e+00
6.000000e-04	1.851300e+00
6.500000e-04	1.869700e+00
7.000000e-04	1.883500e+00
7.500000e-04	1.893600e+00
8.000000e-04	1.900600e+00
8.500000e-04	1.905100e+00
9.000000e-04	1.907600e+00
9.500000e-04	1.908500e+00
1.000000e-03	1.907900e+00
1.500000e-03	1.860500e+00
2.000000e-03	1.787300e+00
2.500000e-03	1.712800e+00
3.000000e-03	1.642900e+00
3.500000e-03	1.578700e+00
4.000000e-03	1.520300e+00
4.500000e-03	1.466900e+00
5.000000e-03	1.418100e+00
5.500000e-03	1.373300e+00
6.000000e-03	1.332000e+00
6.500000e-03	1.293800e+00
7.000000e-03	1.258400e+00
7.500000e-03	1.225300e+00
8.000000e-03	1.194400e+00
8.500000e-03	1.165500e+00
9.000000e-03	1.138300e+00
9.500000e-03	1.112700e+00
1.000000e-02	1.088500e+00
1.500000e-02	9.031500e-01
2.000000e-02	7.804000e-01
2.500000e-02	6.915700e-01
3.000000e-02	6.236000e-01
3.500000e-02	5.695300e-01
4.000000e-02	5.252800e-01
4.500000e-02	4.882700e-01
5.000000e-02	4.567600e-01
5.500000e-02	4.295600e-01
6.000000e-02	4.058200e-01
6.500000e-02	3.848800e-01
7.000000e-02	3.662600e-01
7.500000e-02	3.495700e-01
8.000000e-02	3.345000e-01
8.500000e-02	3.208300e-01
9.000000e-02	3.083600e-01
9.500000e-02	2.969300e-01
1.000000e-01	2.864100e-01
1.500000e-01	2.137200e-01
2.000000e-01	1.720300e-01
2.500000e-01	1.449100e-01
3.000000e-01	1.257400e-01
3.500000e-01	1.113900e-01
4.000000e-01	9.999800e-02
4.500000e-01	9.085000e-02
5.000000e-01	8.333700e-02
5.500000e-01	7.704700e-02
6.000000e-01	7.169800e-02
6.500000e-01	6.706900e-02
7.000000e-01	6.302400e-02
7.500000e-01	5.945400e-02
8.000000e-01	5.629500e-02
8.500000e-01	5.347900e-02
9.000000e-01	5.095200e-02
9.500000e-01	4.867200e-02
1.000000e+00	4.660200e-02
1.500000e+00	3.304200e-02
2.000000e+00	2.588200e-02
2.500000e+00	2.118500e-02
3.000000e+00	1.795800e-02
3.500000e+00	1.563200e-02
4.000000e+00	1.390100e-02
4.500000e+00	1.255000e-02
5.000000e+00	1.145800e-02
5.500000e+00	1.055700e-02
6.000000e+00	9.802800e-03
6.500000e+00	9.162700e-03
7.000000e+00	8.613500e-03
7.500000e+00	8.137200e-03
8.000000e+00	7.719800e-03
8.500000e+00	7.350700e-03
9.000000e+00	7.021700e-03
9.500000e+00	6.726400e-03
1.000000e+01	6.459800e-03
1.500000e+01	4.756300e-03
2.000000e+01	3.898800e-03
2.500000e+01	3.375600e-03
3.000000e+01	3.012900e-03
3.500000e+01	2.740300e-03
4.000000e+01	2.526200e-03
4.500000e+01	2.353600e-03
5.000000e+01	2.211900e-03
5.500000e+01	2.093500e-03
6.000000e+01	1.993000e-03
6.500000e+01	1.906500e-03
7.000000e+01	1.830800e-03
7.500000e+01	1.763900e-03
8.000000e+01	1.704000e-03
8.500000e+01	1.649800e-03
9.000000e+01	1.600400e-03
9.500000e+01	1.555100e-03
1.000000e+02	1.513200e-03
1.500000e+02	1.223300e-03
2.000000e+02	1.072300e-03
2.500000e+02	9.902100e-04
3.000000e+02	9.416500e-04
3.500000e+02	9.098100e-04
4.000000e+02	8.878800e-04
4.500000e+02	8.734500e-04
5.000000e+02	8.653500e-04
5.500000e+02	8.623300e-04
6.000000e+02	8.625700e-04
6.500000e+02	8.638300e-04
7.000000e+02	8.638100e-04
7.500000e+02	8.607400e-04
8.000000e+02	8.540100e-04
8.500000e+02	8.445900e-04
9.000000e+02	8.352600e-04
9.500000e+02	8.306600e-04
1.000000e+03	8.376900e-04
