# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.019100e-01
1.500000e-04	1.360400e-01
2.000000e-04	3.153100e-01
2.500000e-04	4.422300e-01
3.000000e-04	5.431600e-01
3.500000e-04	6.486100e-01
4.000000e-04	7.340600e-01
4.500000e-04	8.047300e-01
5.000000e-04	8.641100e-01
5.500000e-04	9.181300e-01
6.000000e-04	9.695500e-01
6.500000e-04	1.014300e+00
7.000000e-04	1.053600e+00
7.500000e-04	1.088200e+00
8.000000e-04	1.119000e+00
8.500000e-04	1.146300e+00
9.000000e-04	1.170700e+00
9.500000e-04	1.192600e+00
1.000000e-03	1.212300e+00
1.500000e-03	1.329400e+00
2.000000e-03	1.370800e+00
2.500000e-03	1.379400e+00
3.000000e-03	1.371800e+00
3.500000e-03	1.355600e+00
4.000000e-03	1.334900e+00
4.500000e-03	1.311800e+00
5.000000e-03	1.287500e+00
5.500000e-03	1.263000e+00
6.000000e-03	1.238600e+00
6.500000e-03	1.214500e+00
7.000000e-03	1.191100e+00
7.500000e-03	1.168300e+00
8.000000e-03	1.146200e+00
8.500000e-03	1.124800e+00
9.000000e-03	1.104300e+00
9.500000e-03	1.084400e+00
1.000000e-02	1.065200e+00
1.500000e-02	9.073600e-01
2.000000e-02	7.939300e-01
2.500000e-02	7.084800e-01
3.000000e-02	6.415500e-01
3.500000e-02	5.875300e-01
4.000000e-02	5.428700e-01
4.500000e-02	5.052500e-01
5.000000e-02	4.730700e-01
5.500000e-02	4.451600e-01
6.000000e-02	4.207200e-01
6.500000e-02	3.990900e-01
7.000000e-02	3.798200e-01
7.500000e-02	3.625100e-01
8.000000e-02	3.468700e-01
8.500000e-02	3.326600e-01
9.000000e-02	3.196800e-01
9.500000e-02	3.077700e-01
1.000000e-01	2.968100e-01
1.500000e-01	2.209200e-01
2.000000e-01	1.776000e-01
2.500000e-01	1.493300e-01
3.000000e-01	1.294600e-01
3.500000e-01	1.146400e-01
4.000000e-01	1.031300e-01
4.500000e-01	9.393300e-02
5.000000e-01	8.638900e-02
5.500000e-01	8.008000e-02
6.000000e-01	7.472300e-02
6.500000e-01	7.011300e-02
7.000000e-01	6.609900e-02
7.500000e-01	6.242800e-02
8.000000e-01	5.910500e-02
8.500000e-01	5.614200e-02
9.000000e-01	5.348300e-02
9.500000e-01	5.108300e-02
1.000000e+00	4.890400e-02
1.500000e+00	3.437200e-02
2.000000e+00	2.658800e-02
2.500000e+00	2.173500e-02
3.000000e+00	1.842600e-02
3.500000e+00	1.601900e-02
4.000000e+00	1.419100e-02
4.500000e+00	1.275100e-02
5.000000e+00	1.159100e-02
5.500000e+00	1.065600e-02
6.000000e+00	9.889500e-03
6.500000e+00	9.239600e-03
7.000000e+00	8.677000e-03
7.500000e+00	8.185500e-03
8.000000e+00	7.754100e-03
8.500000e+00	7.373700e-03
9.000000e+00	7.036600e-03
9.500000e+00	6.736400e-03
1.000000e+01	6.467900e-03
1.500000e+01	4.810600e-03
2.000000e+01	4.015100e-03
2.500000e+01	3.555600e-03
3.000000e+01	3.253800e-03
3.500000e+01	3.032800e-03
4.000000e+01	2.858600e-03
4.500000e+01	2.715700e-03
5.000000e+01	2.596500e-03
5.500000e+01	2.496400e-03
6.000000e+01	2.412200e-03
6.500000e+01	2.341300e-03
7.000000e+01	2.281400e-03
7.500000e+01	2.230600e-03
8.000000e+01	2.187200e-03
8.500000e+01	2.149900e-03
9.000000e+01	2.117500e-03
9.500000e+01	2.089000e-03
1.000000e+02	2.063600e-03
1.500000e+02	1.888100e-03
2.000000e+02	1.767800e-03
2.500000e+02	1.694100e-03
3.000000e+02	1.664300e-03
3.500000e+02	1.666100e-03
4.000000e+02	1.686500e-03
4.500000e+02	1.715500e-03
5.000000e+02	1.746300e-03
5.500000e+02	1.775200e-03
6.000000e+02	1.800500e-03
6.500000e+02	1.821900e-03
7.000000e+02	1.839400e-03
7.500000e+02	1.853400e-03
8.000000e+02	1.863900e-03
8.500000e+02	1.870800e-03
9.000000e+02	1.873400e-03
9.500000e+02	1.870900e-03
1.000000e+03	1.862500e-03
