# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	3.919100e-07
5.500000e-02	2.178400e-06
6.000000e-02	3.553100e-06
6.500000e-02	4.630000e-06
7.000000e-02	5.486500e-06
7.500000e-02	6.176500e-06
8.000000e-02	6.738800e-06
8.500000e-02	7.201700e-06
9.000000e-02	7.586000e-06
9.500000e-02	7.907800e-06
1.000000e-01	8.179100e-06
1.500000e-01	9.486700e-06
2.000000e-01	9.899500e-06
2.500000e-01	1.027800e-05
3.000000e-01	1.091400e-05
3.500000e-01	1.145100e-05
4.000000e-01	1.193500e-05
4.500000e-01	1.238900e-05
5.000000e-01	1.282300e-05
5.500000e-01	1.324100e-05
6.000000e-01	1.364600e-05
6.500000e-01	1.404000e-05
7.000000e-01	1.442400e-05
7.500000e-01	1.479900e-05
8.000000e-01	1.516400e-05
8.500000e-01	1.552100e-05
9.000000e-01	1.590000e-05
9.500000e-01	1.658000e-05
1.000000e+00	1.739900e-05
1.500000e+00	2.745600e-05
2.000000e+00	3.617500e-05
2.500000e+00	4.301400e-05
3.000000e+00	4.849100e-05
3.500000e+00	5.300300e-05
4.000000e+00	5.681400e-05
4.500000e+00	6.009700e-05
5.000000e+00	6.297000e-05
5.500000e+00	6.551800e-05
6.000000e+00	6.780100e-05
6.500000e+00	6.986400e-05
7.000000e+00	7.174200e-05
7.500000e+00	7.346100e-05
8.000000e+00	7.504500e-05
8.500000e+00	7.650900e-05
9.000000e+00	7.786800e-05
9.500000e+00	7.913400e-05
1.000000e+01	8.031600e-05
1.500000e+01	8.892500e-05
2.000000e+01	9.401400e-05
2.500000e+01	9.717800e-05
3.000000e+01	9.915300e-05
3.500000e+01	1.003500e-04
4.000000e+01	1.010300e-04
4.500000e+01	1.013700e-04
5.000000e+01	1.014700e-04
5.500000e+01	1.014200e-04
6.000000e+01	1.012800e-04
6.500000e+01	1.010700e-04
7.000000e+01	1.008400e-04
7.500000e+01	1.005900e-04
8.000000e+01	1.003300e-04
8.500000e+01	1.000800e-04
9.000000e+01	9.983000e-05
9.500000e+01	9.959300e-05
1.000000e+02	9.936900e-05
