# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	8.169200e-01
1.500000e-04	9.280800e-01
2.000000e-04	9.949700e-01
2.500000e-04	1.038600e+00
3.000000e-04	1.068300e+00
3.500000e-04	1.088800e+00
4.000000e-04	1.103100e+00
4.500000e-04	1.125600e+00
5.000000e-04	1.182700e+00
5.500000e-04	1.230800e+00
6.000000e-04	1.271600e+00
6.500000e-04	1.306600e+00
7.000000e-04	1.336700e+00
7.500000e-04	1.362800e+00
8.000000e-04	1.385500e+00
8.500000e-04	1.405300e+00
9.000000e-04	1.422600e+00
9.500000e-04	1.437800e+00
1.000000e-03	1.451200e+00
1.500000e-03	1.520100e+00
2.000000e-03	1.530400e+00
2.500000e-03	1.517600e+00
3.000000e-03	1.494500e+00
3.500000e-03	1.466600e+00
4.000000e-03	1.436800e+00
4.500000e-03	1.406500e+00
5.000000e-03	1.376300e+00
5.500000e-03	1.346900e+00
6.000000e-03	1.318300e+00
6.500000e-03	1.290700e+00
7.000000e-03	1.264100e+00
7.500000e-03	1.238600e+00
8.000000e-03	1.214100e+00
8.500000e-03	1.190600e+00
9.000000e-03	1.168100e+00
9.500000e-03	1.146400e+00
1.000000e-02	1.125700e+00
1.500000e-02	9.567600e-01
2.000000e-02	8.368400e-01
2.500000e-02	7.469000e-01
3.000000e-02	6.765900e-01
3.500000e-02	6.198800e-01
4.000000e-02	5.730200e-01
4.500000e-02	5.335600e-01
5.000000e-02	4.997900e-01
5.500000e-02	4.705100e-01
6.000000e-02	4.448500e-01
6.500000e-02	4.221600e-01
7.000000e-02	4.019100e-01
7.500000e-02	3.837300e-01
8.000000e-02	3.672900e-01
8.500000e-02	3.523500e-01
9.000000e-02	3.387500e-01
9.500000e-02	3.263000e-01
1.000000e-01	3.148400e-01
1.500000e-01	2.354100e-01
2.000000e-01	1.900400e-01
2.500000e-01	1.603300e-01
3.000000e-01	1.389200e-01
3.500000e-01	1.228100e-01
4.000000e-01	1.103900e-01
4.500000e-01	1.005500e-01
5.000000e-01	9.249000e-02
5.500000e-01	8.575900e-02
6.000000e-01	8.004300e-02
6.500000e-01	7.512200e-02
7.000000e-01	7.083700e-02
7.500000e-01	6.706700e-02
8.000000e-01	6.372200e-02
8.500000e-01	6.073300e-02
9.000000e-01	5.804300e-02
9.500000e-01	5.560900e-02
1.000000e+00	5.339400e-02
1.500000e+00	3.768100e-02
2.000000e+00	2.918400e-02
2.500000e+00	2.391000e-02
3.000000e+00	2.030900e-02
3.500000e+00	1.769000e-02
4.000000e+00	1.569600e-02
4.500000e+00	1.412600e-02
5.000000e+00	1.285700e-02
5.500000e+00	1.180800e-02
6.000000e+00	1.093500e-02
6.500000e+00	1.020900e-02
7.000000e+00	9.600200e-03
7.500000e+00	9.072700e-03
8.000000e+00	8.604900e-03
8.500000e+00	8.186300e-03
9.000000e+00	7.810600e-03
9.500000e+00	7.473200e-03
1.000000e+01	7.169900e-03
1.500000e+01	5.348900e-03
2.000000e+01	4.563600e-03
2.500000e+01	4.122600e-03
3.000000e+01	3.834900e-03
3.500000e+01	3.637500e-03
4.000000e+01	3.499800e-03
4.500000e+01	3.403200e-03
5.000000e+01	3.335100e-03
5.500000e+01	3.287100e-03
6.000000e+01	3.253400e-03
6.500000e+01	3.229800e-03
7.000000e+01	3.213500e-03
7.500000e+01	3.202500e-03
8.000000e+01	3.195300e-03
8.500000e+01	3.190800e-03
9.000000e+01	3.188300e-03
9.500000e+01	3.187200e-03
1.000000e+02	3.187100e-03
1.500000e+02	3.201100e-03
2.000000e+02	3.227300e-03
2.500000e+02	3.287600e-03
3.000000e+02	3.389900e-03
3.500000e+02	3.526200e-03
4.000000e+02	3.682500e-03
4.500000e+02	3.845000e-03
5.000000e+02	4.003000e-03
5.500000e+02	4.150200e-03
6.000000e+02	4.284300e-03
6.500000e+02	4.405800e-03
7.000000e+02	4.516300e-03
7.500000e+02	4.617700e-03
8.000000e+02	4.710700e-03
8.500000e+02	4.793700e-03
9.000000e+02	4.861900e-03
9.500000e+02	4.906700e-03
1.000000e+03	4.916300e-03
