# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	1.531200e-06
5.000000e-02	9.934000e-06
5.500000e-02	1.589400e-05
6.000000e-02	2.028500e-05
6.500000e-02	2.361600e-05
7.000000e-02	2.619900e-05
7.500000e-02	2.823900e-05
8.000000e-02	2.987400e-05
8.500000e-02	3.120100e-05
9.000000e-02	3.229000e-05
9.500000e-02	3.319200e-05
1.000000e-01	3.394700e-05
1.500000e-01	3.774000e-05
2.000000e-01	3.940500e-05
2.500000e-01	4.096900e-05
3.000000e-01	4.265200e-05
3.500000e-01	4.404300e-05
4.000000e-01	4.527600e-05
4.500000e-01	4.641100e-05
5.000000e-01	4.748000e-05
5.500000e-01	4.850200e-05
6.000000e-01	4.948500e-05
6.500000e-01	5.043500e-05
7.000000e-01	5.135500e-05
7.500000e-01	5.224800e-05
8.000000e-01	5.311600e-05
8.500000e-01	5.396100e-05
9.000000e-01	5.478300e-05
9.500000e-01	5.558300e-05
1.000000e+00	5.636200e-05
1.500000e+00	6.319200e-05
2.000000e+00	6.867800e-05
2.500000e+00	7.322500e-05
3.000000e+00	7.708900e-05
3.500000e+00	8.043400e-05
4.000000e+00	8.337600e-05
4.500000e+00	8.599300e-05
5.000000e+00	8.834500e-05
5.500000e+00	9.047500e-05
6.000000e+00	9.241800e-05
6.500000e+00	9.420100e-05
7.000000e+00	9.584400e-05
7.500000e+00	9.736600e-05
8.000000e+00	9.878000e-05
8.500000e+00	1.001000e-04
9.000000e+00	1.013300e-04
9.500000e+00	1.024900e-04
1.000000e+01	1.035700e-04
1.500000e+01	1.116400e-04
2.000000e+01	1.165400e-04
2.500000e+01	1.196400e-04
3.000000e+01	1.216000e-04
3.500000e+01	1.228000e-04
4.000000e+01	1.234900e-04
4.500000e+01	1.238300e-04
5.000000e+01	1.239300e-04
5.500000e+01	1.238800e-04
6.000000e+01	1.237200e-04
6.500000e+01	1.235000e-04
7.000000e+01	1.232500e-04
7.500000e+01	1.229700e-04
8.000000e+01	1.226800e-04
8.500000e+01	1.224000e-04
9.000000e+01	1.221200e-04
9.500000e+01	1.218500e-04
1.000000e+02	1.216000e-04
