# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	2.043400e-06
6.500000e-02	4.100300e-06
7.000000e-02	5.758000e-06
7.500000e-02	7.112500e-06
8.000000e-02	8.232400e-06
8.500000e-02	9.168200e-06
9.000000e-02	9.957600e-06
9.500000e-02	1.062900e-05
1.000000e-01	1.120500e-05
1.500000e-01	1.421000e-05
2.000000e-01	1.533700e-05
2.500000e-01	1.597200e-05
3.000000e-01	1.644400e-05
3.500000e-01	1.685600e-05
4.000000e-01	1.724400e-05
4.500000e-01	1.762200e-05
5.000000e-01	1.799400e-05
5.500000e-01	1.836200e-05
6.000000e-01	1.872600e-05
6.500000e-01	1.908600e-05
7.000000e-01	1.944000e-05
7.500000e-01	1.978900e-05
8.000000e-01	2.013300e-05
8.500000e-01	2.047100e-05
9.000000e-01	2.080300e-05
9.500000e-01	2.112900e-05
1.000000e+00	2.144800e-05
1.500000e+00	2.726900e-05
2.000000e+00	3.552100e-05
2.500000e+00	4.263000e-05
3.000000e+00	4.849300e-05
3.500000e+00	5.337700e-05
4.000000e+00	5.751600e-05
4.500000e+00	6.108400e-05
5.000000e+00	6.420500e-05
5.500000e+00	6.697000e-05
6.000000e+00	6.944500e-05
6.500000e+00	7.167900e-05
7.000000e+00	7.371200e-05
7.500000e+00	7.557200e-05
8.000000e+00	7.728500e-05
8.500000e+00	7.886800e-05
9.000000e+00	8.033900e-05
9.500000e+00	8.170900e-05
1.000000e+01	8.299000e-05
1.500000e+01	9.237400e-05
2.000000e+01	9.804100e-05
2.500000e+01	1.016800e-04
3.000000e+01	1.040600e-04
3.500000e+01	1.056000e-04
4.000000e+01	1.065600e-04
4.500000e+01	1.071400e-04
5.000000e+01	1.074400e-04
5.500000e+01	1.075600e-04
6.000000e+01	1.075400e-04
6.500000e+01	1.074500e-04
7.000000e+01	1.073000e-04
7.500000e+01	1.071200e-04
8.000000e+01	1.069200e-04
8.500000e+01	1.067100e-04
9.000000e+01	1.065000e-04
9.500000e+01	1.062900e-04
1.000000e+02	1.060800e-04
