# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	2.409100e-05
4.500000e-02	2.529100e-05
5.000000e-02	2.651000e-05
5.500000e-02	2.727000e-05
6.000000e-02	2.772800e-05
6.500000e-02	2.798400e-05
7.000000e-02	2.810000e-05
7.500000e-02	2.812200e-05
8.000000e-02	2.807700e-05
8.500000e-02	2.798600e-05
9.000000e-02	2.786500e-05
9.500000e-02	2.772200e-05
1.000000e-01	2.756700e-05
1.500000e-01	2.595800e-05
2.000000e-01	2.479300e-05
2.500000e-01	2.405600e-05
3.000000e-01	2.361100e-05
3.500000e-01	2.336500e-05
4.000000e-01	2.325500e-05
4.500000e-01	2.324000e-05
5.000000e-01	2.329300e-05
5.500000e-01	2.339500e-05
6.000000e-01	2.353400e-05
6.500000e-01	2.369900e-05
7.000000e-01	2.388300e-05
7.500000e-01	2.408100e-05
8.000000e-01	2.428900e-05
8.500000e-01	2.450500e-05
9.000000e-01	2.472600e-05
9.500000e-01	2.495000e-05
1.000000e+00	2.517600e-05
1.500000e+00	3.095500e-05
2.000000e+00	4.002700e-05
2.500000e+00	4.764700e-05
3.000000e+00	5.377000e-05
3.500000e+00	5.876300e-05
4.000000e+00	6.292400e-05
4.500000e+00	6.646300e-05
5.000000e+00	6.952500e-05
5.500000e+00	7.221300e-05
6.000000e+00	7.460100e-05
6.500000e+00	7.674200e-05
7.000000e+00	7.867800e-05
7.500000e+00	8.044000e-05
8.000000e+00	8.205400e-05
8.500000e+00	8.353900e-05
9.000000e+00	8.491200e-05
9.500000e+00	8.618500e-05
1.000000e+01	8.736900e-05
1.500000e+01	9.584500e-05
2.000000e+01	1.006800e-04
2.500000e+01	1.035600e-04
3.000000e+01	1.052300e-04
3.500000e+01	1.061400e-04
4.000000e+01	1.065400e-04
4.500000e+01	1.066200e-04
5.000000e+01	1.064900e-04
5.500000e+01	1.062400e-04
6.000000e+01	1.059200e-04
6.500000e+01	1.055600e-04
7.000000e+01	1.051900e-04
7.500000e+01	1.048200e-04
8.000000e+01	1.044700e-04
8.500000e+01	1.041300e-04
9.000000e+01	1.038000e-04
9.500000e+01	1.035000e-04
1.000000e+02	1.032200e-04
