# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	3.678900e-07
5.500000e-02	2.252700e-06
6.000000e-02	3.708700e-06
6.500000e-02	4.854300e-06
7.000000e-02	5.769600e-06
7.500000e-02	6.510800e-06
8.000000e-02	7.117900e-06
8.500000e-02	7.620400e-06
9.000000e-02	8.040200e-06
9.500000e-02	8.393700e-06
1.000000e-01	8.693700e-06
1.500000e-01	1.018500e-05
2.000000e-01	1.069100e-05
2.500000e-01	1.096600e-05
3.000000e-01	1.118000e-05
3.500000e-01	1.138000e-05
4.000000e-01	1.157900e-05
4.500000e-01	1.228200e-05
5.000000e-01	1.361800e-05
5.500000e-01	1.502400e-05
6.000000e-01	1.645200e-05
6.500000e-01	1.787500e-05
7.000000e-01	1.927700e-05
7.500000e-01	2.064700e-05
8.000000e-01	2.198000e-05
8.500000e-01	2.327300e-05
9.000000e-01	2.452600e-05
9.500000e-01	2.573800e-05
1.000000e+00	2.691100e-05
1.500000e+00	3.676700e-05
2.000000e+00	4.418400e-05
2.500000e+00	5.007600e-05
3.000000e+00	5.494200e-05
3.500000e+00	5.907400e-05
4.000000e+00	6.265500e-05
4.500000e+00	6.581000e-05
5.000000e+00	6.862200e-05
5.500000e+00	7.115600e-05
6.000000e+00	7.345800e-05
6.500000e+00	7.556400e-05
7.000000e+00	7.750100e-05
7.500000e+00	7.929300e-05
8.000000e+00	8.095800e-05
8.500000e+00	8.251100e-05
9.000000e+00	8.396500e-05
9.500000e+00	8.532900e-05
1.000000e+01	8.661200e-05
1.500000e+01	9.630800e-05
2.000000e+01	1.025000e-04
2.500000e+01	1.067300e-04
3.000000e+01	1.097100e-04
3.500000e+01	1.118400e-04
4.000000e+01	1.133500e-04
4.500000e+01	1.144300e-04
5.000000e+01	1.151800e-04
5.500000e+01	1.156900e-04
6.000000e+01	1.160200e-04
6.500000e+01	1.162200e-04
7.000000e+01	1.163300e-04
7.500000e+01	1.163700e-04
8.000000e+01	1.163500e-04
8.500000e+01	1.163000e-04
9.000000e+01	1.162300e-04
9.500000e+01	1.161300e-04
1.000000e+02	1.160200e-04
