# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	9.595500e-01
1.500000e-04	1.209400e+00
2.000000e-04	1.356800e+00
2.500000e-04	1.451700e+00
3.000000e-04	1.515500e+00
3.500000e-04	1.589300e+00
4.000000e-04	1.703500e+00
4.500000e-04	1.795000e+00
5.000000e-04	1.869100e+00
5.500000e-04	1.930000e+00
6.000000e-04	1.980300e+00
6.500000e-04	2.022100e+00
7.000000e-04	2.057000e+00
7.500000e-04	2.086200e+00
8.000000e-04	2.110600e+00
8.500000e-04	2.130900e+00
9.000000e-04	2.147900e+00
9.500000e-04	2.161900e+00
1.000000e-03	2.173500e+00
1.500000e-03	2.205600e+00
2.000000e-03	2.169200e+00
2.500000e-03	2.111300e+00
3.000000e-03	2.047300e+00
3.500000e-03	1.983200e+00
4.000000e-03	1.921100e+00
4.500000e-03	1.862100e+00
5.000000e-03	1.806400e+00
5.500000e-03	1.754100e+00
6.000000e-03	1.704800e+00
6.500000e-03	1.658600e+00
7.000000e-03	1.615100e+00
7.500000e-03	1.574100e+00
8.000000e-03	1.535400e+00
8.500000e-03	1.498900e+00
9.000000e-03	1.464300e+00
9.500000e-03	1.431600e+00
1.000000e-02	1.400500e+00
1.500000e-02	1.158300e+00
2.000000e-02	9.957000e-01
2.500000e-02	8.777800e-01
3.000000e-02	7.877000e-01
3.500000e-02	7.162900e-01
4.000000e-02	6.580700e-01
4.500000e-02	6.095500e-01
5.000000e-02	5.684100e-01
5.500000e-02	5.330100e-01
6.000000e-02	5.022000e-01
6.500000e-02	4.750900e-01
7.000000e-02	4.510300e-01
7.500000e-02	4.295200e-01
8.000000e-02	4.101600e-01
8.500000e-02	3.926300e-01
9.000000e-02	3.766700e-01
9.500000e-02	3.620700e-01
1.000000e-01	3.486600e-01
1.500000e-01	2.572100e-01
2.000000e-01	2.061500e-01
2.500000e-01	1.731200e-01
3.000000e-01	1.498400e-01
3.500000e-01	1.323900e-01
4.000000e-01	1.183800e-01
4.500000e-01	1.072500e-01
5.000000e-01	9.817400e-02
5.500000e-01	9.062500e-02
6.000000e-01	8.423700e-02
6.500000e-01	7.875700e-02
7.000000e-01	7.400000e-02
7.500000e-01	6.982900e-02
8.000000e-01	6.613900e-02
8.500000e-01	6.285000e-02
9.000000e-01	5.989800e-02
9.500000e-01	5.723300e-02
1.000000e+00	5.481500e-02
1.500000e+00	3.825000e-02
2.000000e+00	2.945000e-02
2.500000e+00	2.402200e-02
3.000000e+00	2.033200e-02
3.500000e+00	1.769600e-02
4.000000e+00	1.572800e-02
4.500000e+00	1.418400e-02
5.000000e+00	1.293700e-02
5.500000e+00	1.191000e-02
6.000000e+00	1.105700e-02
6.500000e+00	1.034900e-02
7.000000e+00	9.753800e-03
7.500000e+00	9.241700e-03
8.000000e+00	8.791800e-03
8.500000e+00	8.392000e-03
9.000000e+00	8.034800e-03
9.500000e+00	7.714800e-03
1.000000e+01	7.427500e-03
1.500000e+01	5.700700e-03
2.000000e+01	4.927400e-03
2.500000e+01	4.460400e-03
3.000000e+01	4.137200e-03
3.500000e+01	3.907300e-03
4.000000e+01	3.743200e-03
4.500000e+01	3.625300e-03
5.000000e+01	3.538900e-03
5.500000e+01	3.473800e-03
6.000000e+01	3.422700e-03
6.500000e+01	3.380600e-03
7.000000e+01	3.344500e-03
7.500000e+01	3.312300e-03
8.000000e+01	3.282900e-03
8.500000e+01	3.255700e-03
9.000000e+01	3.230200e-03
9.500000e+01	3.206400e-03
1.000000e+02	3.184100e-03
1.500000e+02	3.047500e-03
2.000000e+02	3.029200e-03
2.500000e+02	3.064200e-03
3.000000e+02	3.121600e-03
3.500000e+02	3.195900e-03
4.000000e+02	3.288700e-03
4.500000e+02	3.399900e-03
5.000000e+02	3.525500e-03
5.500000e+02	3.657600e-03
6.000000e+02	3.786300e-03
6.500000e+02	3.901500e-03
7.000000e+02	3.995100e-03
7.500000e+02	4.063100e-03
8.000000e+02	4.106700e-03
8.500000e+02	4.133400e-03
9.000000e+02	4.156000e-03
9.500000e+02	4.193400e-03
1.000000e+03	4.269800e-03
