# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	5.807700e-06
4.500000e-02	7.183100e-06
5.000000e-02	8.134600e-06
5.500000e-02	8.805900e-06
6.000000e-02	9.843100e-06
6.500000e-02	1.095400e-05
7.000000e-02	1.182100e-05
7.500000e-02	1.250600e-05
8.000000e-02	1.305100e-05
8.500000e-02	1.349000e-05
9.000000e-02	1.384500e-05
9.500000e-02	1.413400e-05
1.000000e-01	1.437100e-05
1.500000e-01	1.534600e-05
2.000000e-01	1.552500e-05
2.500000e-01	1.559700e-05
3.000000e-01	1.568300e-05
3.500000e-01	1.580400e-05
4.000000e-01	1.686300e-05
4.500000e-01	1.843800e-05
5.000000e-01	2.003900e-05
5.500000e-01	2.162300e-05
6.000000e-01	2.316900e-05
6.500000e-01	2.466500e-05
7.000000e-01	2.610600e-05
7.500000e-01	2.749100e-05
8.000000e-01	2.882000e-05
8.500000e-01	3.009600e-05
9.000000e-01	3.132000e-05
9.500000e-01	3.249600e-05
1.000000e+00	3.362600e-05
1.500000e+00	4.295300e-05
2.000000e+00	4.987600e-05
2.500000e+00	5.535600e-05
3.000000e+00	5.987800e-05
3.500000e+00	6.371900e-05
4.000000e+00	6.704800e-05
4.500000e+00	6.998100e-05
5.000000e+00	7.259800e-05
5.500000e+00	7.495500e-05
6.000000e+00	7.709700e-05
6.500000e+00	7.905600e-05
7.000000e+00	8.085900e-05
7.500000e+00	8.252600e-05
8.000000e+00	8.407500e-05
8.500000e+00	8.551900e-05
9.000000e+00	8.686900e-05
9.500000e+00	8.813700e-05
1.000000e+01	8.932900e-05
1.500000e+01	9.829900e-05
2.000000e+01	1.039700e-04
2.500000e+01	1.077800e-04
3.000000e+01	1.104200e-04
3.500000e+01	1.122500e-04
4.000000e+01	1.135200e-04
4.500000e+01	1.143800e-04
5.000000e+01	1.149500e-04
5.500000e+01	1.153100e-04
6.000000e+01	1.155200e-04
6.500000e+01	1.156200e-04
7.000000e+01	1.156400e-04
7.500000e+01	1.156100e-04
8.000000e+01	1.155400e-04
8.500000e+01	1.154400e-04
9.000000e+01	1.153200e-04
9.500000e+01	1.152000e-04
1.000000e+02	1.150600e-04
