# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	4.849600e-01
1.500000e-04	7.467100e-01
2.000000e-04	9.418500e-01
2.500000e-04	1.084600e+00
3.000000e-04	1.194500e+00
3.500000e-04	1.282200e+00
4.000000e-04	1.353800e+00
4.500000e-04	1.413300e+00
5.000000e-04	1.463400e+00
5.500000e-04	1.506100e+00
6.000000e-04	1.542800e+00
6.500000e-04	1.574500e+00
7.000000e-04	1.602100e+00
7.500000e-04	1.626100e+00
8.000000e-04	1.647200e+00
8.500000e-04	1.665600e+00
9.000000e-04	1.681800e+00
9.500000e-04	1.696100e+00
1.000000e-03	1.708600e+00
1.500000e-03	1.772500e+00
2.000000e-03	1.778000e+00
2.500000e-03	1.759300e+00
3.000000e-03	1.729500e+00
3.500000e-03	1.694600e+00
4.000000e-03	1.657700e+00
4.500000e-03	1.620400e+00
5.000000e-03	1.583500e+00
5.500000e-03	1.547600e+00
6.000000e-03	1.512800e+00
6.500000e-03	1.479300e+00
7.000000e-03	1.447200e+00
7.500000e-03	1.416400e+00
8.000000e-03	1.387000e+00
8.500000e-03	1.358700e+00
9.000000e-03	1.331700e+00
9.500000e-03	1.305900e+00
1.000000e-02	1.281100e+00
1.500000e-02	1.081100e+00
2.000000e-02	9.409200e-01
2.500000e-02	8.367100e-01
3.000000e-02	7.557900e-01
3.500000e-02	6.908600e-01
4.000000e-02	6.374300e-01
4.500000e-02	5.925800e-01
5.000000e-02	5.543100e-01
5.500000e-02	5.212100e-01
6.000000e-02	4.922700e-01
6.500000e-02	4.667100e-01
7.000000e-02	4.439500e-01
7.500000e-02	4.235400e-01
8.000000e-02	4.051100e-01
8.500000e-02	3.883800e-01
9.000000e-02	3.731200e-01
9.500000e-02	3.591300e-01
1.000000e-01	3.462500e-01
1.500000e-01	2.573100e-01
2.000000e-01	2.067600e-01
2.500000e-01	1.739400e-01
3.000000e-01	1.509500e-01
3.500000e-01	1.337800e-01
4.000000e-01	1.205200e-01
4.500000e-01	1.100500e-01
5.000000e-01	1.014500e-01
5.500000e-01	9.426000e-02
6.000000e-01	8.813800e-02
6.500000e-01	8.285900e-02
7.000000e-01	7.813000e-02
7.500000e-01	7.391900e-02
8.000000e-01	7.010400e-02
8.500000e-01	6.669800e-02
9.000000e-01	6.363600e-02
9.500000e-01	6.086900e-02
1.000000e+00	5.835400e-02
1.500000e+00	4.094800e-02
2.000000e+00	3.157000e-02
2.500000e+00	2.577100e-02
3.000000e+00	2.182000e-02
3.500000e+00	1.894800e-02
4.000000e+00	1.676400e-02
4.500000e+00	1.505900e-02
5.000000e+00	1.370300e-02
5.500000e+00	1.258800e-02
6.000000e+00	1.165400e-02
6.500000e+00	1.086700e-02
7.000000e+00	1.019500e-02
7.500000e+00	9.614800e-03
8.000000e+00	9.107700e-03
8.500000e+00	8.661300e-03
9.000000e+00	8.265900e-03
9.500000e+00	7.913700e-03
1.000000e+01	7.598200e-03
1.500000e+01	5.648200e-03
2.000000e+01	4.740100e-03
2.500000e+01	4.230300e-03
3.000000e+01	3.894100e-03
3.500000e+01	3.644900e-03
4.000000e+01	3.448500e-03
4.500000e+01	3.290200e-03
5.000000e+01	3.161900e-03
5.500000e+01	3.057800e-03
6.000000e+01	2.973300e-03
6.500000e+01	2.904700e-03
7.000000e+01	2.848600e-03
7.500000e+01	2.802200e-03
8.000000e+01	2.763400e-03
8.500000e+01	2.730400e-03
9.000000e+01	2.701700e-03
9.500000e+01	2.676200e-03
1.000000e+02	2.653100e-03
1.500000e+02	2.474800e-03
2.000000e+02	2.354900e-03
2.500000e+02	2.302500e-03
3.000000e+02	2.303200e-03
3.500000e+02	2.335300e-03
4.000000e+02	2.382500e-03
4.500000e+02	2.435300e-03
5.000000e+02	2.489400e-03
5.500000e+02	2.542700e-03
6.000000e+02	2.594500e-03
6.500000e+02	2.644000e-03
7.000000e+02	2.689800e-03
7.500000e+02	2.730200e-03
8.000000e+02	2.762800e-03
8.500000e+02	2.785900e-03
9.000000e+02	2.798200e-03
9.500000e+02	2.800000e-03
1.000000e+03	2.792900e-03
