# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.157900e-01
1.500000e-04	4.487600e-01
2.000000e-04	8.939400e-01
2.500000e-04	1.205900e+00
3.000000e-04	1.437600e+00
3.500000e-04	1.616400e+00
4.000000e-04	1.758000e+00
4.500000e-04	1.872300e+00
5.000000e-04	1.966100e+00
5.500000e-04	2.043800e+00
6.000000e-04	2.108700e+00
6.500000e-04	2.163300e+00
7.000000e-04	2.209500e+00
7.500000e-04	2.248600e+00
8.000000e-04	2.281900e+00
8.500000e-04	2.310200e+00
9.000000e-04	2.334200e+00
9.500000e-04	2.354600e+00
1.000000e-03	2.371900e+00
1.500000e-03	2.437300e+00
2.000000e-03	2.411000e+00
2.500000e-03	2.353300e+00
3.000000e-03	2.284600e+00
3.500000e-03	2.213500e+00
4.000000e-03	2.143400e+00
4.500000e-03	2.076100e+00
5.000000e-03	2.012000e+00
5.500000e-03	1.951500e+00
6.000000e-03	1.894400e+00
6.500000e-03	1.840700e+00
7.000000e-03	1.790100e+00
7.500000e-03	1.742400e+00
8.000000e-03	1.697500e+00
8.500000e-03	1.655000e+00
9.000000e-03	1.614800e+00
9.500000e-03	1.576800e+00
1.000000e-02	1.540700e+00
1.500000e-02	1.261300e+00
2.000000e-02	1.075800e+00
2.500000e-02	9.426900e-01
3.000000e-02	8.418600e-01
3.500000e-02	7.624700e-01
4.000000e-02	6.981300e-01
4.500000e-02	6.447900e-01
5.000000e-02	5.997500e-01
5.500000e-02	5.611500e-01
6.000000e-02	5.276600e-01
6.500000e-02	4.982900e-01
7.000000e-02	4.723000e-01
7.500000e-02	4.491100e-01
8.000000e-02	4.282900e-01
8.500000e-02	4.094800e-01
9.000000e-02	3.923800e-01
9.500000e-02	3.767700e-01
1.000000e-01	3.624600e-01
1.500000e-01	2.650800e-01
2.000000e-01	2.110300e-01
2.500000e-01	1.762900e-01
3.000000e-01	1.521900e-01
3.500000e-01	1.342000e-01
4.000000e-01	1.202800e-01
4.500000e-01	1.092000e-01
5.000000e-01	1.001500e-01
5.500000e-01	9.261200e-02
6.000000e-01	8.622500e-02
6.500000e-01	8.073800e-02
7.000000e-01	7.596900e-02
7.500000e-01	7.167100e-02
8.000000e-01	6.763700e-02
8.500000e-01	6.404900e-02
9.000000e-01	6.083600e-02
9.500000e-01	5.794200e-02
1.000000e+00	5.532100e-02
1.500000e+00	3.829800e-02
2.000000e+00	2.945300e-02
2.500000e+00	2.401300e-02
3.000000e+00	2.032900e-02
3.500000e+00	1.767100e-02
4.000000e+00	1.566200e-02
4.500000e+00	1.411900e-02
5.000000e+00	1.292100e-02
5.500000e+00	1.193500e-02
6.000000e+00	1.110200e-02
6.500000e+00	1.039800e-02
7.000000e+00	9.800300e-03
7.500000e+00	9.291000e-03
8.000000e+00	8.854200e-03
8.500000e+00	8.476600e-03
9.000000e+00	8.147100e-03
9.500000e+00	7.856900e-03
1.000000e+01	7.599000e-03
1.500000e+01	6.016800e-03
2.000000e+01	5.311400e-03
2.500000e+01	4.948300e-03
3.000000e+01	4.706400e-03
3.500000e+01	4.507500e-03
4.000000e+01	4.333700e-03
4.500000e+01	4.184000e-03
5.000000e+01	4.058600e-03
5.500000e+01	3.956100e-03
6.000000e+01	3.873300e-03
6.500000e+01	3.806600e-03
7.000000e+01	3.752400e-03
7.500000e+01	3.707400e-03
8.000000e+01	3.668900e-03
8.500000e+01	3.634800e-03
9.000000e+01	3.603500e-03
9.500000e+01	3.573700e-03
1.000000e+02	3.544700e-03
1.500000e+02	3.267600e-03
2.000000e+02	3.084900e-03
2.500000e+02	3.022300e-03
3.000000e+02	3.026300e-03
3.500000e+02	3.051600e-03
4.000000e+02	3.078900e-03
4.500000e+02	3.107100e-03
5.000000e+02	3.141500e-03
5.500000e+02	3.186900e-03
6.000000e+02	3.243500e-03
6.500000e+02	3.306800e-03
7.000000e+02	3.368700e-03
7.500000e+02	3.419700e-03
8.000000e+02	3.451800e-03
8.500000e+02	3.461600e-03
9.000000e+02	3.453200e-03
9.500000e+02	3.439400e-03
1.000000e+03	3.443100e-03
