# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.575400e-01
1.500000e-04	5.334400e-01
2.000000e-04	8.396300e-01
2.500000e-04	1.060700e+00
3.000000e-04	1.229400e+00
3.500000e-04	1.362800e+00
4.000000e-04	1.471000e+00
4.500000e-04	1.560500e+00
5.000000e-04	1.635600e+00
5.500000e-04	1.699200e+00
6.000000e-04	1.753700e+00
6.500000e-04	1.800600e+00
7.000000e-04	1.841200e+00
7.500000e-04	1.876500e+00
8.000000e-04	1.907400e+00
8.500000e-04	1.934400e+00
9.000000e-04	1.958100e+00
9.500000e-04	1.978900e+00
1.000000e-03	1.997100e+00
1.500000e-03	2.089400e+00
2.000000e-03	2.098000e+00
2.500000e-03	2.072700e+00
3.000000e-03	2.032500e+00
3.500000e-03	1.985800e+00
4.000000e-03	1.936800e+00
4.500000e-03	1.887600e+00
5.000000e-03	1.839300e+00
5.500000e-03	1.792600e+00
6.000000e-03	1.747700e+00
6.500000e-03	1.704700e+00
7.000000e-03	1.663700e+00
7.500000e-03	1.624600e+00
8.000000e-03	1.587300e+00
8.500000e-03	1.551700e+00
9.000000e-03	1.517900e+00
9.500000e-03	1.485600e+00
1.000000e-02	1.454700e+00
1.500000e-02	1.209900e+00
2.000000e-02	1.042300e+00
2.500000e-02	9.197300e-01
3.000000e-02	8.257000e-01
3.500000e-02	7.509800e-01
4.000000e-02	6.899800e-01
4.500000e-02	6.391100e-01
5.000000e-02	5.959500e-01
5.500000e-02	5.588000e-01
6.000000e-02	5.264600e-01
6.500000e-02	4.980000e-01
7.000000e-02	4.727500e-01
7.500000e-02	4.501700e-01
8.000000e-02	4.298500e-01
8.500000e-02	4.114500e-01
9.000000e-02	3.946900e-01
9.500000e-02	3.793700e-01
1.000000e-01	3.653000e-01
1.500000e-01	2.688900e-01
2.000000e-01	2.147400e-01
2.500000e-01	1.797700e-01
3.000000e-01	1.556600e-01
3.500000e-01	1.378500e-01
4.000000e-01	1.240700e-01
4.500000e-01	1.130700e-01
5.000000e-01	1.040600e-01
5.500000e-01	9.652700e-02
6.000000e-01	9.012800e-02
6.500000e-01	8.461700e-02
7.000000e-01	7.981500e-02
7.500000e-01	7.531600e-02
8.000000e-01	7.118600e-02
8.500000e-01	6.742700e-02
9.000000e-01	6.405900e-02
9.500000e-01	6.102400e-02
1.000000e+00	5.827500e-02
1.500000e+00	4.039800e-02
2.000000e+00	3.109300e-02
2.500000e+00	2.535700e-02
3.000000e+00	2.145400e-02
3.500000e+00	1.862100e-02
4.000000e+00	1.646900e-02
4.500000e+00	1.480000e-02
5.000000e+00	1.348800e-02
5.500000e+00	1.242100e-02
6.000000e+00	1.153800e-02
6.500000e+00	1.079400e-02
7.000000e+00	1.015700e-02
7.500000e+00	9.608700e-03
8.000000e+00	9.132600e-03
8.500000e+00	8.717000e-03
9.000000e+00	8.351800e-03
9.500000e+00	8.028600e-03
1.000000e+01	7.740800e-03
1.500000e+01	6.007600e-03
2.000000e+01	5.275900e-03
2.500000e+01	4.912300e-03
3.000000e+01	4.672600e-03
3.500000e+01	4.474500e-03
4.000000e+01	4.300700e-03
4.500000e+01	4.151200e-03
5.000000e+01	4.027000e-03
5.500000e+01	3.927100e-03
6.000000e+01	3.848500e-03
6.500000e+01	3.787600e-03
7.000000e+01	3.740700e-03
7.500000e+01	3.704300e-03
8.000000e+01	3.675500e-03
8.500000e+01	3.651900e-03
9.000000e+01	3.631700e-03
9.500000e+01	3.613500e-03
1.000000e+02	3.596200e-03
1.500000e+02	3.413700e-03
2.000000e+02	3.262700e-03
2.500000e+02	3.196000e-03
3.000000e+02	3.189900e-03
3.500000e+02	3.214900e-03
4.000000e+02	3.256500e-03
4.500000e+02	3.310800e-03
5.000000e+02	3.376800e-03
5.500000e+02	3.451700e-03
6.000000e+02	3.529800e-03
6.500000e+02	3.602400e-03
7.000000e+02	3.659600e-03
7.500000e+02	3.693600e-03
8.000000e+02	3.701500e-03
8.500000e+02	3.688700e-03
9.000000e+02	3.669400e-03
9.500000e+02	3.667600e-03
1.000000e+03	3.719300e-03
