# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	0.000000e+00
2.500000e-01	0.000000e+00
3.000000e-01	0.000000e+00
3.500000e-01	0.000000e+00
4.000000e-01	0.000000e+00
4.500000e-01	0.000000e+00
5.000000e-01	1.583500e-07
5.500000e-01	5.718500e-07
6.000000e-01	1.008100e-06
6.500000e-01	1.787400e-06
7.000000e-01	2.623400e-06
7.500000e-01	3.495500e-06
8.000000e-01	4.389300e-06
8.500000e-01	5.294400e-06
9.000000e-01	6.203200e-06
9.500000e-01	7.110400e-06
1.000000e+00	8.012000e-06
1.500000e+00	1.636100e-05
2.000000e+00	2.333400e-05
2.500000e+00	2.917200e-05
3.000000e+00	3.414500e-05
3.500000e+00	3.845400e-05
4.000000e+00	4.224400e-05
4.500000e+00	4.561700e-05
5.000000e+00	4.865000e-05
5.500000e+00	5.140100e-05
6.000000e+00	5.391400e-05
6.500000e+00	5.622400e-05
7.000000e+00	5.835900e-05
7.500000e+00	6.034200e-05
8.000000e+00	6.219100e-05
8.500000e+00	6.392100e-05
9.000000e+00	6.554600e-05
9.500000e+00	6.707600e-05
1.000000e+01	6.852100e-05
1.500000e+01	7.961800e-05
2.000000e+01	8.698600e-05
2.500000e+01	9.227500e-05
3.000000e+01	9.623700e-05
3.500000e+01	9.928000e-05
4.000000e+01	1.016600e-04
4.500000e+01	1.035300e-04
5.000000e+01	1.050300e-04
5.500000e+01	1.062200e-04
6.000000e+01	1.071800e-04
6.500000e+01	1.079600e-04
7.000000e+01	1.085800e-04
7.500000e+01	1.090900e-04
8.000000e+01	1.095000e-04
8.500000e+01	1.098400e-04
9.000000e+01	1.101100e-04
9.500000e+01	1.103300e-04
1.000000e+02	1.105200e-04
