# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.060800e+01
1.500000e-04	1.022400e+01
2.000000e-04	9.809600e+00
2.500000e-04	9.417500e+00
3.000000e-04	9.056900e+00
3.500000e-04	8.727200e+00
4.000000e-04	8.425500e+00
4.500000e-04	8.148600e+00
5.000000e-04	7.893400e+00
5.500000e-04	7.657300e+00
6.000000e-04	7.438200e+00
6.500000e-04	7.234100e+00
7.000000e-04	7.043400e+00
7.500000e-04	6.864700e+00
8.000000e-04	6.696800e+00
8.500000e-04	6.538800e+00
9.000000e-04	6.389600e+00
9.500000e-04	6.248500e+00
1.000000e-03	6.114700e+00
1.500000e-03	5.076600e+00
2.000000e-03	4.446200e+00
2.500000e-03	4.019500e+00
3.000000e-03	3.685800e+00
3.500000e-03	3.415700e+00
4.000000e-03	3.191400e+00
4.500000e-03	3.001400e+00
5.000000e-03	2.837700e+00
5.500000e-03	2.694800e+00
6.000000e-03	2.568700e+00
6.500000e-03	2.456400e+00
7.000000e-03	2.355500e+00
7.500000e-03	2.264200e+00
8.000000e-03	2.181200e+00
8.500000e-03	2.105200e+00
9.000000e-03	2.035400e+00
9.500000e-03	1.970900e+00
1.000000e-02	1.911200e+00
1.500000e-02	1.485600e+00
2.000000e-02	1.231600e+00
2.500000e-02	1.059600e+00
3.000000e-02	9.340900e-01
3.500000e-02	8.377900e-01
4.000000e-02	7.612200e-01
4.500000e-02	6.986700e-01
5.000000e-02	6.464100e-01
5.500000e-02	6.029500e-01
6.000000e-02	5.659000e-01
6.500000e-02	5.336900e-01
7.000000e-02	5.053900e-01
7.500000e-02	4.802900e-01
8.000000e-02	4.578700e-01
8.500000e-02	4.376900e-01
9.000000e-02	4.194200e-01
9.500000e-02	4.028000e-01
1.000000e-01	3.876000e-01
1.500000e-01	2.850000e-01
2.000000e-01	2.237300e-01
2.500000e-01	1.846700e-01
3.000000e-01	1.576100e-01
3.500000e-01	1.377100e-01
4.000000e-01	1.224200e-01
4.500000e-01	1.102100e-01
5.000000e-01	1.003000e-01
5.500000e-01	9.209700e-02
6.000000e-01	8.519000e-02
6.500000e-01	7.929200e-02
7.000000e-01	7.419300e-02
7.500000e-01	6.973900e-02
8.000000e-01	6.581400e-02
8.500000e-01	6.232700e-02
9.000000e-01	5.920900e-02
9.500000e-01	5.640200e-02
1.000000e+00	5.386200e-02
1.500000e+00	3.720200e-02
2.000000e+00	2.847400e-02
2.500000e+00	2.312600e-02
3.000000e+00	1.950400e-02
3.500000e+00	1.689600e-02
4.000000e+00	1.505400e-02
4.500000e+00	1.360100e-02
5.000000e+00	1.236700e-02
5.500000e+00	1.134900e-02
6.000000e+00	1.050900e-02
6.500000e+00	9.808500e-03
7.000000e+00	9.213700e-03
7.500000e+00	8.699100e-03
8.000000e+00	8.245800e-03
8.500000e+00	7.840100e-03
9.000000e+00	7.472800e-03
9.500000e+00	7.137500e-03
1.000000e+01	6.830100e-03
1.500000e+01	4.808100e-03
2.000000e+01	3.831900e-03
2.500000e+01	3.271500e-03
3.000000e+01	2.884700e-03
3.500000e+01	2.582000e-03
4.000000e+01	2.332100e-03
4.500000e+01	2.123000e-03
5.000000e+01	1.947400e-03
5.500000e+01	1.799400e-03
6.000000e+01	1.673800e-03
6.500000e+01	1.566300e-03
7.000000e+01	1.473500e-03
7.500000e+01	1.392500e-03
8.000000e+01	1.321000e-03
8.500000e+01	1.257400e-03
9.000000e+01	1.200200e-03
9.500000e+01	1.148600e-03
1.000000e+02	1.101500e-03
1.500000e+02	7.889300e-04
2.000000e+02	6.294600e-04
2.500000e+02	5.405200e-04
3.000000e+02	4.872400e-04
3.500000e+02	4.531700e-04
4.000000e+02	4.300600e-04
4.500000e+02	4.136000e-04
5.000000e+02	4.014500e-04
5.500000e+02	3.922400e-04
6.000000e+02	3.850600e-04
6.500000e+02	3.792200e-04
7.000000e+02	3.741500e-04
7.500000e+02	3.694000e-04
8.000000e+02	3.646500e-04
8.500000e+02	3.598500e-04
9.000000e+02	3.552100e-04
9.500000e+02	3.512600e-04
1.000000e+03	3.489000e-04
