# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	1.767500e-06
4.500000e-02	2.687300e-06
5.000000e-02	3.339900e-06
5.500000e-02	3.814000e-06
6.000000e-02	4.164800e-06
6.500000e-02	4.428100e-06
7.000000e-02	4.627900e-06
7.500000e-02	4.780800e-06
8.000000e-02	4.898400e-06
8.500000e-02	5.370100e-06
9.000000e-02	7.782400e-06
9.500000e-02	9.867200e-06
1.000000e-01	1.168600e-05
1.500000e-01	2.203200e-05
2.000000e-01	2.727900e-05
2.500000e-01	3.042800e-05
3.000000e-01	3.269300e-05
3.500000e-01	3.452000e-05
4.000000e-01	3.609800e-05
4.500000e-01	3.751700e-05
5.000000e-01	3.882600e-05
5.500000e-01	4.005100e-05
6.000000e-01	4.121000e-05
6.500000e-01	4.231400e-05
7.000000e-01	4.337000e-05
7.500000e-01	4.438500e-05
8.000000e-01	4.536200e-05
8.500000e-01	4.630500e-05
9.000000e-01	4.721800e-05
9.500000e-01	4.810200e-05
1.000000e+00	4.895900e-05
1.500000e+00	5.636900e-05
2.000000e+00	6.225800e-05
2.500000e+00	6.712800e-05
3.000000e+00	7.126500e-05
3.500000e+00	7.485100e-05
4.000000e+00	7.800900e-05
4.500000e+00	8.082300e-05
5.000000e+00	8.335800e-05
5.500000e+00	8.566000e-05
6.000000e+00	8.776600e-05
6.500000e+00	8.970300e-05
7.000000e+00	9.149600e-05
7.500000e+00	9.316200e-05
8.000000e+00	9.471600e-05
8.500000e+00	9.617200e-05
9.000000e+00	9.753800e-05
9.500000e+00	9.882500e-05
1.000000e+01	1.000400e-04
1.500000e+01	1.093500e-04
2.000000e+01	1.154500e-04
2.500000e+01	1.197300e-04
3.000000e+01	1.228500e-04
3.500000e+01	1.251500e-04
4.000000e+01	1.268600e-04
4.500000e+01	1.281400e-04
5.000000e+01	1.291000e-04
5.500000e+01	1.298100e-04
6.000000e+01	1.303300e-04
6.500000e+01	1.307100e-04
7.000000e+01	1.309800e-04
7.500000e+01	1.311700e-04
8.000000e+01	1.312900e-04
8.500000e+01	1.313600e-04
9.000000e+01	1.313900e-04
9.500000e+01	1.314000e-04
1.000000e+02	1.313800e-04
