# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	4.327500e-08
4.500000e-02	4.540000e-07
5.000000e-02	7.493400e-07
5.500000e-02	1.694000e-06
6.000000e-02	3.209600e-06
6.500000e-02	4.398700e-06
7.000000e-02	5.346000e-06
7.500000e-02	6.110400e-06
8.000000e-02	6.734500e-06
8.500000e-02	7.249100e-06
9.000000e-02	7.677300e-06
9.500000e-02	8.036500e-06
1.000000e-01	8.340100e-06
1.500000e-01	9.818200e-06
2.000000e-01	1.029600e-05
2.500000e-01	1.055000e-05
3.000000e-01	1.192400e-05
3.500000e-01	1.395700e-05
4.000000e-01	1.578900e-05
4.500000e-01	1.747200e-05
5.000000e-01	1.904100e-05
5.500000e-01	2.051600e-05
6.000000e-01	2.191300e-05
6.500000e-01	2.324200e-05
7.000000e-01	2.451000e-05
7.500000e-01	2.572500e-05
8.000000e-01	2.689100e-05
8.500000e-01	2.801200e-05
9.000000e-01	2.909200e-05
9.500000e-01	3.013400e-05
1.000000e+00	3.114000e-05
1.500000e+00	3.968700e-05
2.000000e+00	4.631100e-05
2.500000e+00	5.170200e-05
3.000000e+00	5.623300e-05
3.500000e+00	6.012800e-05
4.000000e+00	6.353700e-05
4.500000e+00	6.655900e-05
5.000000e+00	6.926900e-05
5.500000e+00	7.172100e-05
6.000000e+00	7.395500e-05
6.500000e+00	7.600500e-05
7.000000e+00	7.789600e-05
7.500000e+00	7.964800e-05
8.000000e+00	8.127800e-05
8.500000e+00	8.280100e-05
9.000000e+00	8.422700e-05
9.500000e+00	8.556800e-05
1.000000e+01	8.683100e-05
1.500000e+01	9.641100e-05
2.000000e+01	1.026000e-04
2.500000e+01	1.069200e-04
3.000000e+01	1.100600e-04
3.500000e+01	1.123900e-04
4.000000e+01	1.141500e-04
4.500000e+01	1.154800e-04
5.000000e+01	1.165000e-04
5.500000e+01	1.172900e-04
6.000000e+01	1.178900e-04
6.500000e+01	1.183400e-04
7.000000e+01	1.186900e-04
7.500000e+01	1.189600e-04
8.000000e+01	1.191500e-04
8.500000e+01	1.193000e-04
9.000000e+01	1.194000e-04
9.500000e+01	1.194700e-04
1.000000e+02	1.195200e-04
