# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	3.097700e+00
1.500000e-04	3.729700e+00
2.000000e-04	4.053600e+00
2.500000e-04	4.436100e+00
3.000000e-04	4.672300e+00
3.500000e-04	4.820300e+00
4.000000e-04	4.911700e+00
4.500000e-04	4.965400e+00
5.000000e-04	4.992900e+00
5.500000e-04	5.002100e+00
6.000000e-04	4.998000e+00
6.500000e-04	4.984300e+00
7.000000e-04	4.963600e+00
7.500000e-04	4.937600e+00
8.000000e-04	4.907900e+00
8.500000e-04	4.875300e+00
9.000000e-04	4.840800e+00
9.500000e-04	4.804800e+00
1.000000e-03	4.767800e+00
1.500000e-03	4.393800e+00
2.000000e-03	4.062500e+00
2.500000e-03	3.782000e+00
3.000000e-03	3.543700e+00
3.500000e-03	3.338800e+00
4.000000e-03	3.160600e+00
4.500000e-03	3.004000e+00
5.000000e-03	2.864900e+00
5.500000e-03	2.740500e+00
6.000000e-03	2.628300e+00
6.500000e-03	2.526500e+00
7.000000e-03	2.433600e+00
7.500000e-03	2.348500e+00
8.000000e-03	2.270100e+00
8.500000e-03	2.197600e+00
9.000000e-03	2.130300e+00
9.500000e-03	2.067600e+00
1.000000e-02	2.009100e+00
1.500000e-02	1.581100e+00
2.000000e-02	1.317000e+00
2.500000e-02	1.135200e+00
3.000000e-02	1.001500e+00
3.500000e-02	8.982600e-01
4.000000e-02	8.160200e-01
4.500000e-02	7.487200e-01
5.000000e-02	6.923500e-01
5.500000e-02	6.446200e-01
6.000000e-02	6.036200e-01
6.500000e-02	5.679800e-01
7.000000e-02	5.366700e-01
7.500000e-02	5.089200e-01
8.000000e-02	4.841500e-01
8.500000e-02	4.618800e-01
9.000000e-02	4.417100e-01
9.500000e-02	4.233200e-01
1.000000e-01	4.065300e-01
1.500000e-01	2.931300e-01
2.000000e-01	2.303300e-01
2.500000e-01	1.905600e-01
3.000000e-01	1.631700e-01
3.500000e-01	1.430900e-01
4.000000e-01	1.276900e-01
4.500000e-01	1.154900e-01
5.000000e-01	1.055600e-01
5.500000e-01	9.732000e-02
6.000000e-01	9.035700e-02
6.500000e-01	8.439200e-02
7.000000e-01	7.891000e-02
7.500000e-01	7.409100e-02
8.000000e-01	6.984300e-02
8.500000e-01	6.607100e-02
9.000000e-01	6.269700e-02
9.500000e-01	5.966200e-02
1.000000e+00	5.691500e-02
1.500000e+00	3.915400e-02
2.000000e+00	2.998500e-02
2.500000e+00	2.436300e-02
3.000000e+00	2.055300e-02
3.500000e+00	1.780600e-02
4.000000e+00	1.581300e-02
4.500000e+00	1.425900e-02
5.000000e+00	1.301500e-02
5.500000e+00	1.200700e-02
6.000000e+00	1.117300e-02
6.500000e+00	1.047600e-02
7.000000e+00	9.887300e-03
7.500000e+00	9.385000e-03
8.000000e+00	8.950800e-03
8.500000e+00	8.570500e-03
9.000000e+00	8.233500e-03
9.500000e+00	7.932300e-03
1.000000e+01	7.661000e-03
1.500000e+01	5.975300e-03
2.000000e+01	5.243500e-03
2.500000e+01	4.867500e-03
3.000000e+01	4.609700e-03
3.500000e+01	4.389000e-03
4.000000e+01	4.188700e-03
4.500000e+01	4.010100e-03
5.000000e+01	3.855300e-03
5.500000e+01	3.724000e-03
6.000000e+01	3.613600e-03
6.500000e+01	3.521100e-03
7.000000e+01	3.443000e-03
7.500000e+01	3.376300e-03
8.000000e+01	3.318400e-03
8.500000e+01	3.267200e-03
9.000000e+01	3.221100e-03
9.500000e+01	3.178700e-03
1.000000e+02	3.139200e-03
1.500000e+02	2.821900e-03
2.000000e+02	2.614400e-03
2.500000e+02	2.508600e-03
3.000000e+02	2.470800e-03
3.500000e+02	2.470300e-03
4.000000e+02	2.488700e-03
4.500000e+02	2.516500e-03
5.000000e+02	2.549100e-03
5.500000e+02	2.583800e-03
6.000000e+02	2.618100e-03
6.500000e+02	2.648900e-03
7.000000e+02	2.673100e-03
7.500000e+02	2.688000e-03
8.000000e+02	2.692300e-03
8.500000e+02	2.687400e-03
9.000000e+02	2.677300e-03
9.500000e+02	2.669800e-03
1.000000e+03	2.676500e-03
