# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	3.368100e-05
4.500000e-02	3.918900e-05
5.000000e-02	4.313000e-05
5.500000e-02	4.587600e-05
6.000000e-02	4.781300e-05
6.500000e-02	4.918700e-05
7.000000e-02	5.015900e-05
7.500000e-02	5.084100e-05
8.000000e-02	5.131000e-05
8.500000e-02	5.162000e-05
9.000000e-02	5.181100e-05
9.500000e-02	5.191200e-05
1.000000e-01	5.194600e-05
1.500000e-01	5.129800e-05
2.000000e-01	5.205900e-05
2.500000e-01	5.249400e-05
3.000000e-01	5.295700e-05
3.500000e-01	5.350200e-05
4.000000e-01	5.412200e-05
4.500000e-01	5.480000e-05
5.000000e-01	5.551700e-05
5.500000e-01	5.626000e-05
6.000000e-01	5.701800e-05
6.500000e-01	5.778400e-05
7.000000e-01	5.855100e-05
7.500000e-01	5.931600e-05
8.000000e-01	6.007600e-05
8.500000e-01	6.082800e-05
9.000000e-01	6.157000e-05
9.500000e-01	6.230300e-05
1.000000e+00	6.302400e-05
1.500000e+00	6.958300e-05
2.000000e+00	7.505600e-05
2.500000e+00	7.967800e-05
3.000000e+00	8.365000e-05
3.500000e+00	8.711700e-05
4.000000e+00	9.018400e-05
4.500000e+00	9.292700e-05
5.000000e+00	9.540400e-05
5.500000e+00	9.765700e-05
6.000000e+00	9.972100e-05
6.500000e+00	1.016200e-04
7.000000e+00	1.033800e-04
7.500000e+00	1.050200e-04
8.000000e+00	1.065500e-04
8.500000e+00	1.079800e-04
9.000000e+00	1.093300e-04
9.500000e+00	1.106000e-04
1.000000e+01	1.117900e-04
1.500000e+01	1.209700e-04
2.000000e+01	1.269700e-04
2.500000e+01	1.311600e-04
3.000000e+01	1.341900e-04
3.500000e+01	1.364100e-04
4.000000e+01	1.380500e-04
4.500000e+01	1.392600e-04
5.000000e+01	1.401500e-04
5.500000e+01	1.408000e-04
6.000000e+01	1.412700e-04
6.500000e+01	1.415900e-04
7.000000e+01	1.418200e-04
7.500000e+01	1.419600e-04
8.000000e+01	1.420400e-04
8.500000e+01	1.420700e-04
9.000000e+01	1.420700e-04
9.500000e+01	1.420500e-04
1.000000e+02	1.420100e-04
