# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.157500e+00
1.500000e-04	1.463700e+00
2.000000e-04	1.667100e+00
2.500000e-04	1.814200e+00
3.000000e-04	1.926000e+00
3.500000e-04	2.013700e+00
4.000000e-04	2.084100e+00
4.500000e-04	2.141400e+00
5.000000e-04	2.188700e+00
5.500000e-04	2.228000e+00
6.000000e-04	2.260900e+00
6.500000e-04	2.288500e+00
7.000000e-04	2.311700e+00
7.500000e-04	2.331200e+00
8.000000e-04	2.347600e+00
8.500000e-04	2.361200e+00
9.000000e-04	2.372600e+00
9.500000e-04	2.382000e+00
1.000000e-03	2.389600e+00
1.500000e-03	2.405000e+00
2.000000e-03	2.366400e+00
2.500000e-03	2.308700e+00
3.000000e-03	2.244600e+00
3.500000e-03	2.179500e+00
4.000000e-03	2.115800e+00
4.500000e-03	2.054600e+00
5.000000e-03	1.996300e+00
5.500000e-03	1.941000e+00
6.000000e-03	1.888800e+00
6.500000e-03	1.839400e+00
7.000000e-03	1.792800e+00
7.500000e-03	1.748700e+00
8.000000e-03	1.706900e+00
8.500000e-03	1.667300e+00
9.000000e-03	1.629800e+00
9.500000e-03	1.594100e+00
1.000000e-02	1.560200e+00
1.500000e-02	1.294200e+00
2.000000e-02	1.114400e+00
2.500000e-02	9.835600e-01
3.000000e-02	8.834600e-01
3.500000e-02	8.040200e-01
4.000000e-02	7.392000e-01
4.500000e-02	6.851600e-01
5.000000e-02	6.393000e-01
5.500000e-02	5.998400e-01
6.000000e-02	5.654600e-01
6.500000e-02	5.352200e-01
7.000000e-02	5.083600e-01
7.500000e-02	4.843400e-01
8.000000e-02	4.627200e-01
8.500000e-02	4.431200e-01
9.000000e-02	4.252800e-01
9.500000e-02	4.089600e-01
1.000000e-01	3.939600e-01
1.500000e-01	2.910200e-01
2.000000e-01	2.330100e-01
2.500000e-01	1.958700e-01
3.000000e-01	1.704500e-01
3.500000e-01	1.515000e-01
4.000000e-01	1.368600e-01
4.500000e-01	1.251400e-01
5.000000e-01	1.155000e-01
5.500000e-01	1.074300e-01
6.000000e-01	1.005500e-01
6.500000e-01	9.448400e-02
7.000000e-01	8.906700e-02
7.500000e-01	8.419200e-02
8.000000e-01	7.964000e-02
8.500000e-01	7.558000e-02
9.000000e-01	7.193400e-02
9.500000e-01	6.864200e-02
1.000000e+00	6.565400e-02
1.500000e+00	4.566500e-02
2.000000e+00	3.515900e-02
2.500000e+00	2.866800e-02
3.000000e+00	2.424700e-02
3.500000e+00	2.103700e-02
4.000000e+00	1.860700e-02
4.500000e+00	1.673500e-02
5.000000e+00	1.525900e-02
5.500000e+00	1.404200e-02
6.000000e+00	1.301800e-02
6.500000e+00	1.215400e-02
7.000000e+00	1.142100e-02
7.500000e+00	1.079200e-02
8.000000e+00	1.024700e-02
8.500000e+00	9.772200e-03
9.000000e+00	9.354900e-03
9.500000e+00	8.986100e-03
1.000000e+01	8.658200e-03
1.500000e+01	6.673300e-03
2.000000e+01	5.766800e-03
2.500000e+01	5.265900e-03
3.000000e+01	4.938300e-03
3.500000e+01	4.694600e-03
4.000000e+01	4.500900e-03
4.500000e+01	4.343400e-03
5.000000e+01	4.214700e-03
5.500000e+01	4.109600e-03
6.000000e+01	4.023700e-03
6.500000e+01	3.953100e-03
7.000000e+01	3.894700e-03
7.500000e+01	3.845800e-03
8.000000e+01	3.804100e-03
8.500000e+01	3.767900e-03
9.000000e+01	3.735800e-03
9.500000e+01	3.706700e-03
1.000000e+02	3.679800e-03
1.500000e+02	3.468500e-03
2.000000e+02	3.340200e-03
2.500000e+02	3.295100e-03
3.000000e+02	3.306900e-03
3.500000e+02	3.349300e-03
4.000000e+02	3.406500e-03
4.500000e+02	3.471700e-03
5.000000e+02	3.542300e-03
5.500000e+02	3.616900e-03
6.000000e+02	3.693100e-03
6.500000e+02	3.767500e-03
7.000000e+02	3.835600e-03
7.500000e+02	3.892500e-03
8.000000e+02	3.934400e-03
8.500000e+02	3.959400e-03
9.000000e+02	3.968700e-03
9.500000e+02	3.967600e-03
1.000000e+03	3.965700e-03
