# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.621900e+00
1.500000e-04	3.439700e+00
2.000000e-04	3.911900e+00
2.500000e-04	4.273000e+00
3.000000e-04	4.500000e+00
3.500000e-04	4.644900e+00
4.000000e-04	4.736300e+00
4.500000e-04	4.791600e+00
5.000000e-04	4.821600e+00
5.500000e-04	4.833500e+00
6.000000e-04	4.832300e+00
6.500000e-04	4.821500e+00
7.000000e-04	4.803500e+00
7.500000e-04	4.780100e+00
8.000000e-04	4.752800e+00
8.500000e-04	4.722600e+00
9.000000e-04	4.690100e+00
9.500000e-04	4.656100e+00
1.000000e-03	4.621100e+00
1.500000e-03	4.261200e+00
2.000000e-03	3.939700e+00
2.500000e-03	3.667500e+00
3.000000e-03	3.436500e+00
3.500000e-03	3.238500e+00
4.000000e-03	3.066600e+00
4.500000e-03	2.915700e+00
5.000000e-03	2.782000e+00
5.500000e-03	2.662500e+00
6.000000e-03	2.554800e+00
6.500000e-03	2.457200e+00
7.000000e-03	2.368200e+00
7.500000e-03	2.286700e+00
8.000000e-03	2.211600e+00
8.500000e-03	2.142100e+00
9.000000e-03	2.077700e+00
9.500000e-03	2.017700e+00
1.000000e-02	1.961700e+00
1.500000e-02	1.551300e+00
2.000000e-02	1.297200e+00
2.500000e-02	1.121700e+00
3.000000e-02	9.921100e-01
3.500000e-02	8.919300e-01
4.000000e-02	8.118300e-01
4.500000e-02	7.461200e-01
5.000000e-02	6.911300e-01
5.500000e-02	6.441700e-01
6.000000e-02	6.037400e-01
6.500000e-02	5.685600e-01
7.000000e-02	5.376400e-01
7.500000e-02	5.102300e-01
8.000000e-02	4.857300e-01
8.500000e-02	4.636900e-01
9.000000e-02	4.437500e-01
9.500000e-02	4.256100e-01
1.000000e-01	4.090200e-01
1.500000e-01	2.973600e-01
2.000000e-01	2.344200e-01
2.500000e-01	1.943500e-01
3.000000e-01	1.665300e-01
3.500000e-01	1.461700e-01
4.000000e-01	1.305400e-01
4.500000e-01	1.181200e-01
5.000000e-01	1.079200e-01
5.500000e-01	9.945100e-02
6.000000e-01	9.229700e-02
6.500000e-01	8.616900e-02
7.000000e-01	8.085600e-02
7.500000e-01	7.620400e-02
8.000000e-01	7.209500e-02
8.500000e-01	6.843500e-02
9.000000e-01	6.500200e-02
9.500000e-01	6.185900e-02
1.000000e+00	5.901500e-02
1.500000e+00	4.060900e-02
2.000000e+00	3.109900e-02
2.500000e+00	2.526600e-02
3.000000e+00	2.131500e-02
3.500000e+00	1.847100e-02
4.000000e+00	1.644600e-02
4.500000e+00	1.485700e-02
5.000000e+00	1.352500e-02
5.500000e+00	1.243300e-02
6.000000e+00	1.154800e-02
6.500000e+00	1.082300e-02
7.000000e+00	1.021100e-02
7.500000e+00	9.680300e-03
8.000000e+00	9.212000e-03
8.500000e+00	8.794200e-03
9.000000e+00	8.418700e-03
9.500000e+00	8.079300e-03
1.000000e+01	7.771900e-03
1.500000e+01	5.866700e-03
2.000000e+01	5.039800e-03
2.500000e+01	4.601200e-03
3.000000e+01	4.309300e-03
3.500000e+01	4.078000e-03
4.000000e+01	3.880600e-03
4.500000e+01	3.710300e-03
5.000000e+01	3.564400e-03
5.500000e+01	3.440900e-03
6.000000e+01	3.336800e-03
6.500000e+01	3.249500e-03
7.000000e+01	3.176100e-03
7.500000e+01	3.114200e-03
8.000000e+01	3.061600e-03
8.500000e+01	3.016400e-03
9.000000e+01	2.977200e-03
9.500000e+01	2.942700e-03
1.000000e+02	2.911900e-03
1.500000e+02	2.695200e-03
2.000000e+02	2.548200e-03
2.500000e+02	2.470600e-03
3.000000e+02	2.460300e-03
3.500000e+02	2.498500e-03
4.000000e+02	2.564400e-03
4.500000e+02	2.641300e-03
5.000000e+02	2.717900e-03
5.500000e+02	2.788100e-03
6.000000e+02	2.849800e-03
6.500000e+02	2.903400e-03
7.000000e+02	2.950300e-03
7.500000e+02	2.991800e-03
8.000000e+02	3.028000e-03
8.500000e+02	3.057600e-03
9.000000e+02	3.077800e-03
9.500000e+02	3.083700e-03
1.000000e+03	3.069700e-03
