# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	2.684500e-07
1.500000e-01	8.141100e-06
2.000000e-01	1.172000e-05
2.500000e-01	1.384700e-05
3.000000e-01	1.535700e-05
3.500000e-01	1.655900e-05
4.000000e-01	1.758500e-05
4.500000e-01	1.850000e-05
5.000000e-01	1.990300e-05
5.500000e-01	2.132500e-05
6.000000e-01	2.273600e-05
6.500000e-01	2.412200e-05
7.000000e-01	2.547600e-05
7.500000e-01	2.679300e-05
8.000000e-01	2.807200e-05
8.500000e-01	2.931100e-05
9.000000e-01	3.051200e-05
9.500000e-01	3.167500e-05
1.000000e+00	3.280100e-05
1.500000e+00	4.236700e-05
2.000000e+00	4.970700e-05
2.500000e+00	5.562000e-05
3.000000e+00	6.055400e-05
3.500000e+00	6.477500e-05
4.000000e+00	6.845500e-05
4.500000e+00	7.171200e-05
5.000000e+00	7.462700e-05
5.500000e+00	7.726100e-05
6.000000e+00	7.966100e-05
6.500000e+00	8.186200e-05
7.000000e+00	8.389200e-05
7.500000e+00	8.577300e-05
8.000000e+00	8.752400e-05
8.500000e+00	8.916000e-05
9.000000e+00	9.069400e-05
9.500000e+00	9.213600e-05
1.000000e+01	9.349600e-05
1.500000e+01	1.038500e-04
2.000000e+01	1.105800e-04
2.500000e+01	1.152900e-04
3.000000e+01	1.187000e-04
3.500000e+01	1.212300e-04
4.000000e+01	1.231100e-04
4.500000e+01	1.245300e-04
5.000000e+01	1.255900e-04
5.500000e+01	1.263900e-04
6.000000e+01	1.269800e-04
6.500000e+01	1.274300e-04
7.000000e+01	1.277500e-04
7.500000e+01	1.279800e-04
8.000000e+01	1.281500e-04
8.500000e+01	1.282600e-04
9.000000e+01	1.283300e-04
9.500000e+01	1.283700e-04
1.000000e+02	1.283800e-04
