# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	9.847400e-01
1.500000e-04	1.739700e+00
2.000000e-04	2.195500e+00
2.500000e-04	2.498900e+00
3.000000e-04	2.711900e+00
3.500000e-04	2.866400e+00
4.000000e-04	3.019700e+00
4.500000e-04	3.146400e+00
5.000000e-04	3.245900e+00
5.500000e-04	3.324400e+00
6.000000e-04	3.386700e+00
6.500000e-04	3.435800e+00
7.000000e-04	3.474500e+00
7.500000e-04	3.504700e+00
8.000000e-04	3.527700e+00
8.500000e-04	3.544900e+00
9.000000e-04	3.557300e+00
9.500000e-04	3.565400e+00
1.000000e-03	3.570100e+00
1.500000e-03	3.507800e+00
2.000000e-03	3.368600e+00
2.500000e-03	3.216700e+00
3.000000e-03	3.069900e+00
3.500000e-03	2.933500e+00
4.000000e-03	2.808300e+00
4.500000e-03	2.693700e+00
5.000000e-03	2.588900e+00
5.500000e-03	2.492900e+00
6.000000e-03	2.404600e+00
6.500000e-03	2.323200e+00
7.000000e-03	2.247900e+00
7.500000e-03	2.178100e+00
8.000000e-03	2.113100e+00
8.500000e-03	2.052400e+00
9.000000e-03	1.995700e+00
9.500000e-03	1.942500e+00
1.000000e-02	1.892400e+00
1.500000e-02	1.517600e+00
2.000000e-02	1.278900e+00
2.500000e-02	1.111500e+00
3.000000e-02	9.867800e-01
3.500000e-02	8.896500e-01
4.000000e-02	8.116000e-01
4.500000e-02	7.473200e-01
5.000000e-02	6.933500e-01
5.500000e-02	6.473100e-01
6.000000e-02	6.075100e-01
6.500000e-02	5.727300e-01
7.000000e-02	5.420400e-01
7.500000e-02	5.147400e-01
8.000000e-02	4.902700e-01
8.500000e-02	4.682100e-01
9.000000e-02	4.482000e-01
9.500000e-02	4.299700e-01
1.000000e-01	4.132700e-01
1.500000e-01	3.004500e-01
2.000000e-01	2.388300e-01
2.500000e-01	1.995900e-01
3.000000e-01	1.722200e-01
3.500000e-01	1.518300e-01
4.000000e-01	1.355100e-01
4.500000e-01	1.225300e-01
5.000000e-01	1.117800e-01
5.500000e-01	1.028600e-01
6.000000e-01	9.532700e-02
6.500000e-01	8.888100e-02
7.000000e-01	8.329600e-02
7.500000e-01	7.840900e-02
8.000000e-01	7.409400e-02
8.500000e-01	7.025400e-02
9.000000e-01	6.681400e-02
9.500000e-01	6.371400e-02
1.000000e+00	6.090300e-02
1.500000e+00	4.211500e-02
2.000000e+00	3.231200e-02
2.500000e+00	2.628300e-02
3.000000e+00	2.220000e-02
3.500000e+00	1.932900e-02
4.000000e+00	1.723300e-02
4.500000e+00	1.560600e-02
5.000000e+00	1.429700e-02
5.500000e+00	1.322300e-02
6.000000e+00	1.233000e-02
6.500000e+00	1.158500e-02
7.000000e+00	1.095500e-02
7.500000e+00	1.041100e-02
8.000000e+00	9.932000e-03
8.500000e+00	9.508200e-03
9.000000e+00	9.131200e-03
9.500000e+00	8.794600e-03
1.000000e+01	8.493100e-03
1.500000e+01	6.662300e-03
2.000000e+01	5.797800e-03
2.500000e+01	5.256300e-03
3.000000e+01	4.870000e-03
3.500000e+01	4.581700e-03
4.000000e+01	4.361500e-03
4.500000e+01	4.189600e-03
5.000000e+01	4.051900e-03
5.500000e+01	3.938700e-03
6.000000e+01	3.842900e-03
6.500000e+01	3.759900e-03
7.000000e+01	3.686200e-03
7.500000e+01	3.619700e-03
8.000000e+01	3.558800e-03
8.500000e+01	3.502500e-03
9.000000e+01	3.450000e-03
9.500000e+01	3.400900e-03
1.000000e+02	3.354700e-03
1.500000e+02	3.019000e-03
2.000000e+02	2.846400e-03
2.500000e+02	2.779900e-03
3.000000e+02	2.780500e-03
3.500000e+02	2.819700e-03
4.000000e+02	2.878300e-03
4.500000e+02	2.943300e-03
5.000000e+02	3.007300e-03
5.500000e+02	3.067100e-03
6.000000e+02	3.122200e-03
6.500000e+02	3.173700e-03
7.000000e+02	3.223000e-03
7.500000e+02	3.271000e-03
8.000000e+02	3.316900e-03
8.500000e+02	3.358100e-03
9.000000e+02	3.389700e-03
9.500000e+02	3.404200e-03
1.000000e+03	3.392100e-03
