# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	4.128200e-05
4.500000e-02	4.235700e-05
5.000000e-02	4.283900e-05
5.500000e-02	4.296000e-05
6.000000e-02	4.285800e-05
6.500000e-02	4.261900e-05
7.000000e-02	4.229400e-05
7.500000e-02	4.191900e-05
8.000000e-02	4.151600e-05
8.500000e-02	4.110000e-05
9.000000e-02	4.068200e-05
9.500000e-02	4.026700e-05
1.000000e-01	3.986000e-05
1.500000e-01	3.751500e-05
2.000000e-01	3.655600e-05
2.500000e-01	3.591300e-05
3.000000e-01	3.556200e-05
3.500000e-01	3.542600e-05
4.000000e-01	3.605700e-05
4.500000e-01	3.687400e-05
5.000000e-01	3.775200e-05
5.500000e-01	3.866500e-05
6.000000e-01	3.959600e-05
6.500000e-01	4.053300e-05
7.000000e-01	4.146800e-05
7.500000e-01	4.239600e-05
8.000000e-01	4.331400e-05
8.500000e-01	4.421800e-05
9.000000e-01	4.510800e-05
9.500000e-01	4.598100e-05
1.000000e+00	4.683800e-05
1.500000e+00	5.448900e-05
2.000000e+00	6.072500e-05
2.500000e+00	6.591800e-05
3.000000e+00	7.034000e-05
3.500000e+00	7.417400e-05
4.000000e+00	7.754900e-05
4.500000e+00	8.055500e-05
5.000000e+00	8.326100e-05
5.500000e+00	8.571500e-05
6.000000e+00	8.795800e-05
6.500000e+00	9.002000e-05
7.000000e+00	9.192600e-05
7.500000e+00	9.369500e-05
8.000000e+00	9.534400e-05
8.500000e+00	9.688600e-05
9.000000e+00	9.833300e-05
9.500000e+00	9.969500e-05
1.000000e+01	1.009800e-04
1.500000e+01	1.107800e-04
2.000000e+01	1.171700e-04
2.500000e+01	1.216500e-04
3.000000e+01	1.249200e-04
3.500000e+01	1.273600e-04
4.000000e+01	1.292000e-04
4.500000e+01	1.306100e-04
5.000000e+01	1.316800e-04
5.500000e+01	1.325000e-04
6.000000e+01	1.331300e-04
6.500000e+01	1.336100e-04
7.000000e+01	1.339700e-04
7.500000e+01	1.342400e-04
8.000000e+01	1.344400e-04
8.500000e+01	1.345900e-04
9.000000e+01	1.346900e-04
9.500000e+01	1.347600e-04
1.000000e+02	1.348000e-04
