# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.116100e+00
1.500000e-04	2.032000e+00
2.000000e-04	2.527800e+00
2.500000e-04	2.824600e+00
3.000000e-04	3.087600e+00
3.500000e-04	3.308200e+00
4.000000e-04	3.467100e+00
4.500000e-04	3.583100e+00
5.000000e-04	3.668400e+00
5.500000e-04	3.731100e+00
6.000000e-04	3.776700e+00
6.500000e-04	3.809200e+00
7.000000e-04	3.831600e+00
7.500000e-04	3.845900e+00
8.000000e-04	3.853800e+00
8.500000e-04	3.856600e+00
9.000000e-04	3.855200e+00
9.500000e-04	3.850500e+00
1.000000e-03	3.843000e+00
1.500000e-03	3.692100e+00
2.000000e-03	3.503200e+00
2.500000e-03	3.321500e+00
3.000000e-03	3.155600e+00
3.500000e-03	3.006000e+00
4.000000e-03	2.871400e+00
4.500000e-03	2.749900e+00
5.000000e-03	2.639700e+00
5.500000e-03	2.539400e+00
6.000000e-03	2.447600e+00
6.500000e-03	2.363300e+00
7.000000e-03	2.285600e+00
7.500000e-03	2.213600e+00
8.000000e-03	2.146800e+00
8.500000e-03	2.084500e+00
9.000000e-03	2.026300e+00
9.500000e-03	1.971800e+00
1.000000e-02	1.920600e+00
1.500000e-02	1.538200e+00
2.000000e-02	1.295400e+00
2.500000e-02	1.125500e+00
3.000000e-02	9.989600e-01
3.500000e-02	9.005000e-01
4.000000e-02	8.214100e-01
4.500000e-02	7.562700e-01
5.000000e-02	7.012700e-01
5.500000e-02	6.544700e-01
6.000000e-02	6.141100e-01
6.500000e-02	5.789000e-01
7.000000e-02	5.478800e-01
7.500000e-02	5.203100e-01
8.000000e-02	4.956300e-01
8.500000e-02	4.734000e-01
9.000000e-02	4.532500e-01
9.500000e-02	4.348900e-01
1.000000e-01	4.181000e-01
1.500000e-01	3.041700e-01
2.000000e-01	2.407900e-01
2.500000e-01	2.007300e-01
3.000000e-01	1.732300e-01
3.500000e-01	1.529400e-01
4.000000e-01	1.373000e-01
4.500000e-01	1.248300e-01
5.000000e-01	1.146400e-01
5.500000e-01	1.061400e-01
6.000000e-01	9.893000e-02
6.500000e-01	9.273400e-02
7.000000e-01	8.696000e-02
7.500000e-01	8.174400e-02
8.000000e-01	7.713900e-02
8.500000e-01	7.304000e-02
9.000000e-01	6.936800e-02
9.500000e-01	6.605900e-02
1.000000e+00	6.306100e-02
1.500000e+00	4.357500e-02
2.000000e+00	3.344700e-02
2.500000e+00	2.721300e-02
3.000000e+00	2.297800e-02
3.500000e+00	1.991500e-02
4.000000e+00	1.765900e-02
4.500000e+00	1.592500e-02
5.000000e+00	1.455000e-02
5.500000e+00	1.341500e-02
6.000000e+00	1.246300e-02
6.500000e+00	1.166400e-02
7.000000e+00	1.098800e-02
7.500000e+00	1.041300e-02
8.000000e+00	9.916600e-03
8.500000e+00	9.483900e-03
9.000000e+00	9.102300e-03
9.500000e+00	8.762400e-03
1.000000e+01	8.457000e-03
1.500000e+01	6.556800e-03
2.000000e+01	5.727600e-03
2.500000e+01	5.302800e-03
3.000000e+01	5.010400e-03
3.500000e+01	4.760400e-03
4.000000e+01	4.535900e-03
4.500000e+01	4.338700e-03
5.000000e+01	4.170700e-03
5.500000e+01	4.030400e-03
6.000000e+01	3.914500e-03
6.500000e+01	3.818700e-03
7.000000e+01	3.738800e-03
7.500000e+01	3.671100e-03
8.000000e+01	3.612400e-03
8.500000e+01	3.560400e-03
9.000000e+01	3.513300e-03
9.500000e+01	3.469700e-03
1.000000e+02	3.428500e-03
1.500000e+02	3.091200e-03
2.000000e+02	2.884700e-03
2.500000e+02	2.792800e-03
3.000000e+02	2.763200e-03
3.500000e+02	2.759900e-03
4.000000e+02	2.768600e-03
4.500000e+02	2.787000e-03
5.000000e+02	2.816300e-03
5.500000e+02	2.855200e-03
6.000000e+02	2.899500e-03
6.500000e+02	2.941600e-03
7.000000e+02	2.973100e-03
7.500000e+02	2.987200e-03
8.000000e+02	2.981500e-03
8.500000e+02	2.960500e-03
9.000000e+02	2.936800e-03
9.500000e+02	2.931700e-03
1.000000e+03	2.977000e-03
