# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	6.000100e-06
2.000000e-01	1.081900e-05
2.500000e-01	1.377000e-05
3.000000e-01	1.631700e-05
3.500000e-01	1.881500e-05
4.000000e-01	2.094300e-05
4.500000e-01	2.282800e-05
5.000000e-01	2.454100e-05
5.500000e-01	2.612300e-05
6.000000e-01	2.760300e-05
6.500000e-01	2.899800e-05
7.000000e-01	3.032200e-05
7.500000e-01	3.158400e-05
8.000000e-01	3.279200e-05
8.500000e-01	3.395200e-05
9.000000e-01	3.506800e-05
9.500000e-01	3.614400e-05
1.000000e+00	3.718300e-05
1.500000e+00	4.603300e-05
2.000000e+00	5.294800e-05
2.500000e+00	5.861600e-05
3.000000e+00	6.340600e-05
3.500000e+00	6.754400e-05
4.000000e+00	7.117900e-05
4.500000e+00	7.441400e-05
5.000000e+00	7.732400e-05
5.500000e+00	7.996500e-05
6.000000e+00	8.237900e-05
6.500000e+00	8.459900e-05
7.000000e+00	8.665300e-05
7.500000e+00	8.856100e-05
8.000000e+00	9.034100e-05
8.500000e+00	9.200800e-05
9.000000e+00	9.357300e-05
9.500000e+00	9.504800e-05
1.000000e+01	9.644200e-05
1.500000e+01	1.071500e-04
2.000000e+01	1.142400e-04
2.500000e+01	1.192900e-04
3.000000e+01	1.230400e-04
3.500000e+01	1.258900e-04
4.000000e+01	1.280800e-04
4.500000e+01	1.297800e-04
5.000000e+01	1.311100e-04
5.500000e+01	1.321400e-04
6.000000e+01	1.329500e-04
6.500000e+01	1.335900e-04
7.000000e+01	1.340900e-04
7.500000e+01	1.344800e-04
8.000000e+01	1.347800e-04
8.500000e+01	1.350100e-04
9.000000e+01	1.351900e-04
9.500000e+01	1.353200e-04
1.000000e+02	1.354200e-04
