# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	2.064300e-05
4.500000e-02	1.902600e-05
5.000000e-02	2.016900e-05
5.500000e-02	2.216400e-05
6.000000e-02	2.359900e-05
6.500000e-02	2.464000e-05
7.000000e-02	2.539900e-05
7.500000e-02	2.595300e-05
8.000000e-02	2.635400e-05
8.500000e-02	2.664300e-05
9.000000e-02	2.684500e-05
9.500000e-02	2.824300e-05
1.000000e-01	2.980900e-05
1.500000e-01	3.812800e-05
2.000000e-01	4.143500e-05
2.500000e-01	4.336300e-05
3.000000e-01	4.480900e-05
3.500000e-01	4.605900e-05
4.000000e-01	4.721600e-05
4.500000e-01	4.832200e-05
5.000000e-01	4.939100e-05
5.500000e-01	5.043100e-05
6.000000e-01	5.144500e-05
6.500000e-01	5.243500e-05
7.000000e-01	5.340200e-05
7.500000e-01	5.434600e-05
8.000000e-01	5.526800e-05
8.500000e-01	5.616800e-05
9.000000e-01	5.704800e-05
9.500000e-01	5.790700e-05
1.000000e+00	5.874600e-05
1.500000e+00	6.617900e-05
2.000000e+00	7.222300e-05
2.500000e+00	7.726500e-05
3.000000e+00	8.156500e-05
3.500000e+00	8.529700e-05
4.000000e+00	8.858500e-05
4.500000e+00	9.151400e-05
5.000000e+00	9.415000e-05
5.500000e+00	9.654100e-05
6.000000e+00	9.872500e-05
6.500000e+00	1.007300e-04
7.000000e+00	1.025800e-04
7.500000e+00	1.043000e-04
8.000000e+00	1.059000e-04
8.500000e+00	1.074000e-04
9.000000e+00	1.088000e-04
9.500000e+00	1.101200e-04
1.000000e+01	1.113600e-04
1.500000e+01	1.207500e-04
2.000000e+01	1.267600e-04
2.500000e+01	1.308800e-04
3.000000e+01	1.338000e-04
3.500000e+01	1.359100e-04
4.000000e+01	1.374600e-04
4.500000e+01	1.386000e-04
5.000000e+01	1.394300e-04
5.500000e+01	1.400400e-04
6.000000e+01	1.404800e-04
6.500000e+01	1.407900e-04
7.000000e+01	1.410100e-04
7.500000e+01	1.411600e-04
8.000000e+01	1.412500e-04
8.500000e+01	1.413100e-04
9.000000e+01	1.413300e-04
9.500000e+01	1.413300e-04
1.000000e+02	1.413100e-04
