# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	9.785900e+00
1.500000e-04	1.010700e+01
2.000000e-04	1.009500e+01
2.500000e-04	9.963600e+00
3.000000e-04	9.785400e+00
3.500000e-04	9.589300e+00
4.000000e-04	9.388800e+00
4.500000e-04	9.190300e+00
5.000000e-04	8.997200e+00
5.500000e-04	8.810900e+00
6.000000e-04	8.632200e+00
6.500000e-04	8.461100e+00
7.000000e-04	8.297500e+00
7.500000e-04	8.141300e+00
8.000000e-04	7.992000e+00
8.500000e-04	7.849300e+00
9.000000e-04	7.712800e+00
9.500000e-04	7.582200e+00
1.000000e-03	7.457100e+00
1.500000e-03	6.445200e+00
2.000000e-03	5.727700e+00
2.500000e-03	5.186400e+00
3.000000e-03	4.759800e+00
3.500000e-03	4.412500e+00
4.000000e-03	4.122800e+00
4.500000e-03	3.876400e+00
5.000000e-03	3.663500e+00
5.500000e-03	3.477400e+00
6.000000e-03	3.312700e+00
6.500000e-03	3.165900e+00
7.000000e-03	3.033800e+00
7.500000e-03	2.914300e+00
8.000000e-03	2.805500e+00
8.500000e-03	2.705900e+00
9.000000e-03	2.614300e+00
9.500000e-03	2.529800e+00
1.000000e-02	2.451400e+00
1.500000e-02	1.893800e+00
2.000000e-02	1.562100e+00
2.500000e-02	1.338600e+00
3.000000e-02	1.176200e+00
3.500000e-02	1.052000e+00
4.000000e-02	9.536900e-01
4.500000e-02	8.736000e-01
5.000000e-02	8.068800e-01
5.500000e-02	7.500900e-01
6.000000e-02	7.014600e-01
6.500000e-02	6.593400e-01
7.000000e-02	6.224600e-01
7.500000e-02	5.898600e-01
8.000000e-02	5.608200e-01
8.500000e-02	5.347700e-01
9.000000e-02	5.112500e-01
9.500000e-02	4.899100e-01
1.000000e-01	4.704300e-01
1.500000e-01	3.402200e-01
2.000000e-01	2.667100e-01
2.500000e-01	2.201400e-01
3.000000e-01	1.880400e-01
3.500000e-01	1.648100e-01
4.000000e-01	1.470100e-01
4.500000e-01	1.329100e-01
5.000000e-01	1.214400e-01
5.500000e-01	1.119200e-01
6.000000e-01	1.038800e-01
6.500000e-01	9.699900e-02
7.000000e-01	9.103200e-02
7.500000e-01	8.580800e-02
8.000000e-01	8.119300e-02
8.500000e-01	7.708500e-02
9.000000e-01	7.319500e-02
9.500000e-01	6.962400e-02
1.000000e+00	6.639200e-02
1.500000e+00	4.551000e-02
2.000000e+00	3.475000e-02
2.500000e+00	2.816700e-02
3.000000e+00	2.371600e-02
3.500000e+00	2.051400e-02
4.000000e+00	1.825900e-02
4.500000e+00	1.648300e-02
5.000000e+00	1.497500e-02
5.500000e+00	1.373500e-02
6.000000e+00	1.273300e-02
6.500000e+00	1.191200e-02
7.000000e+00	1.122100e-02
7.500000e+00	1.062300e-02
8.000000e+00	1.009500e-02
8.500000e+00	9.623000e-03
9.000000e+00	9.196300e-03
9.500000e+00	8.808500e-03
1.000000e+01	8.454900e-03
1.500000e+01	6.220000e-03
2.000000e+01	5.242400e-03
2.500000e+01	4.732500e-03
3.000000e+01	4.394800e-03
3.500000e+01	4.124200e-03
4.000000e+01	3.890500e-03
4.500000e+01	3.687300e-03
5.000000e+01	3.512600e-03
5.500000e+01	3.364500e-03
6.000000e+01	3.239800e-03
6.500000e+01	3.135400e-03
7.000000e+01	3.047800e-03
7.500000e+01	2.974100e-03
8.000000e+01	2.911700e-03
8.500000e+01	2.858300e-03
9.000000e+01	2.812300e-03
9.500000e+01	2.771900e-03
1.000000e+02	2.736100e-03
1.500000e+02	2.492200e-03
2.000000e+02	2.332900e-03
2.500000e+02	2.247300e-03
3.000000e+02	2.230500e-03
3.500000e+02	2.263300e-03
4.000000e+02	2.324400e-03
4.500000e+02	2.396700e-03
5.000000e+02	2.468900e-03
5.500000e+02	2.534800e-03
6.000000e+02	2.592500e-03
6.500000e+02	2.642500e-03
7.000000e+02	2.686300e-03
7.500000e+02	2.725400e-03
8.000000e+02	2.759800e-03
8.500000e+02	2.788400e-03
9.000000e+02	2.808000e-03
9.500000e+02	2.813700e-03
1.000000e+03	2.799300e-03
