# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	4.254100e-06
2.500000e-01	8.911200e-06
3.000000e-01	1.226100e-05
3.500000e-01	1.491400e-05
4.000000e-01	1.715000e-05
4.500000e-01	1.911300e-05
5.000000e-01	2.088400e-05
5.500000e-01	2.251200e-05
6.000000e-01	2.403000e-05
6.500000e-01	2.545700e-05
7.000000e-01	2.680900e-05
7.500000e-01	2.809600e-05
8.000000e-01	2.932700e-05
8.500000e-01	3.050900e-05
9.000000e-01	3.164500e-05
9.500000e-01	3.274100e-05
1.000000e+00	3.379900e-05
1.500000e+00	4.281400e-05
2.000000e+00	4.986600e-05
2.500000e+00	5.565300e-05
3.000000e+00	6.054700e-05
3.500000e+00	6.477800e-05
4.000000e+00	6.849600e-05
4.500000e+00	7.180600e-05
5.000000e+00	7.478500e-05
5.500000e+00	7.748900e-05
6.000000e+00	7.996100e-05
6.500000e+00	8.223600e-05
7.000000e+00	8.434100e-05
7.500000e+00	8.629700e-05
8.000000e+00	8.812200e-05
8.500000e+00	8.983200e-05
9.000000e+00	9.143800e-05
9.500000e+00	9.295200e-05
1.000000e+01	9.438200e-05
1.500000e+01	1.053900e-04
2.000000e+01	1.127300e-04
2.500000e+01	1.180000e-04
3.000000e+01	1.219600e-04
3.500000e+01	1.250000e-04
4.000000e+01	1.273800e-04
4.500000e+01	1.292700e-04
5.000000e+01	1.307700e-04
5.500000e+01	1.319800e-04
6.000000e+01	1.329500e-04
6.500000e+01	1.337400e-04
7.000000e+01	1.343700e-04
7.500000e+01	1.348900e-04
8.000000e+01	1.353200e-04
8.500000e+01	1.356600e-04
9.000000e+01	1.359500e-04
9.500000e+01	1.361800e-04
1.000000e+02	1.363700e-04
