# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	1.208600e+00
2.000000e-04	2.248100e+00
2.500000e-04	2.948400e+00
3.000000e-04	3.448600e+00
3.500000e-04	3.819400e+00
4.000000e-04	4.101100e+00
4.500000e-04	4.318800e+00
5.000000e-04	4.488800e+00
5.500000e-04	4.622400e+00
6.000000e-04	4.727700e+00
6.500000e-04	4.810600e+00
7.000000e-04	4.875500e+00
7.500000e-04	4.925700e+00
8.000000e-04	4.963800e+00
8.500000e-04	4.992100e+00
9.000000e-04	5.012100e+00
9.500000e-04	5.025100e+00
1.000000e-03	5.032300e+00
1.500000e-03	4.924100e+00
2.000000e-03	4.693600e+00
2.500000e-03	4.446900e+00
3.000000e-03	4.212100e+00
3.500000e-03	3.996600e+00
4.000000e-03	3.800900e+00
4.500000e-03	3.623800e+00
5.000000e-03	3.463200e+00
5.500000e-03	3.317300e+00
6.000000e-03	3.184200e+00
6.500000e-03	3.062400e+00
7.000000e-03	2.950600e+00
7.500000e-03	2.847400e+00
8.000000e-03	2.752100e+00
8.500000e-03	2.663600e+00
9.000000e-03	2.581300e+00
9.500000e-03	2.504400e+00
1.000000e-02	2.432600e+00
1.500000e-02	1.905100e+00
2.000000e-02	1.579600e+00
2.500000e-02	1.356500e+00
3.000000e-02	1.192900e+00
3.500000e-02	1.067300e+00
4.000000e-02	9.674700e-01
4.500000e-02	8.860100e-01
5.000000e-02	8.181400e-01
5.500000e-02	7.606500e-01
6.000000e-02	7.112500e-01
6.500000e-02	6.683100e-01
7.000000e-02	6.306100e-01
7.500000e-02	5.972100e-01
8.000000e-02	5.674000e-01
8.500000e-02	5.406200e-01
9.000000e-02	5.164200e-01
9.500000e-02	4.944300e-01
1.000000e-01	4.743500e-01
1.500000e-01	3.398400e-01
2.000000e-01	2.676800e-01
2.500000e-01	2.224400e-01
3.000000e-01	1.912200e-01
3.500000e-01	1.677000e-01
4.000000e-01	1.494900e-01
4.500000e-01	1.344700e-01
5.000000e-01	1.222400e-01
5.500000e-01	1.121200e-01
6.000000e-01	1.035900e-01
6.500000e-01	9.630800e-02
7.000000e-01	9.000800e-02
7.500000e-01	8.450500e-02
8.000000e-01	7.965500e-02
8.500000e-01	7.534600e-02
9.000000e-01	7.149200e-02
9.500000e-01	6.802300e-02
1.000000e+00	6.488500e-02
1.500000e+00	4.457700e-02
2.000000e+00	3.408600e-02
2.500000e+00	2.767900e-02
3.000000e+00	2.339600e-02
3.500000e+00	2.041200e-02
4.000000e+00	1.826400e-02
4.500000e+00	1.662600e-02
5.000000e+00	1.532700e-02
5.500000e+00	1.426900e-02
6.000000e+00	1.339100e-02
6.500000e+00	1.265200e-02
7.000000e+00	1.202000e-02
7.500000e+00	1.147500e-02
8.000000e+00	1.099900e-02
8.500000e+00	1.058100e-02
9.000000e+00	1.021100e-02
9.500000e+00	9.881800e-03
1.000000e+01	9.587200e-03
1.500000e+01	7.769200e-03
2.000000e+01	6.844500e-03
2.500000e+01	6.219800e-03
3.000000e+01	5.748600e-03
3.500000e+01	5.380700e-03
4.000000e+01	5.087800e-03
4.500000e+01	4.849200e-03
5.000000e+01	4.649500e-03
5.500000e+01	4.477500e-03
6.000000e+01	4.325200e-03
6.500000e+01	4.187300e-03
7.000000e+01	4.059900e-03
7.500000e+01	3.940900e-03
8.000000e+01	3.828600e-03
8.500000e+01	3.722200e-03
9.000000e+01	3.621200e-03
9.500000e+01	3.525200e-03
1.000000e+02	3.434000e-03
1.500000e+02	2.763600e-03
2.000000e+02	2.418100e-03
2.500000e+02	2.242500e-03
3.000000e+02	2.145200e-03
3.500000e+02	2.083600e-03
4.000000e+02	2.040500e-03
4.500000e+02	2.009500e-03
5.000000e+02	1.987800e-03
5.500000e+02	1.973200e-03
6.000000e+02	1.962900e-03
6.500000e+02	1.954200e-03
7.000000e+02	1.944600e-03
7.500000e+02	1.932200e-03
8.000000e+02	1.917000e-03
8.500000e+02	1.900400e-03
9.000000e+02	1.886400e-03
9.500000e+02	1.881300e-03
1.000000e+03	1.894000e-03
