# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	1.441600e-05
4.500000e-02	1.681900e-05
5.000000e-02	1.844100e-05
5.500000e-02	1.955200e-05
6.000000e-02	2.031700e-05
6.500000e-02	2.084300e-05
7.000000e-02	2.175100e-05
7.500000e-02	2.246000e-05
8.000000e-02	2.300200e-05
8.500000e-02	2.341700e-05
9.000000e-02	2.373400e-05
9.500000e-02	2.511100e-05
1.000000e-01	2.667100e-05
1.500000e-01	3.502800e-05
2.000000e-01	3.837700e-05
2.500000e-01	4.033200e-05
3.000000e-01	4.179200e-05
3.500000e-01	4.304800e-05
4.000000e-01	4.420800e-05
4.500000e-01	4.531600e-05
5.000000e-01	4.639000e-05
5.500000e-01	4.743800e-05
6.000000e-01	4.846300e-05
6.500000e-01	4.946700e-05
7.000000e-01	5.044900e-05
7.500000e-01	5.141100e-05
8.000000e-01	5.235300e-05
8.500000e-01	5.327400e-05
9.000000e-01	5.417600e-05
9.500000e-01	5.505800e-05
1.000000e+00	5.592000e-05
1.500000e+00	6.359300e-05
2.000000e+00	6.986000e-05
2.500000e+00	7.510400e-05
3.000000e+00	7.958600e-05
3.500000e+00	8.348400e-05
4.000000e+00	8.692200e-05
4.500000e+00	8.999100e-05
5.000000e+00	9.275600e-05
5.500000e+00	9.526800e-05
6.000000e+00	9.756500e-05
6.500000e+00	9.967900e-05
7.000000e+00	1.016300e-04
7.500000e+00	1.034500e-04
8.000000e+00	1.051400e-04
8.500000e+00	1.067300e-04
9.000000e+00	1.082100e-04
9.500000e+00	1.096100e-04
1.000000e+01	1.109300e-04
1.500000e+01	1.210100e-04
2.000000e+01	1.275900e-04
2.500000e+01	1.322100e-04
3.000000e+01	1.355900e-04
3.500000e+01	1.381300e-04
4.000000e+01	1.400600e-04
4.500000e+01	1.415500e-04
5.000000e+01	1.427000e-04
5.500000e+01	1.436000e-04
6.000000e+01	1.443100e-04
6.500000e+01	1.448600e-04
7.000000e+01	1.452900e-04
7.500000e+01	1.456300e-04
8.000000e+01	1.458900e-04
8.500000e+01	1.461000e-04
9.000000e+01	1.462600e-04
9.500000e+01	1.463800e-04
1.000000e+02	1.464700e-04
