# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	3.920300e-05
4.500000e-02	4.156300e-05
5.000000e-02	4.296100e-05
5.500000e-02	4.375200e-05
6.000000e-02	4.415000e-05
6.500000e-02	4.429000e-05
7.000000e-02	4.425800e-05
7.500000e-02	4.411100e-05
8.000000e-02	4.388900e-05
8.500000e-02	4.361700e-05
9.000000e-02	4.331300e-05
9.500000e-02	4.299200e-05
1.000000e-01	4.266100e-05
1.500000e-01	3.964400e-05
2.000000e-01	3.760100e-05
2.500000e-01	3.708400e-05
3.000000e-01	3.795400e-05
3.500000e-01	3.885300e-05
4.000000e-01	3.978400e-05
4.500000e-01	4.073900e-05
5.000000e-01	4.170900e-05
5.500000e-01	4.268500e-05
6.000000e-01	4.366000e-05
6.500000e-01	4.463100e-05
7.000000e-01	4.559100e-05
7.500000e-01	4.654000e-05
8.000000e-01	4.747500e-05
8.500000e-01	4.839500e-05
9.000000e-01	4.929800e-05
9.500000e-01	5.018400e-05
1.000000e+00	5.105400e-05
1.500000e+00	5.883800e-05
2.000000e+00	6.522000e-05
2.500000e+00	7.055800e-05
3.000000e+00	7.511500e-05
3.500000e+00	7.907400e-05
4.000000e+00	8.256200e-05
4.500000e+00	8.567200e-05
5.000000e+00	8.847100e-05
5.500000e+00	9.101100e-05
6.000000e+00	9.333200e-05
6.500000e+00	9.546500e-05
7.000000e+00	9.743500e-05
7.500000e+00	9.926400e-05
8.000000e+00	1.009700e-04
8.500000e+00	1.025600e-04
9.000000e+00	1.040500e-04
9.500000e+00	1.054600e-04
1.000000e+01	1.067800e-04
1.500000e+01	1.168500e-04
2.000000e+01	1.233800e-04
2.500000e+01	1.279400e-04
3.000000e+01	1.312800e-04
3.500000e+01	1.337900e-04
4.000000e+01	1.357000e-04
4.500000e+01	1.371900e-04
5.000000e+01	1.383500e-04
5.500000e+01	1.392600e-04
6.000000e+01	1.399900e-04
6.500000e+01	1.405700e-04
7.000000e+01	1.410300e-04
7.500000e+01	1.414000e-04
8.000000e+01	1.417000e-04
8.500000e+01	1.419300e-04
9.000000e+01	1.421300e-04
9.500000e+01	1.422800e-04
1.000000e+02	1.424100e-04
