# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	1.950300e-07
7.000000e-02	3.596700e-06
7.500000e-02	6.397800e-06
8.000000e-02	8.732400e-06
8.500000e-02	1.069900e-05
9.000000e-02	1.320500e-05
9.500000e-02	1.549900e-05
1.000000e-01	1.748900e-05
1.500000e-01	2.844600e-05
2.000000e-01	3.297900e-05
2.500000e-01	3.560700e-05
3.000000e-01	3.750200e-05
3.500000e-01	3.906300e-05
4.000000e-01	4.045100e-05
4.500000e-01	4.173600e-05
5.000000e-01	4.295400e-05
5.500000e-01	4.412300e-05
6.000000e-01	4.525300e-05
6.500000e-01	4.634800e-05
7.000000e-01	4.741300e-05
7.500000e-01	4.845000e-05
8.000000e-01	4.946100e-05
8.500000e-01	5.044700e-05
9.000000e-01	5.140800e-05
9.500000e-01	5.234700e-05
1.000000e+00	5.326300e-05
1.500000e+00	6.136800e-05
2.000000e+00	6.796000e-05
2.500000e+00	7.347000e-05
3.000000e+00	7.818000e-05
3.500000e+00	8.227900e-05
4.000000e+00	8.589800e-05
4.500000e+00	8.913200e-05
5.000000e+00	9.204900e-05
5.500000e+00	9.470300e-05
6.000000e+00	9.713400e-05
6.500000e+00	9.937300e-05
7.000000e+00	1.014500e-04
7.500000e+00	1.033800e-04
8.000000e+00	1.051800e-04
8.500000e+00	1.068700e-04
9.000000e+00	1.084600e-04
9.500000e+00	1.099500e-04
1.000000e+01	1.113700e-04
1.500000e+01	1.222900e-04
2.000000e+01	1.295800e-04
2.500000e+01	1.348300e-04
3.000000e+01	1.387700e-04
3.500000e+01	1.418100e-04
4.000000e+01	1.441900e-04
4.500000e+01	1.460800e-04
5.000000e+01	1.475800e-04
5.500000e+01	1.487900e-04
6.000000e+01	1.497600e-04
6.500000e+01	1.505600e-04
7.000000e+01	1.512000e-04
7.500000e+01	1.517200e-04
8.000000e+01	1.521500e-04
8.500000e+01	1.525000e-04
9.000000e+01	1.527900e-04
9.500000e+01	1.530300e-04
1.000000e+02	1.532300e-04
