# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	6.260500e-07
4.500000e-02	1.439600e-06
5.000000e-02	2.021700e-06
5.500000e-02	2.448400e-06
6.000000e-02	4.179300e-06
6.500000e-02	6.311800e-06
7.000000e-02	8.750400e-06
7.500000e-02	1.158400e-05
8.000000e-02	1.486600e-05
8.500000e-02	1.762400e-05
9.000000e-02	1.996500e-05
9.500000e-02	2.196800e-05
1.000000e-01	2.369500e-05
1.500000e-01	3.296200e-05
2.000000e-01	3.662500e-05
2.500000e-01	3.872000e-05
3.000000e-01	4.025200e-05
3.500000e-01	4.154800e-05
4.000000e-01	4.273200e-05
4.500000e-01	4.385500e-05
5.000000e-01	4.493900e-05
5.500000e-01	4.599500e-05
6.000000e-01	4.702700e-05
6.500000e-01	4.803800e-05
7.000000e-01	4.902700e-05
7.500000e-01	4.999600e-05
8.000000e-01	5.094600e-05
8.500000e-01	5.187500e-05
9.000000e-01	5.278500e-05
9.500000e-01	5.367600e-05
1.000000e+00	5.454800e-05
1.500000e+00	6.232400e-05
2.000000e+00	6.869700e-05
2.500000e+00	7.404100e-05
3.000000e+00	7.861600e-05
3.500000e+00	8.260000e-05
4.000000e+00	8.611900e-05
4.500000e+00	8.926300e-05
5.000000e+00	9.209900e-05
5.500000e+00	9.467800e-05
6.000000e+00	9.703900e-05
6.500000e+00	9.921400e-05
7.000000e+00	1.012300e-04
7.500000e+00	1.031000e-04
8.000000e+00	1.048400e-04
8.500000e+00	1.064800e-04
9.000000e+00	1.080200e-04
9.500000e+00	1.094700e-04
1.000000e+01	1.108300e-04
1.500000e+01	1.213400e-04
2.000000e+01	1.283000e-04
2.500000e+01	1.332600e-04
3.000000e+01	1.369500e-04
3.500000e+01	1.397700e-04
4.000000e+01	1.419600e-04
4.500000e+01	1.436900e-04
5.000000e+01	1.450500e-04
5.500000e+01	1.461500e-04
6.000000e+01	1.470200e-04
6.500000e+01	1.477300e-04
7.000000e+01	1.483100e-04
7.500000e+01	1.487700e-04
8.000000e+01	1.491500e-04
8.500000e+01	1.494700e-04
9.000000e+01	1.497200e-04
9.500000e+01	1.499300e-04
1.000000e+02	1.501000e-04
