# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	1.174900e-04
4.500000e-02	1.185700e-04
5.000000e-02	1.184900e-04
5.500000e-02	1.177200e-04
6.000000e-02	1.165700e-04
6.500000e-02	1.152200e-04
7.000000e-02	1.137600e-04
7.500000e-02	1.122600e-04
8.000000e-02	1.107700e-04
8.500000e-02	1.093100e-04
9.000000e-02	1.078900e-04
9.500000e-02	1.065300e-04
1.000000e-01	1.052200e-04
1.500000e-01	9.510400e-05
2.000000e-01	8.899000e-05
2.500000e-01	8.520900e-05
3.000000e-01	8.283400e-05
3.500000e-01	8.135100e-05
4.000000e-01	8.046200e-05
4.500000e-01	7.998000e-05
5.000000e-01	7.978700e-05
5.500000e-01	7.980200e-05
6.000000e-01	7.997100e-05
6.500000e-01	8.025300e-05
7.000000e-01	8.062000e-05
7.500000e-01	8.105200e-05
8.000000e-01	8.153200e-05
8.500000e-01	8.204800e-05
9.000000e-01	8.259200e-05
9.500000e-01	8.315500e-05
1.000000e+00	8.373300e-05
1.500000e+00	8.964900e-05
2.000000e+00	9.508400e-05
2.500000e+00	9.985100e-05
3.000000e+00	1.040300e-04
3.500000e+00	1.077200e-04
4.000000e+00	1.110100e-04
4.500000e+00	1.139700e-04
5.000000e+00	1.166500e-04
5.500000e+00	1.191000e-04
6.000000e+00	1.213500e-04
6.500000e+00	1.234300e-04
7.000000e+00	1.253600e-04
7.500000e+00	1.271600e-04
8.000000e+00	1.288400e-04
8.500000e+00	1.304200e-04
9.000000e+00	1.319000e-04
9.500000e+00	1.333000e-04
1.000000e+01	1.346300e-04
1.500000e+01	1.448600e-04
2.000000e+01	1.516900e-04
2.500000e+01	1.565900e-04
3.000000e+01	1.602400e-04
3.500000e+01	1.630400e-04
4.000000e+01	1.652000e-04
4.500000e+01	1.669000e-04
5.000000e+01	1.682400e-04
5.500000e+01	1.692900e-04
6.000000e+01	1.701300e-04
6.500000e+01	1.708000e-04
7.000000e+01	1.713300e-04
7.500000e+01	1.717600e-04
8.000000e+01	1.720900e-04
8.500000e+01	1.723600e-04
9.000000e+01	1.725800e-04
9.500000e+01	1.727400e-04
1.000000e+02	1.728800e-04
