# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	3.700200e-06
6.500000e-02	9.598600e-06
7.000000e-02	1.435500e-05
7.500000e-02	1.824400e-05
8.000000e-02	2.146100e-05
8.500000e-02	2.415000e-05
9.000000e-02	2.642000e-05
9.500000e-02	2.835200e-05
1.000000e-01	3.000900e-05
1.500000e-01	3.867300e-05
2.000000e-01	4.193700e-05
2.500000e-01	4.377400e-05
3.000000e-01	4.513700e-05
3.500000e-01	4.632100e-05
4.000000e-01	4.743200e-05
4.500000e-01	4.850900e-05
5.000000e-01	4.956700e-05
5.500000e-01	5.061100e-05
6.000000e-01	5.164200e-05
6.500000e-01	5.265900e-05
7.000000e-01	5.366200e-05
7.500000e-01	5.464900e-05
8.000000e-01	5.562000e-05
8.500000e-01	5.657500e-05
9.000000e-01	5.751200e-05
9.500000e-01	5.843100e-05
1.000000e+00	5.933300e-05
1.500000e+00	6.743500e-05
2.000000e+00	7.412100e-05
2.500000e+00	7.974400e-05
3.000000e+00	8.456600e-05
3.500000e+00	8.877100e-05
4.000000e+00	9.248700e-05
4.500000e+00	9.580900e-05
5.000000e+00	9.880800e-05
5.500000e+00	1.015400e-04
6.000000e+00	1.040300e-04
6.500000e+00	1.063400e-04
7.000000e+00	1.084700e-04
7.500000e+00	1.104500e-04
8.000000e+00	1.123000e-04
8.500000e+00	1.140400e-04
9.000000e+00	1.156700e-04
9.500000e+00	1.172100e-04
1.000000e+01	1.186600e-04
1.500000e+01	1.298400e-04
2.000000e+01	1.372700e-04
2.500000e+01	1.425900e-04
3.000000e+01	1.465800e-04
3.500000e+01	1.496400e-04
4.000000e+01	1.520300e-04
4.500000e+01	1.539100e-04
5.000000e+01	1.554200e-04
5.500000e+01	1.566300e-04
6.000000e+01	1.576000e-04
6.500000e+01	1.584000e-04
7.000000e+01	1.590500e-04
7.500000e+01	1.595800e-04
8.000000e+01	1.600100e-04
8.500000e+01	1.603700e-04
9.000000e+01	1.606700e-04
9.500000e+01	1.609200e-04
1.000000e+02	1.611200e-04
