# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	3.946700e-05
4.500000e-02	4.348200e-05
5.000000e-02	4.607100e-05
5.500000e-02	4.774200e-05
6.000000e-02	4.977300e-05
6.500000e-02	5.269000e-05
7.000000e-02	5.488600e-05
7.500000e-02	5.655100e-05
8.000000e-02	5.782100e-05
8.500000e-02	5.879000e-05
9.000000e-02	5.953000e-05
9.500000e-02	6.009100e-05
1.000000e-01	6.051500e-05
1.500000e-01	6.135200e-05
2.000000e-01	6.070000e-05
2.500000e-01	6.018900e-05
3.000000e-01	5.998800e-05
3.500000e-01	6.005500e-05
4.000000e-01	6.032800e-05
4.500000e-01	6.075200e-05
5.000000e-01	6.128600e-05
5.500000e-01	6.189900e-05
6.000000e-01	6.256900e-05
6.500000e-01	6.327800e-05
7.000000e-01	6.401500e-05
7.500000e-01	6.477000e-05
8.000000e-01	6.553600e-05
8.500000e-01	6.630800e-05
9.000000e-01	6.708000e-05
9.500000e-01	6.785100e-05
1.000000e+00	6.861700e-05
1.500000e+00	7.580200e-05
2.000000e+00	8.195300e-05
2.500000e+00	8.719800e-05
3.000000e+00	9.172500e-05
3.500000e+00	9.568300e-05
4.000000e+00	9.918600e-05
4.500000e+00	1.023200e-04
5.000000e+00	1.051400e-04
5.500000e+00	1.077100e-04
6.000000e+00	1.100600e-04
6.500000e+00	1.122100e-04
7.000000e+00	1.142100e-04
7.500000e+00	1.160600e-04
8.000000e+00	1.177900e-04
8.500000e+00	1.194000e-04
9.000000e+00	1.209100e-04
9.500000e+00	1.223300e-04
1.000000e+01	1.236700e-04
1.500000e+01	1.338200e-04
2.000000e+01	1.403700e-04
2.500000e+01	1.449200e-04
3.000000e+01	1.482300e-04
3.500000e+01	1.507100e-04
4.000000e+01	1.526100e-04
4.500000e+01	1.540800e-04
5.000000e+01	1.552400e-04
5.500000e+01	1.561600e-04
6.000000e+01	1.568900e-04
6.500000e+01	1.574800e-04
7.000000e+01	1.579600e-04
7.500000e+01	1.583500e-04
8.000000e+01	1.586600e-04
8.500000e+01	1.589200e-04
9.000000e+01	1.591400e-04
9.500000e+01	1.593200e-04
1.000000e+02	1.594600e-04
