# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	8.045100e+00
1.500000e-04	8.961100e+00
2.000000e-04	9.450000e+00
2.500000e-04	9.724200e+00
3.000000e-04	9.874600e+00
3.500000e-04	9.947700e+00
4.000000e-04	9.969900e+00
4.500000e-04	9.957400e+00
5.000000e-04	9.920800e+00
5.500000e-04	9.867000e+00
6.000000e-04	9.801000e+00
6.500000e-04	9.726300e+00
7.000000e-04	9.645400e+00
7.500000e-04	9.560200e+00
8.000000e-04	9.472100e+00
8.500000e-04	9.382200e+00
9.000000e-04	9.291300e+00
9.500000e-04	9.199900e+00
1.000000e-03	9.108500e+00
1.500000e-03	8.247700e+00
2.000000e-03	7.523100e+00
2.500000e-03	6.923000e+00
3.000000e-03	6.421100e+00
3.500000e-03	5.995600e+00
4.000000e-03	5.630100e+00
4.500000e-03	5.312400e+00
5.000000e-03	5.033400e+00
5.500000e-03	4.786100e+00
6.000000e-03	4.565200e+00
6.500000e-03	4.366500e+00
7.000000e-03	4.186700e+00
7.500000e-03	4.023000e+00
8.000000e-03	3.873300e+00
8.500000e-03	3.735800e+00
9.000000e-03	3.608900e+00
9.500000e-03	3.491500e+00
1.000000e-02	3.382500e+00
1.500000e-02	2.602100e+00
2.000000e-02	2.136200e+00
2.500000e-02	1.822600e+00
3.000000e-02	1.595500e+00
3.500000e-02	1.422600e+00
4.000000e-02	1.286000e+00
4.500000e-02	1.175100e+00
5.000000e-02	1.083000e+00
5.500000e-02	1.005300e+00
6.000000e-02	9.387700e-01
6.500000e-02	8.810400e-01
7.000000e-02	8.304500e-01
7.500000e-02	7.859300e-01
8.000000e-02	7.464800e-01
8.500000e-02	7.111100e-01
9.000000e-02	6.792200e-01
9.500000e-02	6.503000e-01
1.000000e-01	6.239400e-01
1.500000e-01	4.516600e-01
2.000000e-01	3.598200e-01
2.500000e-01	2.998400e-01
3.000000e-01	2.575700e-01
3.500000e-01	2.261600e-01
4.000000e-01	2.002000e-01
4.500000e-01	1.796900e-01
5.000000e-01	1.630700e-01
5.500000e-01	1.493300e-01
6.000000e-01	1.377600e-01
6.500000e-01	1.278800e-01
7.000000e-01	1.193500e-01
7.500000e-01	1.119100e-01
8.000000e-01	1.053500e-01
8.500000e-01	9.953600e-02
9.000000e-01	9.433800e-02
9.500000e-01	8.966500e-02
1.000000e+00	8.544000e-02
1.500000e+00	5.821900e-02
2.000000e+00	4.425500e-02
2.500000e+00	3.573900e-02
3.000000e+00	3.000900e-02
3.500000e+00	2.601800e-02
4.000000e+00	2.330400e-02
4.500000e+00	2.118900e-02
5.000000e+00	1.941200e-02
5.500000e+00	1.794600e-02
6.000000e+00	1.674200e-02
6.500000e+00	1.574200e-02
7.000000e+00	1.489900e-02
7.500000e+00	1.417500e-02
8.000000e+00	1.354300e-02
8.500000e+00	1.298300e-02
9.000000e+00	1.248100e-02
9.500000e+00	1.202700e-02
1.000000e+01	1.161300e-02
1.500000e+01	8.936200e-03
2.000000e+01	7.610700e-03
2.500000e+01	6.787200e-03
3.000000e+01	6.183200e-03
3.500000e+01	5.704300e-03
4.000000e+01	5.313200e-03
4.500000e+01	4.988800e-03
5.000000e+01	4.715800e-03
5.500000e+01	4.482100e-03
6.000000e+01	4.278300e-03
6.500000e+01	4.097300e-03
7.000000e+01	3.933900e-03
7.500000e+01	3.784600e-03
8.000000e+01	3.646800e-03
8.500000e+01	3.518600e-03
9.000000e+01	3.398800e-03
9.500000e+01	3.286500e-03
1.000000e+02	3.181200e-03
1.500000e+02	2.431400e-03
2.000000e+02	2.054500e-03
2.500000e+02	1.863200e-03
3.000000e+02	1.756700e-03
3.500000e+02	1.688800e-03
4.000000e+02	1.640300e-03
4.500000e+02	1.604100e-03
5.000000e+02	1.577700e-03
5.500000e+02	1.559400e-03
6.000000e+02	1.547300e-03
6.500000e+02	1.539000e-03
7.000000e+02	1.531800e-03
7.500000e+02	1.523400e-03
8.000000e+02	1.512700e-03
8.500000e+02	1.499600e-03
9.000000e+02	1.486400e-03
9.500000e+02	1.477200e-03
1.000000e+03	1.478500e-03
