# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	0.000000e+00
2.500000e-01	0.000000e+00
3.000000e-01	1.382100e-06
3.500000e-01	2.758300e-06
4.000000e-01	3.981400e-06
4.500000e-01	5.082400e-06
5.000000e-01	6.083500e-06
5.500000e-01	7.836700e-06
6.000000e-01	9.878000e-06
6.500000e-01	1.195600e-05
7.000000e-01	1.400300e-05
7.500000e-01	1.598500e-05
8.000000e-01	1.788300e-05
8.500000e-01	1.968900e-05
9.000000e-01	2.140400e-05
9.500000e-01	2.303000e-05
1.000000e+00	2.457000e-05
1.500000e+00	3.640500e-05
2.000000e+00	4.426900e-05
2.500000e+00	5.006800e-05
3.000000e+00	5.463200e-05
3.500000e+00	5.838300e-05
4.000000e+00	6.155800e-05
4.500000e+00	6.430600e-05
5.000000e+00	6.672200e-05
5.500000e+00	6.887400e-05
6.000000e+00	7.081000e-05
6.500000e+00	7.256600e-05
7.000000e+00	7.416900e-05
7.500000e+00	7.564100e-05
8.000000e+00	7.699900e-05
8.500000e+00	7.825600e-05
9.000000e+00	7.942500e-05
9.500000e+00	8.051500e-05
1.000000e+01	8.153300e-05
1.500000e+01	8.891700e-05
2.000000e+01	9.316100e-05
2.500000e+01	9.563700e-05
3.000000e+01	9.700800e-05
3.500000e+01	9.765800e-05
4.000000e+01	9.783700e-05
4.500000e+01	9.771000e-05
5.000000e+01	9.739300e-05
5.500000e+01	9.696400e-05
6.000000e+01	9.647400e-05
6.500000e+01	9.596000e-05
7.000000e+01	9.544400e-05
7.500000e+01	9.494000e-05
8.000000e+01	9.445700e-05
8.500000e+01	9.400000e-05
9.000000e+01	9.357000e-05
9.500000e+01	9.316900e-05
1.000000e+02	9.279600e-05
