# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	0.000000e+00
2.000000e-04	3.513000e-02
2.500000e-04	9.673700e-02
3.000000e-04	1.448700e-01
3.500000e-04	1.838600e-01
4.000000e-04	2.162800e-01
4.500000e-04	2.570900e-01
5.000000e-04	2.993900e-01
5.500000e-04	3.364500e-01
6.000000e-04	3.692400e-01
6.500000e-04	3.984800e-01
7.000000e-04	4.247400e-01
7.500000e-04	4.484700e-01
8.000000e-04	4.700200e-01
8.500000e-04	4.896700e-01
9.000000e-04	5.076600e-01
9.500000e-04	5.241900e-01
1.000000e-03	5.394300e-01
1.500000e-03	6.435200e-01
2.000000e-03	6.983200e-01
2.500000e-03	7.290700e-01
3.000000e-03	7.462800e-01
3.500000e-03	7.552100e-01
4.000000e-03	7.587800e-01
4.500000e-03	7.587600e-01
5.000000e-03	7.562800e-01
5.500000e-03	7.521000e-01
6.000000e-03	7.467000e-01
6.500000e-03	7.404700e-01
7.000000e-03	7.336500e-01
7.500000e-03	7.264200e-01
8.000000e-03	7.189400e-01
8.500000e-03	7.112900e-01
9.000000e-03	7.035600e-01
9.500000e-03	6.958000e-01
1.000000e-02	6.880600e-01
1.500000e-02	6.160200e-01
2.000000e-02	5.567000e-01
2.500000e-02	5.084500e-01
3.000000e-02	4.686700e-01
3.500000e-02	4.353300e-01
4.000000e-02	4.069700e-01
4.500000e-02	3.825100e-01
5.000000e-02	3.611800e-01
5.500000e-02	3.423900e-01
6.000000e-02	3.256900e-01
6.500000e-02	3.107400e-01
7.000000e-02	2.972700e-01
7.500000e-02	2.850500e-01
8.000000e-02	2.739200e-01
8.500000e-02	2.637200e-01
9.000000e-02	2.543500e-01
9.500000e-02	2.456900e-01
1.000000e-01	2.376700e-01
1.500000e-01	1.808800e-01
2.000000e-01	1.474600e-01
2.500000e-01	1.251900e-01
3.000000e-01	1.091700e-01
3.500000e-01	9.704100e-02
4.000000e-01	8.754500e-02
4.500000e-01	7.993500e-02
5.000000e-01	7.365800e-02
5.500000e-01	6.838200e-02
6.000000e-01	6.387900e-02
6.500000e-01	5.998600e-02
7.000000e-01	5.659500e-02
7.500000e-01	5.362300e-02
8.000000e-01	5.098400e-02
8.500000e-01	4.862300e-02
9.000000e-01	4.649700e-02
9.500000e-01	4.457200e-02
1.000000e+00	4.282000e-02
1.500000e+00	3.071600e-02
2.000000e+00	2.413100e-02
2.500000e+00	1.979100e-02
3.000000e+00	1.680900e-02
3.500000e+00	1.463600e-02
4.000000e+00	1.297900e-02
4.500000e+00	1.167100e-02
5.000000e+00	1.061300e-02
5.500000e+00	9.737300e-03
6.000000e+00	9.000900e-03
6.500000e+00	8.372400e-03
7.000000e+00	7.829500e-03
7.500000e+00	7.355600e-03
8.000000e+00	6.938300e-03
8.500000e+00	6.567800e-03
9.000000e+00	6.236600e-03
9.500000e+00	5.938700e-03
1.000000e+01	5.669300e-03
1.500000e+01	3.929300e-03
2.000000e+01	3.032300e-03
2.500000e+01	2.482700e-03
3.000000e+01	2.110400e-03
3.500000e+01	1.841000e-03
4.000000e+01	1.636900e-03
4.500000e+01	1.476700e-03
5.000000e+01	1.347500e-03
5.500000e+01	1.241100e-03
6.000000e+01	1.152000e-03
6.500000e+01	1.076100e-03
7.000000e+01	1.010800e-03
7.500000e+01	9.539300e-04
8.000000e+01	9.039800e-04
8.500000e+01	8.597500e-04
9.000000e+01	8.203000e-04
9.500000e+01	7.848900e-04
1.000000e+02	7.529400e-04
1.500000e+02	5.484200e-04
2.000000e+02	4.446700e-04
2.500000e+02	3.819700e-04
3.000000e+02	3.400300e-04
3.500000e+02	3.100600e-04
4.000000e+02	2.876100e-04
4.500000e+02	2.702000e-04
5.000000e+02	2.563300e-04
5.500000e+02	2.450300e-04
6.000000e+02	2.356700e-04
6.500000e+02	2.278000e-04
7.000000e+02	2.211000e-04
7.500000e+02	2.153300e-04
8.000000e+02	2.103300e-04
8.500000e+02	2.059400e-04
9.000000e+02	2.020700e-04
9.500000e+02	1.986400e-04
1.000000e+03	1.955800e-04
