# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	4.227600e-03
2.000000e-04	1.522800e-01
2.500000e-04	2.744400e-01
3.000000e-04	3.680500e-01
3.500000e-04	4.425200e-01
4.000000e-04	5.033600e-01
4.500000e-04	5.540400e-01
5.000000e-04	5.969000e-01
5.500000e-04	6.335800e-01
6.000000e-04	6.652800e-01
6.500000e-04	6.929000e-01
7.000000e-04	7.171000e-01
7.500000e-04	7.384300e-01
8.000000e-04	7.573200e-01
8.500000e-04	7.836600e-01
9.000000e-04	8.077100e-01
9.500000e-04	8.293900e-01
1.000000e-03	8.490000e-01
1.500000e-03	9.699300e-01
2.000000e-03	1.018500e+00
2.500000e-03	1.035100e+00
3.000000e-03	1.055300e+00
3.500000e-03	1.063000e+00
4.000000e-03	1.062100e+00
4.500000e-03	1.055700e+00
5.000000e-03	1.045900e+00
5.500000e-03	1.034000e+00
6.000000e-03	1.020600e+00
6.500000e-03	1.006500e+00
7.000000e-03	9.919000e-01
7.500000e-03	9.771300e-01
8.000000e-03	9.623600e-01
8.500000e-03	9.477000e-01
9.000000e-03	9.332400e-01
9.500000e-03	9.190400e-01
1.000000e-02	9.051400e-01
1.500000e-02	7.844700e-01
2.000000e-02	6.930800e-01
2.500000e-02	6.224200e-01
3.000000e-02	5.661900e-01
3.500000e-02	5.203200e-01
4.000000e-02	4.821000e-01
4.500000e-02	4.497000e-01
5.000000e-02	4.218500e-01
5.500000e-02	3.976200e-01
6.000000e-02	3.763100e-01
6.500000e-02	3.574100e-01
7.000000e-02	3.405100e-01
7.500000e-02	3.253100e-01
8.000000e-02	3.115400e-01
8.500000e-02	2.990100e-01
9.000000e-02	2.875500e-01
9.500000e-02	2.770300e-01
1.000000e-01	2.673200e-01
1.500000e-01	1.998100e-01
2.000000e-01	1.610900e-01
2.500000e-01	1.357000e-01
3.000000e-01	1.177500e-01
3.500000e-01	1.043100e-01
4.000000e-01	9.388400e-02
4.500000e-01	8.555000e-02
5.000000e-01	7.871100e-02
5.500000e-01	7.298600e-02
6.000000e-01	6.811600e-02
6.500000e-01	6.390600e-02
7.000000e-01	6.023400e-02
7.500000e-01	5.695800e-02
8.000000e-01	5.395600e-02
8.500000e-01	5.127900e-02
9.000000e-01	4.885600e-02
9.500000e-01	4.666200e-02
1.000000e+00	4.467000e-02
1.500000e+00	3.141400e-02
2.000000e+00	2.436600e-02
2.500000e+00	1.995300e-02
3.000000e+00	1.693800e-02
3.500000e+00	1.474200e-02
4.000000e+00	1.306900e-02
4.500000e+00	1.176300e-02
5.000000e+00	1.072500e-02
5.500000e+00	9.868400e-03
6.000000e+00	9.149700e-03
6.500000e+00	8.541700e-03
7.000000e+00	8.021600e-03
7.500000e+00	7.572200e-03
8.000000e+00	7.180500e-03
8.500000e+00	6.836900e-03
9.000000e+00	6.533100e-03
9.500000e+00	6.262900e-03
1.000000e+01	6.020800e-03
1.500000e+01	4.511900e-03
2.000000e+01	3.802400e-03
2.500000e+01	3.408200e-03
3.000000e+01	3.148000e-03
3.500000e+01	2.951300e-03
4.000000e+01	2.792500e-03
4.500000e+01	2.662100e-03
5.000000e+01	2.555300e-03
5.500000e+01	2.468200e-03
6.000000e+01	2.397600e-03
6.500000e+01	2.340100e-03
7.000000e+01	2.293200e-03
7.500000e+01	2.254400e-03
8.000000e+01	2.221800e-03
8.500000e+01	2.193800e-03
9.000000e+01	2.169200e-03
9.500000e+01	2.147000e-03
1.000000e+02	2.126500e-03
1.500000e+02	1.960200e-03
2.000000e+02	1.850500e-03
2.500000e+02	1.803600e-03
3.000000e+02	1.798700e-03
3.500000e+02	1.813500e-03
4.000000e+02	1.835800e-03
4.500000e+02	1.861500e-03
5.000000e+02	1.890400e-03
5.500000e+02	1.922900e-03
6.000000e+02	1.958700e-03
6.500000e+02	1.996200e-03
7.000000e+02	2.032000e-03
7.500000e+02	2.062500e-03
8.000000e+02	2.084200e-03
8.500000e+02	2.095100e-03
9.000000e+02	2.095800e-03
9.500000e+02	2.090300e-03
1.000000e+03	2.086300e-03
