# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	1.857200e-06
2.000000e-01	2.708700e-06
2.500000e-01	3.972700e-06
3.000000e-01	5.345200e-06
3.500000e-01	6.465300e-06
4.000000e-01	7.426200e-06
4.500000e-01	8.278500e-06
5.000000e-01	9.051700e-06
5.500000e-01	9.764100e-06
6.000000e-01	1.042800e-05
6.500000e-01	1.105200e-05
7.000000e-01	1.164100e-05
7.500000e-01	1.220100e-05
8.000000e-01	1.273400e-05
8.500000e-01	1.330300e-05
9.000000e-01	1.388400e-05
9.500000e-01	1.446300e-05
1.000000e+00	1.503900e-05
1.500000e+00	2.032500e-05
2.000000e+00	2.533400e-05
2.500000e+00	3.119900e-05
3.000000e+00	3.658200e-05
3.500000e+00	4.126600e-05
4.000000e+00	4.532200e-05
4.500000e+00	4.886100e-05
5.000000e+00	5.197800e-05
5.500000e+00	5.475000e-05
6.000000e+00	5.723700e-05
6.500000e+00	5.948700e-05
7.000000e+00	6.153600e-05
7.500000e+00	6.341300e-05
8.000000e+00	6.514200e-05
8.500000e+00	6.674200e-05
9.000000e+00	6.822900e-05
9.500000e+00	6.961500e-05
1.000000e+01	7.091200e-05
1.500000e+01	8.046100e-05
2.000000e+01	8.632200e-05
2.500000e+01	9.018200e-05
3.000000e+01	9.279200e-05
3.500000e+01	9.456600e-05
4.000000e+01	9.576100e-05
4.500000e+01	9.654800e-05
5.000000e+01	9.704400e-05
5.500000e+01	9.733400e-05
6.000000e+01	9.747700e-05
6.500000e+01	9.751800e-05
7.000000e+01	9.748700e-05
7.500000e+01	9.740600e-05
8.000000e+01	9.729300e-05
8.500000e+01	9.715800e-05
9.000000e+01	9.701000e-05
9.500000e+01	9.685600e-05
1.000000e+02	9.669800e-05
