# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.937600e-01
1.500000e-04	6.737900e-01
2.000000e-04	1.013600e+00
2.500000e-04	1.227900e+00
3.000000e-04	1.371000e+00
3.500000e-04	1.469700e+00
4.000000e-04	1.565100e+00
4.500000e-04	1.656500e+00
5.000000e-04	1.727700e+00
5.500000e-04	1.783700e+00
6.000000e-04	1.828000e+00
6.500000e-04	1.863100e+00
7.000000e-04	1.890900e+00
7.500000e-04	1.912900e+00
8.000000e-04	1.930200e+00
8.500000e-04	1.943500e+00
9.000000e-04	1.953700e+00
9.500000e-04	1.961100e+00
1.000000e-03	1.966300e+00
1.500000e-03	1.949600e+00
2.000000e-03	1.885700e+00
2.500000e-03	1.813400e+00
3.000000e-03	1.743000e+00
3.500000e-03	1.677100e+00
4.000000e-03	1.616400e+00
4.500000e-03	1.560600e+00
5.000000e-03	1.509300e+00
5.500000e-03	1.462000e+00
6.000000e-03	1.418400e+00
6.500000e-03	1.377900e+00
7.000000e-03	1.340200e+00
7.500000e-03	1.305000e+00
8.000000e-03	1.272100e+00
8.500000e-03	1.241300e+00
9.000000e-03	1.212200e+00
9.500000e-03	1.184900e+00
1.000000e-02	1.159000e+00
1.500000e-02	9.602000e-01
2.000000e-02	8.282700e-01
2.500000e-02	7.327800e-01
3.000000e-02	6.597600e-01
3.500000e-02	6.017300e-01
4.000000e-02	5.542900e-01
4.500000e-02	5.146600e-01
5.000000e-02	4.809500e-01
5.500000e-02	4.517700e-01
6.000000e-02	4.263100e-01
6.500000e-02	4.038900e-01
7.000000e-02	3.839700e-01
7.500000e-02	3.661400e-01
8.000000e-02	3.500800e-01
8.500000e-02	3.355100e-01
9.000000e-02	3.222400e-01
9.500000e-02	3.100900e-01
1.000000e-01	2.989100e-01
1.500000e-01	2.220300e-01
2.000000e-01	1.783800e-01
2.500000e-01	1.500100e-01
3.000000e-01	1.299400e-01
3.500000e-01	1.148900e-01
4.000000e-01	1.029300e-01
4.500000e-01	9.334800e-02
5.000000e-01	8.548600e-02
5.500000e-01	7.895300e-02
6.000000e-01	7.343200e-02
6.500000e-01	6.869300e-02
7.000000e-01	6.457800e-02
7.500000e-01	6.096700e-02
8.000000e-01	5.777200e-02
8.500000e-01	5.492300e-02
9.000000e-01	5.236500e-02
9.500000e-01	5.005500e-02
1.000000e+00	4.795700e-02
1.500000e+00	3.418500e-02
2.000000e+00	2.639200e-02
2.500000e+00	2.154600e-02
3.000000e+00	1.824700e-02
3.500000e+00	1.588200e-02
4.000000e+00	1.414000e-02
4.500000e+00	1.277100e-02
5.000000e+00	1.164900e-02
5.500000e+00	1.072300e-02
6.000000e+00	9.950000e-03
6.500000e+00	9.295700e-03
7.000000e+00	8.734400e-03
7.500000e+00	8.246600e-03
8.000000e+00	7.817900e-03
8.500000e+00	7.437100e-03
9.000000e+00	7.096100e-03
9.500000e+00	6.788600e-03
1.000000e+01	6.509800e-03
1.500000e+01	4.707200e-03
2.000000e+01	3.790000e-03
2.500000e+01	3.226500e-03
3.000000e+01	2.835400e-03
3.500000e+01	2.542900e-03
4.000000e+01	2.314000e-03
4.500000e+01	2.129900e-03
5.000000e+01	1.978600e-03
5.500000e+01	1.851800e-03
6.000000e+01	1.743700e-03
6.500000e+01	1.650200e-03
7.000000e+01	1.568100e-03
7.500000e+01	1.495200e-03
8.000000e+01	1.429800e-03
8.500000e+01	1.370700e-03
9.000000e+01	1.316900e-03
9.500000e+01	1.267700e-03
1.000000e+02	1.222400e-03
1.500000e+02	9.174700e-04
2.000000e+02	7.629600e-04
2.500000e+02	6.768300e-04
3.000000e+02	6.237000e-04
3.500000e+02	5.876300e-04
4.000000e+02	5.613300e-04
4.500000e+02	5.413600e-04
5.000000e+02	5.259700e-04
5.500000e+02	5.140500e-04
6.000000e+02	5.047300e-04
6.500000e+02	4.972000e-04
7.000000e+02	4.907500e-04
7.500000e+02	4.847900e-04
8.000000e+02	4.789700e-04
8.500000e+02	4.732000e-04
9.000000e+02	4.677700e-04
9.500000e+02	4.633500e-04
1.000000e+03	4.610300e-04
