# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	1.791900e-06
2.000000e-01	4.710700e-06
2.500000e-01	6.601700e-06
3.000000e-01	7.948200e-06
3.500000e-01	9.010100e-06
4.000000e-01	9.904600e-06
4.500000e-01	1.069100e-05
5.000000e-01	1.140200e-05
5.500000e-01	1.304100e-05
6.000000e-01	1.497400e-05
6.500000e-01	1.697200e-05
7.000000e-01	1.896300e-05
7.500000e-01	2.090700e-05
8.000000e-01	2.278100e-05
8.500000e-01	2.457700e-05
9.000000e-01	2.629000e-05
9.500000e-01	2.792300e-05
1.000000e+00	2.947700e-05
1.500000e+00	4.163600e-05
2.000000e+00	4.993200e-05
2.500000e+00	5.615300e-05
3.000000e+00	6.111100e-05
3.500000e+00	6.522100e-05
4.000000e+00	6.872600e-05
4.500000e+00	7.177500e-05
5.000000e+00	7.447000e-05
5.500000e+00	7.687900e-05
6.000000e+00	7.905400e-05
6.500000e+00	8.103300e-05
7.000000e+00	8.284500e-05
7.500000e+00	8.451300e-05
8.000000e+00	8.605700e-05
8.500000e+00	8.749000e-05
9.000000e+00	8.882600e-05
9.500000e+00	9.007400e-05
1.000000e+01	9.124300e-05
1.500000e+01	9.985200e-05
2.000000e+01	1.050100e-04
2.500000e+01	1.082200e-04
3.000000e+01	1.102300e-04
3.500000e+01	1.114500e-04
4.000000e+01	1.121300e-04
4.500000e+01	1.124600e-04
5.000000e+01	1.125500e-04
5.500000e+01	1.124900e-04
6.000000e+01	1.123400e-04
6.500000e+01	1.121300e-04
7.000000e+01	1.118800e-04
7.500000e+01	1.116200e-04
8.000000e+01	1.113600e-04
8.500000e+01	1.111000e-04
9.000000e+01	1.108500e-04
9.500000e+01	1.106100e-04
1.000000e+02	1.103800e-04
