# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.160100e-01
1.500000e-04	7.537800e-01
2.000000e-04	1.154700e+00
2.500000e-04	1.419800e+00
3.000000e-04	1.605800e+00
3.500000e-04	1.741300e+00
4.000000e-04	1.842300e+00
4.500000e-04	1.935300e+00
5.000000e-04	2.015000e+00
5.500000e-04	2.078500e+00
6.000000e-04	2.129600e+00
6.500000e-04	2.170700e+00
7.000000e-04	2.203900e+00
7.500000e-04	2.230600e+00
8.000000e-04	2.251900e+00
8.500000e-04	2.268800e+00
9.000000e-04	2.282000e+00
9.500000e-04	2.292100e+00
1.000000e-03	2.299600e+00
1.500000e-03	2.290500e+00
2.000000e-03	2.219500e+00
2.500000e-03	2.134700e+00
3.000000e-03	2.050000e+00
3.500000e-03	1.969600e+00
4.000000e-03	1.895000e+00
4.500000e-03	1.826100e+00
5.000000e-03	1.762600e+00
5.500000e-03	1.704000e+00
6.000000e-03	1.649900e+00
6.500000e-03	1.599700e+00
7.000000e-03	1.553100e+00
7.500000e-03	1.509700e+00
8.000000e-03	1.469100e+00
8.500000e-03	1.431100e+00
9.000000e-03	1.395400e+00
9.500000e-03	1.361900e+00
1.000000e-02	1.330200e+00
1.500000e-02	1.089500e+00
2.000000e-02	9.325900e-01
2.500000e-02	8.204800e-01
3.000000e-02	7.356000e-01
3.500000e-02	6.686700e-01
4.000000e-02	6.143000e-01
4.500000e-02	5.690900e-01
5.000000e-02	5.308200e-01
5.500000e-02	4.978500e-01
6.000000e-02	4.691700e-01
6.500000e-02	4.439800e-01
7.000000e-02	4.216400e-01
7.500000e-02	4.016700e-01
8.000000e-02	3.837100e-01
8.500000e-02	3.674500e-01
9.000000e-02	3.526400e-01
9.500000e-02	3.391100e-01
1.000000e-01	3.266700e-01
1.500000e-01	2.414100e-01
2.000000e-01	1.934700e-01
2.500000e-01	1.625600e-01
3.000000e-01	1.408100e-01
3.500000e-01	1.245900e-01
4.000000e-01	1.119800e-01
4.500000e-01	1.018000e-01
5.000000e-01	9.310200e-02
5.500000e-01	8.583900e-02
6.000000e-01	7.967900e-02
6.500000e-01	7.438500e-02
7.000000e-01	6.978900e-02
7.500000e-01	6.577800e-02
8.000000e-01	6.223400e-02
8.500000e-01	5.907700e-02
9.000000e-01	5.624600e-02
9.500000e-01	5.369300e-02
1.000000e+00	5.137600e-02
1.500000e+00	3.623600e-02
2.000000e+00	2.827200e-02
2.500000e+00	2.310400e-02
3.000000e+00	1.955700e-02
3.500000e+00	1.701400e-02
4.000000e+00	1.514700e-02
4.500000e+00	1.369900e-02
5.000000e+00	1.253100e-02
5.500000e+00	1.157000e-02
6.000000e+00	1.076800e-02
6.500000e+00	1.008800e-02
7.000000e+00	9.504800e-03
7.500000e+00	8.998000e-03
8.000000e+00	8.553500e-03
8.500000e+00	8.160600e-03
9.000000e+00	7.810700e-03
9.500000e+00	7.497300e-03
1.000000e+01	7.215100e-03
1.500000e+01	5.442400e-03
2.000000e+01	4.552000e-03
2.500000e+01	3.983700e-03
3.000000e+01	3.575900e-03
3.500000e+01	3.267900e-03
4.000000e+01	3.028500e-03
4.500000e+01	2.838100e-03
5.000000e+01	2.683200e-03
5.500000e+01	2.553900e-03
6.000000e+01	2.443500e-03
6.500000e+01	2.346900e-03
7.000000e+01	2.260800e-03
7.500000e+01	2.182800e-03
8.000000e+01	2.111300e-03
8.500000e+01	2.045200e-03
9.000000e+01	1.983600e-03
9.500000e+01	1.926100e-03
1.000000e+02	1.872300e-03
1.500000e+02	1.492500e-03
2.000000e+02	1.301900e-03
2.500000e+02	1.202300e-03
3.000000e+02	1.142300e-03
3.500000e+02	1.099900e-03
4.000000e+02	1.067200e-03
4.500000e+02	1.042000e-03
5.000000e+02	1.023500e-03
5.500000e+02	1.010900e-03
6.000000e+02	1.002600e-03
6.500000e+02	9.968500e-04
7.000000e+02	9.915400e-04
7.500000e+02	9.851100e-04
8.000000e+02	9.767800e-04
8.500000e+02	9.668900e-04
9.000000e+02	9.571500e-04
9.500000e+02	9.507100e-04
1.000000e+03	9.522800e-04
