# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	9.689600e-07
2.500000e-01	2.292300e-06
3.000000e-01	3.221100e-06
3.500000e-01	3.947100e-06
4.000000e-01	4.555100e-06
4.500000e-01	5.088000e-06
5.000000e-01	5.789500e-06
5.500000e-01	6.470300e-06
6.000000e-01	7.128000e-06
6.500000e-01	7.764100e-06
7.000000e-01	8.391900e-06
7.500000e-01	9.235700e-06
8.000000e-01	1.013100e-05
8.500000e-01	1.105800e-05
9.000000e-01	1.200200e-05
9.500000e-01	1.295300e-05
1.000000e+00	1.390500e-05
1.500000e+00	2.273400e-05
2.000000e+00	2.995100e-05
2.500000e+00	3.585600e-05
3.000000e+00	4.079900e-05
3.500000e+00	4.502400e-05
4.000000e+00	4.870100e-05
4.500000e+00	5.194600e-05
5.000000e+00	5.484200e-05
5.500000e+00	5.745300e-05
6.000000e+00	5.982500e-05
6.500000e+00	6.199500e-05
7.000000e+00	6.399100e-05
7.500000e+00	6.583600e-05
8.000000e+00	6.755100e-05
8.500000e+00	6.914800e-05
9.000000e+00	7.064300e-05
9.500000e+00	7.204500e-05
1.000000e+01	7.336400e-05
1.500000e+01	8.331000e-05
2.000000e+01	8.966400e-05
2.500000e+01	9.403500e-05
3.000000e+01	9.715700e-05
3.500000e+01	9.943500e-05
4.000000e+01	1.011200e-04
4.500000e+01	1.023600e-04
5.000000e+01	1.032900e-04
5.500000e+01	1.039700e-04
6.000000e+01	1.044800e-04
6.500000e+01	1.048500e-04
7.000000e+01	1.051200e-04
7.500000e+01	1.053000e-04
8.000000e+01	1.054300e-04
8.500000e+01	1.055100e-04
9.000000e+01	1.055600e-04
9.500000e+01	1.055800e-04
1.000000e+02	1.055800e-04
