# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	1.452400e-06
2.000000e-01	3.011100e-06
2.500000e-01	4.634200e-06
3.000000e-01	5.775600e-06
3.500000e-01	6.671400e-06
4.000000e-01	7.425700e-06
4.500000e-01	8.090000e-06
5.000000e-01	8.692700e-06
5.500000e-01	9.250100e-06
6.000000e-01	9.772500e-06
6.500000e-01	1.026700e-05
7.000000e-01	1.073700e-05
7.500000e-01	1.118800e-05
8.000000e-01	1.162000e-05
8.500000e-01	1.222800e-05
9.000000e-01	1.292500e-05
9.500000e-01	1.366900e-05
1.000000e+00	1.444600e-05
1.500000e+00	2.249000e-05
2.000000e+00	2.956800e-05
2.500000e+00	3.548600e-05
3.000000e+00	4.048200e-05
3.500000e+00	4.476900e-05
4.000000e+00	4.850500e-05
4.500000e+00	5.180400e-05
5.000000e+00	5.475000e-05
5.500000e+00	5.740500e-05
6.000000e+00	5.981700e-05
6.500000e+00	6.202200e-05
7.000000e+00	6.405100e-05
7.500000e+00	6.592600e-05
8.000000e+00	6.766600e-05
8.500000e+00	6.928800e-05
9.000000e+00	7.080500e-05
9.500000e+00	7.222700e-05
1.000000e+01	7.356500e-05
1.500000e+01	8.363500e-05
2.000000e+01	9.005200e-05
2.500000e+01	9.445400e-05
3.000000e+01	9.759100e-05
3.500000e+01	9.987100e-05
4.000000e+01	1.015500e-04
4.500000e+01	1.027800e-04
5.000000e+01	1.037000e-04
5.500000e+01	1.043700e-04
6.000000e+01	1.048700e-04
6.500000e+01	1.052200e-04
7.000000e+01	1.054800e-04
7.500000e+01	1.056500e-04
8.000000e+01	1.057700e-04
8.500000e+01	1.058400e-04
9.000000e+01	1.058700e-04
9.500000e+01	1.058900e-04
1.000000e+02	1.058800e-04
