# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	5.354400e-01
2.000000e-04	1.381100e+00
2.500000e-04	1.933700e+00
3.000000e-04	2.312400e+00
3.500000e-04	2.609100e+00
4.000000e-04	2.833700e+00
4.500000e-04	3.003200e+00
5.000000e-04	3.132700e+00
5.500000e-04	3.232400e+00
6.000000e-04	3.309500e+00
6.500000e-04	3.368900e+00
7.000000e-04	3.414500e+00
7.500000e-04	3.449100e+00
8.000000e-04	3.474800e+00
8.500000e-04	3.493300e+00
9.000000e-04	3.505800e+00
9.500000e-04	3.513500e+00
1.000000e-03	3.517200e+00
1.500000e-03	3.434700e+00
2.000000e-03	3.278000e+00
2.500000e-03	3.115300e+00
3.000000e-03	2.962400e+00
3.500000e-03	2.822800e+00
4.000000e-03	2.696300e+00
4.500000e-03	2.581700e+00
5.000000e-03	2.477600e+00
5.500000e-03	2.382700e+00
6.000000e-03	2.295800e+00
6.500000e-03	2.216000e+00
7.000000e-03	2.142400e+00
7.500000e-03	2.074300e+00
8.000000e-03	2.011100e+00
8.500000e-03	1.952200e+00
9.000000e-03	1.897300e+00
9.500000e-03	1.845800e+00
1.000000e-02	1.797400e+00
1.500000e-02	1.436700e+00
2.000000e-02	1.208300e+00
2.500000e-02	1.048800e+00
3.000000e-02	9.300300e-01
3.500000e-02	8.377600e-01
4.000000e-02	7.637000e-01
4.500000e-02	7.027800e-01
5.000000e-02	6.516700e-01
5.500000e-02	6.078100e-01
6.000000e-02	5.699300e-01
6.500000e-02	5.369200e-01
7.000000e-02	5.078700e-01
7.500000e-02	4.820700e-01
8.000000e-02	4.590000e-01
8.500000e-02	4.382200e-01
9.000000e-02	4.194000e-01
9.500000e-02	4.022700e-01
1.000000e-01	3.865800e-01
1.500000e-01	2.808100e-01
2.000000e-01	2.220400e-01
2.500000e-01	1.845000e-01
3.000000e-01	1.585600e-01
3.500000e-01	1.393700e-01
4.000000e-01	1.246300e-01
4.500000e-01	1.129100e-01
5.000000e-01	1.033600e-01
5.500000e-01	9.540800e-02
6.000000e-01	8.868500e-02
6.500000e-01	8.289400e-02
7.000000e-01	7.784700e-02
7.500000e-01	7.342300e-02
8.000000e-01	6.935000e-02
8.500000e-01	6.563200e-02
9.000000e-01	6.230400e-02
9.500000e-01	5.930800e-02
1.000000e+00	5.659500e-02
1.500000e+00	3.901700e-02
2.000000e+00	2.991400e-02
2.500000e+00	2.432300e-02
3.000000e+00	2.053000e-02
3.500000e+00	1.780000e-02
4.000000e+00	1.583300e-02
4.500000e+00	1.430300e-02
5.000000e+00	1.304000e-02
5.500000e+00	1.201900e-02
6.000000e+00	1.119500e-02
6.500000e+00	1.051100e-02
7.000000e+00	9.928100e-03
7.500000e+00	9.423200e-03
8.000000e+00	8.981300e-03
8.500000e+00	8.591300e-03
9.000000e+00	8.244800e-03
9.500000e+00	7.935000e-03
1.000000e+01	7.657000e-03
1.500000e+01	5.954500e-03
2.000000e+01	5.188300e-03
2.500000e+01	4.770500e-03
3.000000e+01	4.493600e-03
3.500000e+01	4.275900e-03
4.000000e+01	4.089200e-03
4.500000e+01	3.925300e-03
5.000000e+01	3.781700e-03
5.500000e+01	3.656900e-03
6.000000e+01	3.549000e-03
6.500000e+01	3.456200e-03
7.000000e+01	3.376200e-03
7.500000e+01	3.307300e-03
8.000000e+01	3.247500e-03
8.500000e+01	3.195300e-03
9.000000e+01	3.149300e-03
9.500000e+01	3.108400e-03
1.000000e+02	3.071600e-03
1.500000e+02	2.814100e-03
2.000000e+02	2.644500e-03
2.500000e+02	2.545900e-03
3.000000e+02	2.512000e-03
3.500000e+02	2.525200e-03
4.000000e+02	2.567000e-03
4.500000e+02	2.622400e-03
5.000000e+02	2.680900e-03
5.500000e+02	2.736100e-03
6.000000e+02	2.784800e-03
6.500000e+02	2.825700e-03
7.000000e+02	2.858800e-03
7.500000e+02	2.884700e-03
8.000000e+02	2.903600e-03
8.500000e+02	2.915800e-03
9.000000e+02	2.921200e-03
9.500000e+02	2.919100e-03
1.000000e+03	2.909100e-03
