# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	5.935200e-06
2.000000e-01	8.656200e-06
2.500000e-01	1.027000e-05
3.000000e-01	1.141600e-05
3.500000e-01	1.232700e-05
4.000000e-01	1.310500e-05
4.500000e-01	1.379800e-05
5.000000e-01	1.443500e-05
5.500000e-01	1.503000e-05
6.000000e-01	1.559200e-05
6.500000e-01	1.612700e-05
7.000000e-01	1.664000e-05
7.500000e-01	1.740100e-05
8.000000e-01	1.823900e-05
8.500000e-01	1.911900e-05
9.000000e-01	2.002600e-05
9.500000e-01	2.094900e-05
1.000000e+00	2.187800e-05
1.500000e+00	3.068800e-05
2.000000e+00	3.803300e-05
2.500000e+00	4.409600e-05
3.000000e+00	4.919800e-05
3.500000e+00	5.357700e-05
4.000000e+00	5.739900e-05
4.500000e+00	6.077900e-05
5.000000e+00	6.380400e-05
5.500000e+00	6.653500e-05
6.000000e+00	6.902200e-05
6.500000e+00	7.130100e-05
7.000000e+00	7.340100e-05
7.500000e+00	7.534600e-05
8.000000e+00	7.715600e-05
8.500000e+00	7.884600e-05
9.000000e+00	8.043000e-05
9.500000e+00	8.191800e-05
1.000000e+01	8.332100e-05
1.500000e+01	9.399700e-05
2.000000e+01	1.009500e-04
2.500000e+01	1.058300e-04
3.000000e+01	1.093900e-04
3.500000e+01	1.120400e-04
4.000000e+01	1.140300e-04
4.500000e+01	1.155400e-04
5.000000e+01	1.166800e-04
5.500000e+01	1.175500e-04
6.000000e+01	1.182100e-04
6.500000e+01	1.187100e-04
7.000000e+01	1.190700e-04
7.500000e+01	1.193500e-04
8.000000e+01	1.195400e-04
8.500000e+01	1.196800e-04
9.000000e+01	1.197700e-04
9.500000e+01	1.198300e-04
1.000000e+02	1.198600e-04
