# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	6.484500e-07
2.500000e-01	2.069200e-06
3.000000e-01	5.334400e-06
3.500000e-01	8.027200e-06
4.000000e-01	1.035000e-05
4.500000e-01	1.241700e-05
5.000000e-01	1.429400e-05
5.500000e-01	1.602400e-05
6.000000e-01	1.763700e-05
6.500000e-01	1.915100e-05
7.000000e-01	2.058200e-05
7.500000e-01	2.194100e-05
8.000000e-01	2.323500e-05
8.500000e-01	2.447300e-05
9.000000e-01	2.565900e-05
9.500000e-01	2.679900e-05
1.000000e+00	2.789600e-05
1.500000e+00	3.710100e-05
2.000000e+00	4.415700e-05
2.500000e+00	4.987700e-05
3.000000e+00	5.467500e-05
3.500000e+00	5.879900e-05
4.000000e+00	6.240600e-05
4.500000e+00	6.560600e-05
5.000000e+00	6.847700e-05
5.500000e+00	7.107500e-05
6.000000e+00	7.344600e-05
6.500000e+00	7.562200e-05
7.000000e+00	7.763000e-05
7.500000e+00	7.949400e-05
8.000000e+00	8.122900e-05
8.500000e+00	8.285200e-05
9.000000e+00	8.437400e-05
9.500000e+00	8.580500e-05
1.000000e+01	8.715500e-05
1.500000e+01	9.745300e-05
2.000000e+01	1.041800e-04
2.500000e+01	1.089100e-04
3.000000e+01	1.123800e-04
3.500000e+01	1.149800e-04
4.000000e+01	1.169500e-04
4.500000e+01	1.184600e-04
5.000000e+01	1.196200e-04
5.500000e+01	1.205200e-04
6.000000e+01	1.212100e-04
6.500000e+01	1.217400e-04
7.000000e+01	1.221500e-04
7.500000e+01	1.224600e-04
8.000000e+01	1.227000e-04
8.500000e+01	1.228800e-04
9.000000e+01	1.230100e-04
9.500000e+01	1.231000e-04
1.000000e+02	1.231700e-04
