# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	3.899500e-01
2.000000e-04	1.170800e+00
2.500000e-04	1.788000e+00
3.000000e-04	2.219100e+00
3.500000e-04	2.533100e+00
4.000000e-04	2.768200e+00
4.500000e-04	2.948000e+00
5.000000e-04	3.087300e+00
5.500000e-04	3.196500e+00
6.000000e-04	3.282400e+00
6.500000e-04	3.350200e+00
7.000000e-04	3.403700e+00
7.500000e-04	3.445700e+00
8.000000e-04	3.478400e+00
8.500000e-04	3.503500e+00
9.000000e-04	3.522200e+00
9.500000e-04	3.535700e+00
1.000000e-03	3.544900e+00
1.500000e-03	3.502300e+00
2.000000e-03	3.368000e+00
2.500000e-03	3.217900e+00
3.000000e-03	3.072000e+00
3.500000e-03	2.935900e+00
4.000000e-03	2.810800e+00
4.500000e-03	2.696200e+00
5.000000e-03	2.591200e+00
5.500000e-03	2.494900e+00
6.000000e-03	2.406300e+00
6.500000e-03	2.324600e+00
7.000000e-03	2.248900e+00
7.500000e-03	2.178700e+00
8.000000e-03	2.113300e+00
8.500000e-03	2.052200e+00
9.000000e-03	1.995100e+00
9.500000e-03	1.941500e+00
1.000000e-02	1.891200e+00
1.500000e-02	1.513400e+00
2.000000e-02	1.272900e+00
2.500000e-02	1.104500e+00
3.000000e-02	9.791000e-01
3.500000e-02	8.816200e-01
4.000000e-02	8.033800e-01
4.500000e-02	7.390300e-01
5.000000e-02	6.850500e-01
5.500000e-02	6.387500e-01
6.000000e-02	5.987800e-01
6.500000e-02	5.639400e-01
7.000000e-02	5.332900e-01
7.500000e-02	5.060800e-01
8.000000e-02	4.817400e-01
8.500000e-02	4.598300e-01
9.000000e-02	4.400000e-01
9.500000e-02	4.219400e-01
1.000000e-01	4.054300e-01
1.500000e-01	2.941300e-01
2.000000e-01	2.322700e-01
2.500000e-01	1.928200e-01
3.000000e-01	1.655300e-01
3.500000e-01	1.454800e-01
4.000000e-01	1.300700e-01
4.500000e-01	1.178400e-01
5.000000e-01	1.078600e-01
5.500000e-01	9.957100e-02
6.000000e-01	9.255500e-02
6.500000e-01	8.653600e-02
7.000000e-01	8.108400e-02
7.500000e-01	7.617100e-02
8.000000e-01	7.183900e-02
8.500000e-01	6.798900e-02
9.000000e-01	6.454300e-02
9.500000e-01	6.144100e-02
1.000000e+00	5.863300e-02
1.500000e+00	4.044000e-02
2.000000e+00	3.101900e-02
2.500000e+00	2.523100e-02
3.000000e+00	2.130300e-02
3.500000e+00	1.846400e-02
4.000000e+00	1.640100e-02
4.500000e+00	1.483000e-02
5.000000e+00	1.357100e-02
5.500000e+00	1.253300e-02
6.000000e+00	1.166900e-02
6.500000e+00	1.094500e-02
7.000000e+00	1.033400e-02
7.500000e+00	9.814800e-03
8.000000e+00	9.366700e-03
8.500000e+00	8.975300e-03
9.000000e+00	8.629400e-03
9.500000e+00	8.320700e-03
1.000000e+01	8.043300e-03
1.500000e+01	6.324500e-03
2.000000e+01	5.575300e-03
2.500000e+01	5.178600e-03
3.000000e+01	4.898900e-03
3.500000e+01	4.661600e-03
4.000000e+01	4.451300e-03
4.500000e+01	4.267800e-03
5.000000e+01	4.111000e-03
5.500000e+01	3.979000e-03
6.000000e+01	3.868300e-03
6.500000e+01	3.775100e-03
7.000000e+01	3.695700e-03
7.500000e+01	3.627100e-03
8.000000e+01	3.566600e-03
8.500000e+01	3.512300e-03
9.000000e+01	3.462600e-03
9.500000e+01	3.416500e-03
1.000000e+02	3.373000e-03
1.500000e+02	3.024400e-03
2.000000e+02	2.810000e-03
2.500000e+02	2.705300e-03
3.000000e+02	2.665300e-03
3.500000e+02	2.657300e-03
4.000000e+02	2.664900e-03
4.500000e+02	2.681700e-03
5.000000e+02	2.705800e-03
5.500000e+02	2.735300e-03
6.000000e+02	2.767400e-03
6.500000e+02	2.798000e-03
7.000000e+02	2.822300e-03
7.500000e+02	2.836300e-03
8.000000e+02	2.838000e-03
8.500000e+02	2.828900e-03
9.000000e+02	2.814500e-03
9.500000e+02	2.805200e-03
1.000000e+03	2.816600e-03
