# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	7.938700e-01
2.000000e-04	1.866700e+00
2.500000e-04	2.521300e+00
3.000000e-04	2.969600e+00
3.500000e-04	3.379900e+00
4.000000e-04	3.740200e+00
4.500000e-04	4.041400e+00
5.000000e-04	4.269700e+00
5.500000e-04	4.444000e+00
6.000000e-04	4.577400e+00
6.500000e-04	4.679200e+00
7.000000e-04	4.756300e+00
7.500000e-04	4.813800e+00
8.000000e-04	4.855700e+00
8.500000e-04	4.885000e+00
9.000000e-04	4.903900e+00
9.500000e-04	4.914500e+00
1.000000e-03	4.918100e+00
1.500000e-03	4.756300e+00
2.000000e-03	4.480600e+00
2.500000e-03	4.204600e+00
3.000000e-03	3.952100e+00
3.500000e-03	3.726400e+00
4.000000e-03	3.525600e+00
4.500000e-03	3.346600e+00
5.000000e-03	3.186300e+00
5.500000e-03	3.042200e+00
6.000000e-03	2.911900e+00
6.500000e-03	2.793400e+00
7.000000e-03	2.685300e+00
7.500000e-03	2.586300e+00
8.000000e-03	2.495000e+00
8.500000e-03	2.410800e+00
9.000000e-03	2.332700e+00
9.500000e-03	2.260100e+00
1.000000e-02	2.192400e+00
1.500000e-02	1.701200e+00
2.000000e-02	1.402800e+00
2.500000e-02	1.200100e+00
3.000000e-02	1.052300e+00
3.500000e-02	9.393600e-01
4.000000e-02	8.498800e-01
4.500000e-02	7.770800e-01
5.000000e-02	7.165600e-01
5.500000e-02	6.648000e-01
6.000000e-02	6.204200e-01
6.500000e-02	5.820400e-01
7.000000e-02	5.485000e-01
7.500000e-02	5.189100e-01
8.000000e-02	4.925900e-01
8.500000e-02	4.690100e-01
9.000000e-02	4.477600e-01
9.500000e-02	4.284900e-01
1.000000e-01	4.109400e-01
1.500000e-01	2.942800e-01
2.000000e-01	2.296800e-01
2.500000e-01	1.891900e-01
3.000000e-01	1.613900e-01
3.500000e-01	1.410500e-01
4.000000e-01	1.254900e-01
4.500000e-01	1.131500e-01
5.000000e-01	1.029600e-01
5.500000e-01	9.439400e-02
6.000000e-01	8.717600e-02
6.500000e-01	8.101100e-02
7.000000e-01	7.568200e-02
7.500000e-01	7.102900e-02
8.000000e-01	6.692800e-02
8.500000e-01	6.328700e-02
9.000000e-01	6.003100e-02
9.500000e-01	5.710100e-02
1.000000e+00	5.445100e-02
1.500000e+00	3.733000e-02
2.000000e+00	2.850600e-02
2.500000e+00	2.310300e-02
3.000000e+00	1.945100e-02
3.500000e+00	1.685500e-02
4.000000e+00	1.512300e-02
4.500000e+00	1.380900e-02
5.000000e+00	1.269700e-02
5.500000e+00	1.178600e-02
6.000000e+00	1.104300e-02
6.500000e+00	1.043000e-02
7.000000e+00	9.915800e-03
7.500000e+00	9.475500e-03
8.000000e+00	9.090900e-03
8.500000e+00	8.749400e-03
9.000000e+00	8.442100e-03
9.500000e+00	8.163600e-03
1.000000e+01	7.910200e-03
1.500000e+01	6.328500e-03
2.000000e+01	5.620600e-03
2.500000e+01	5.189900e-03
3.000000e+01	4.856100e-03
3.500000e+01	4.571200e-03
4.000000e+01	4.324800e-03
4.500000e+01	4.113700e-03
5.000000e+01	3.933500e-03
5.500000e+01	3.778800e-03
6.000000e+01	3.644200e-03
6.500000e+01	3.525000e-03
7.000000e+01	3.417600e-03
7.500000e+01	3.319300e-03
8.000000e+01	3.228100e-03
8.500000e+01	3.142900e-03
9.000000e+01	3.062700e-03
9.500000e+01	2.986900e-03
1.000000e+02	2.915300e-03
1.500000e+02	2.388800e-03
2.000000e+02	2.118900e-03
2.500000e+02	1.985300e-03
3.000000e+02	1.913500e-03
3.500000e+02	1.869100e-03
4.000000e+02	1.838900e-03
4.500000e+02	1.818800e-03
5.000000e+02	1.807100e-03
5.500000e+02	1.802300e-03
6.000000e+02	1.802100e-03
6.500000e+02	1.803500e-03
7.000000e+02	1.803700e-03
7.500000e+02	1.800300e-03
8.000000e+02	1.792200e-03
8.500000e+02	1.780300e-03
9.000000e+02	1.767400e-03
9.500000e+02	1.759100e-03
1.000000e+03	1.763300e-03
