# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	3.381000e+00
1.500000e-04	5.120800e+00
2.000000e-04	6.715000e+00
2.500000e-04	7.585700e+00
3.000000e-04	8.077100e+00
3.500000e-04	8.349800e+00
4.000000e-04	8.545700e+00
4.500000e-04	8.674800e+00
5.000000e-04	8.734800e+00
5.500000e-04	8.747200e+00
6.000000e-04	8.726400e+00
6.500000e-04	8.682000e+00
7.000000e-04	8.620900e+00
7.500000e-04	8.547900e+00
8.000000e-04	8.466600e+00
8.500000e-04	8.379600e+00
9.000000e-04	8.288700e+00
9.500000e-04	8.195400e+00
1.000000e-03	8.100800e+00
1.500000e-03	7.190900e+00
2.000000e-03	6.437900e+00
2.500000e-03	5.832800e+00
3.000000e-03	5.340300e+00
3.500000e-03	4.932300e+00
4.000000e-03	4.588500e+00
4.500000e-03	4.294500e+00
5.000000e-03	4.039900e+00
5.500000e-03	3.817100e+00
6.000000e-03	3.620200e+00
6.500000e-03	3.444700e+00
7.000000e-03	3.287200e+00
7.500000e-03	3.145100e+00
8.000000e-03	3.015900e+00
8.500000e-03	2.898100e+00
9.000000e-03	2.790000e+00
9.500000e-03	2.690500e+00
1.000000e-02	2.598600e+00
1.500000e-02	1.953800e+00
2.000000e-02	1.579200e+00
2.500000e-02	1.332200e+00
3.000000e-02	1.156100e+00
3.500000e-02	1.023100e+00
4.000000e-02	9.193200e-01
4.500000e-02	8.358300e-01
5.000000e-02	7.670600e-01
5.500000e-02	7.082600e-01
6.000000e-02	6.581900e-01
6.500000e-02	6.152000e-01
7.000000e-02	5.778300e-01
7.500000e-02	5.450500e-01
8.000000e-02	5.160200e-01
8.500000e-02	4.901400e-01
9.000000e-02	4.668500e-01
9.500000e-02	4.457200e-01
1.000000e-01	4.265400e-01
1.500000e-01	3.007300e-01
2.000000e-01	2.322800e-01
2.500000e-01	1.897000e-01
3.000000e-01	1.606500e-01
3.500000e-01	1.395100e-01
4.000000e-01	1.234200e-01
4.500000e-01	1.107500e-01
5.000000e-01	1.004900e-01
5.500000e-01	9.189800e-02
6.000000e-01	8.468400e-02
6.500000e-01	7.853700e-02
7.000000e-01	7.323600e-02
7.500000e-01	6.861500e-02
8.000000e-01	6.455100e-02
8.500000e-01	6.094800e-02
9.000000e-01	5.773200e-02
9.500000e-01	5.484300e-02
1.000000e+00	5.223400e-02
1.500000e+00	3.547200e-02
2.000000e+00	2.691600e-02
2.500000e+00	2.171300e-02
3.000000e+00	1.821100e-02
3.500000e+00	1.572300e-02
4.000000e+00	1.412000e-02
4.500000e+00	1.286500e-02
5.000000e+00	1.176000e-02
5.500000e+00	1.085500e-02
6.000000e+00	1.012500e-02
6.500000e+00	9.532400e-03
7.000000e+00	9.039900e-03
7.500000e+00	8.619500e-03
8.000000e+00	8.250100e-03
8.500000e+00	7.917200e-03
9.000000e+00	7.612400e-03
9.500000e+00	7.330700e-03
1.000000e+01	7.069600e-03
1.500000e+01	5.362300e-03
2.000000e+01	4.623000e-03
2.500000e+01	4.227100e-03
3.000000e+01	3.934000e-03
3.500000e+01	3.671500e-03
4.000000e+01	3.429900e-03
4.500000e+01	3.213100e-03
5.000000e+01	3.023700e-03
5.500000e+01	2.860100e-03
6.000000e+01	2.719100e-03
6.500000e+01	2.596600e-03
7.000000e+01	2.489100e-03
7.500000e+01	2.393500e-03
8.000000e+01	2.307400e-03
8.500000e+01	2.229200e-03
9.000000e+01	2.157300e-03
9.500000e+01	2.090800e-03
1.000000e+02	2.029000e-03
1.500000e+02	1.590600e-03
2.000000e+02	1.364000e-03
2.500000e+02	1.248800e-03
3.000000e+02	1.187600e-03
3.500000e+02	1.152600e-03
4.000000e+02	1.131600e-03
4.500000e+02	1.119100e-03
5.000000e+02	1.112600e-03
5.500000e+02	1.110400e-03
6.000000e+02	1.110700e-03
6.500000e+02	1.111800e-03
7.000000e+02	1.112100e-03
7.500000e+02	1.110100e-03
8.000000e+02	1.105500e-03
8.500000e+02	1.098400e-03
9.000000e+02	1.090600e-03
9.500000e+02	1.085100e-03
1.000000e+03	1.086200e-03
