# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	2.221700e-07
8.500000e-02	6.895900e-07
9.000000e-02	1.088900e-06
9.500000e-02	1.433000e-06
1.000000e-01	1.731800e-06
1.500000e-01	6.677700e-06
2.000000e-01	9.981200e-06
2.500000e-01	1.204700e-05
3.000000e-01	1.411900e-05
3.500000e-01	1.579500e-05
4.000000e-01	1.723600e-05
4.500000e-01	1.860500e-05
5.000000e-01	2.002500e-05
5.500000e-01	2.137300e-05
6.000000e-01	2.266100e-05
6.500000e-01	2.389600e-05
7.000000e-01	2.508300e-05
7.500000e-01	2.622600e-05
8.000000e-01	2.733000e-05
8.500000e-01	2.839600e-05
9.000000e-01	2.942800e-05
9.500000e-01	3.042800e-05
1.000000e+00	3.139700e-05
1.500000e+00	3.974400e-05
2.000000e+00	4.632000e-05
2.500000e+00	5.171800e-05
3.000000e+00	5.627900e-05
3.500000e+00	6.021600e-05
4.000000e+00	6.367000e-05
4.500000e+00	6.674100e-05
5.000000e+00	6.949900e-05
5.500000e+00	7.199800e-05
6.000000e+00	7.428000e-05
6.500000e+00	7.637600e-05
7.000000e+00	7.831100e-05
7.500000e+00	8.010600e-05
8.000000e+00	8.177800e-05
8.500000e+00	8.334200e-05
9.000000e+00	8.480800e-05
9.500000e+00	8.618800e-05
1.000000e+01	8.748800e-05
1.500000e+01	9.739900e-05
2.000000e+01	1.038600e-04
2.500000e+01	1.083900e-04
3.000000e+01	1.117100e-04
3.500000e+01	1.142000e-04
4.000000e+01	1.161100e-04
4.500000e+01	1.175800e-04
5.000000e+01	1.187200e-04
5.500000e+01	1.196100e-04
6.000000e+01	1.203200e-04
6.500000e+01	1.208700e-04
7.000000e+01	1.213100e-04
7.500000e+01	1.216600e-04
8.000000e+01	1.219400e-04
8.500000e+01	1.221600e-04
9.000000e+01	1.223400e-04
9.500000e+01	1.224800e-04
1.000000e+02	1.225900e-04
