# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.617000e+00
1.500000e-04	3.217100e+00
2.000000e-04	4.154800e+00
2.500000e-04	4.754300e+00
3.000000e-04	5.140300e+00
3.500000e-04	5.398800e+00
4.000000e-04	5.622200e+00
4.500000e-04	5.776800e+00
5.000000e-04	5.882400e+00
5.500000e-04	5.952100e+00
6.000000e-04	5.995200e+00
6.500000e-04	6.018000e+00
7.000000e-04	6.025400e+00
7.500000e-04	6.020800e+00
8.000000e-04	6.007000e+00
8.500000e-04	5.985900e+00
9.000000e-04	5.959100e+00
9.500000e-04	5.927800e+00
1.000000e-03	5.893100e+00
1.500000e-03	5.469700e+00
2.000000e-03	5.048200e+00
2.500000e-03	4.678600e+00
3.000000e-03	4.360800e+00
3.500000e-03	4.087000e+00
4.000000e-03	3.849100e+00
4.500000e-03	3.640700e+00
5.000000e-03	3.456500e+00
5.500000e-03	3.292500e+00
6.000000e-03	3.145300e+00
6.500000e-03	3.012500e+00
7.000000e-03	2.891900e+00
7.500000e-03	2.781900e+00
8.000000e-03	2.681000e+00
8.500000e-03	2.588100e+00
9.000000e-03	2.502300e+00
9.500000e-03	2.422700e+00
1.000000e-02	2.348600e+00
1.500000e-02	1.815400e+00
2.000000e-02	1.494400e+00
2.500000e-02	1.277200e+00
3.000000e-02	1.119400e+00
3.500000e-02	9.988400e-01
4.000000e-02	9.034900e-01
4.500000e-02	8.259600e-01
5.000000e-02	7.615600e-01
5.500000e-02	7.071200e-01
6.000000e-02	6.602100e-01
6.500000e-02	6.194000e-01
7.000000e-02	5.837300e-01
7.500000e-02	5.522400e-01
8.000000e-02	5.242300e-01
8.500000e-02	4.991700e-01
9.000000e-02	4.765900e-01
9.500000e-02	4.561300e-01
1.000000e-01	4.375100e-01
1.500000e-01	3.139000e-01
2.000000e-01	2.463800e-01
2.500000e-01	2.028200e-01
3.000000e-01	1.727600e-01
3.500000e-01	1.507900e-01
4.000000e-01	1.339900e-01
4.500000e-01	1.207100e-01
5.000000e-01	1.099300e-01
5.500000e-01	1.010000e-01
6.000000e-01	9.344200e-02
6.500000e-01	8.692400e-02
7.000000e-01	8.118900e-02
7.500000e-01	7.617200e-02
8.000000e-01	7.175400e-02
8.500000e-01	6.783100e-02
9.000000e-01	6.432400e-02
9.500000e-01	6.117000e-02
1.000000e+00	5.831700e-02
1.500000e+00	3.990600e-02
2.000000e+00	3.043500e-02
2.500000e+00	2.464400e-02
3.000000e+00	2.073100e-02
3.500000e+00	1.793100e-02
4.000000e+00	1.609000e-02
4.500000e+00	1.466500e-02
5.000000e+00	1.342600e-02
5.500000e+00	1.240200e-02
6.000000e+00	1.157000e-02
6.500000e+00	1.088900e-02
7.000000e+00	1.032200e-02
7.500000e+00	9.841300e-03
8.000000e+00	9.422500e-03
8.500000e+00	9.049800e-03
9.000000e+00	8.712500e-03
9.500000e+00	8.404000e-03
1.000000e+01	8.120200e-03
1.500000e+01	6.268400e-03
2.000000e+01	5.454700e-03
2.500000e+01	5.020600e-03
3.000000e+01	4.702200e-03
3.500000e+01	4.422200e-03
4.000000e+01	4.168800e-03
4.500000e+01	3.944000e-03
5.000000e+01	3.748500e-03
5.500000e+01	3.580400e-03
6.000000e+01	3.435800e-03
6.500000e+01	3.310600e-03
7.000000e+01	3.201300e-03
7.500000e+01	3.104400e-03
8.000000e+01	3.017500e-03
8.500000e+01	2.938700e-03
9.000000e+01	2.866200e-03
9.500000e+01	2.799100e-03
1.000000e+02	2.736500e-03
1.500000e+02	2.276200e-03
2.000000e+02	2.021400e-03
2.500000e+02	1.891500e-03
3.000000e+02	1.830600e-03
3.500000e+02	1.805300e-03
4.000000e+02	1.798400e-03
4.500000e+02	1.801400e-03
5.000000e+02	1.810200e-03
5.500000e+02	1.822500e-03
6.000000e+02	1.836300e-03
6.500000e+02	1.849200e-03
7.000000e+02	1.859000e-03
7.500000e+02	1.863900e-03
8.000000e+02	1.862900e-03
8.500000e+02	1.856600e-03
9.000000e+02	1.847700e-03
9.500000e+02	1.840900e-03
1.000000e+03	1.843400e-03
