# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	2.565400e-06
2.000000e-01	6.402700e-06
2.500000e-01	9.241600e-06
3.000000e-01	1.122500e-05
3.500000e-01	1.277700e-05
4.000000e-01	1.408300e-05
4.500000e-01	1.545900e-05
5.000000e-01	1.688200e-05
5.500000e-01	1.823500e-05
6.000000e-01	1.952900e-05
6.500000e-01	2.077100e-05
7.000000e-01	2.196700e-05
7.500000e-01	2.312100e-05
8.000000e-01	2.423600e-05
8.500000e-01	2.531400e-05
9.000000e-01	2.635900e-05
9.500000e-01	2.737200e-05
1.000000e+00	2.835600e-05
1.500000e+00	3.684700e-05
2.000000e+00	4.355400e-05
2.500000e+00	4.906100e-05
3.000000e+00	5.370800e-05
3.500000e+00	5.771100e-05
4.000000e+00	6.121500e-05
4.500000e+00	6.432100e-05
5.000000e+00	6.710200e-05
5.500000e+00	6.961300e-05
6.000000e+00	7.189800e-05
6.500000e+00	7.398800e-05
7.000000e+00	7.591100e-05
7.500000e+00	7.768800e-05
8.000000e+00	7.933600e-05
8.500000e+00	8.087100e-05
9.000000e+00	8.230400e-05
9.500000e+00	8.364700e-05
1.000000e+01	8.490700e-05
1.500000e+01	9.429600e-05
2.000000e+01	1.001600e-04
2.500000e+01	1.041200e-04
3.000000e+01	1.069400e-04
3.500000e+01	1.090000e-04
4.000000e+01	1.105500e-04
4.500000e+01	1.117300e-04
5.000000e+01	1.126400e-04
5.500000e+01	1.133500e-04
6.000000e+01	1.139100e-04
6.500000e+01	1.143500e-04
7.000000e+01	1.147000e-04
7.500000e+01	1.149800e-04
8.000000e+01	1.152000e-04
8.500000e+01	1.153800e-04
9.000000e+01	1.155300e-04
9.500000e+01	1.156500e-04
1.000000e+02	1.157400e-04
