# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	7.816700e-01
1.500000e-04	3.357900e+00
2.000000e-04	5.294900e+00
2.500000e-04	6.412900e+00
3.000000e-04	7.089700e+00
3.500000e-04	7.539600e+00
4.000000e-04	7.876800e+00
4.500000e-04	8.091300e+00
5.000000e-04	8.221700e+00
5.500000e-04	8.292800e+00
6.000000e-04	8.321400e+00
6.500000e-04	8.319200e+00
7.000000e-04	8.294500e+00
7.500000e-04	8.253000e+00
8.000000e-04	8.199300e+00
8.500000e-04	8.136500e+00
9.000000e-04	8.067100e+00
9.500000e-04	7.993000e+00
1.000000e-03	7.915500e+00
1.500000e-03	7.110900e+00
2.000000e-03	6.407000e+00
2.500000e-03	5.829200e+00
3.000000e-03	5.353800e+00
3.500000e-03	4.957000e+00
4.000000e-03	4.620900e+00
4.500000e-03	4.332500e+00
5.000000e-03	4.082000e+00
5.500000e-03	3.862000e+00
6.000000e-03	3.667300e+00
6.500000e-03	3.493400e+00
7.000000e-03	3.337100e+00
7.500000e-03	3.195800e+00
8.000000e-03	3.067200e+00
8.500000e-03	2.949800e+00
9.000000e-03	2.841900e+00
9.500000e-03	2.742500e+00
1.000000e-02	2.650500e+00
1.500000e-02	2.003000e+00
2.000000e-02	1.625100e+00
2.500000e-02	1.374600e+00
3.000000e-02	1.195000e+00
3.500000e-02	1.059400e+00
4.000000e-02	9.525800e-01
4.500000e-02	8.659100e-01
5.000000e-02	7.937400e-01
5.500000e-02	7.335200e-01
6.000000e-02	6.824300e-01
6.500000e-02	6.384900e-01
7.000000e-02	6.002800e-01
7.500000e-02	5.667000e-01
8.000000e-02	5.369600e-01
8.500000e-02	5.104000e-01
9.000000e-02	4.865400e-01
9.500000e-02	4.649700e-01
1.000000e-01	4.453700e-01
1.500000e-01	3.143300e-01
2.000000e-01	2.430400e-01
2.500000e-01	1.986400e-01
3.000000e-01	1.683300e-01
3.500000e-01	1.462600e-01
4.000000e-01	1.294600e-01
4.500000e-01	1.162100e-01
5.000000e-01	1.055000e-01
5.500000e-01	9.664700e-02
6.000000e-01	8.908300e-02
6.500000e-01	8.261800e-02
7.000000e-01	7.704200e-02
7.500000e-01	7.218300e-02
8.000000e-01	6.790900e-02
8.500000e-01	6.412100e-02
9.000000e-01	6.073900e-02
9.500000e-01	5.770100e-02
1.000000e+00	5.495700e-02
1.500000e+00	3.733600e-02
2.000000e+00	2.834200e-02
2.500000e+00	2.287300e-02
3.000000e+00	1.919300e-02
3.500000e+00	1.659600e-02
4.000000e+00	1.485500e-02
4.500000e+00	1.347900e-02
5.000000e+00	1.231000e-02
5.500000e+00	1.135600e-02
6.000000e+00	1.058300e-02
6.500000e+00	9.949400e-03
7.000000e+00	9.420700e-03
7.500000e+00	8.968700e-03
8.000000e+00	8.572300e-03
8.500000e+00	8.216900e-03
9.000000e+00	7.893300e-03
9.500000e+00	7.595800e-03
1.000000e+01	7.321200e-03
1.500000e+01	5.527100e-03
2.000000e+01	4.740200e-03
2.500000e+01	4.334900e-03
3.000000e+01	4.053900e-03
3.500000e+01	3.806300e-03
4.000000e+01	3.573000e-03
4.500000e+01	3.356700e-03
5.000000e+01	3.162200e-03
5.500000e+01	2.991000e-03
6.000000e+01	2.841900e-03
6.500000e+01	2.712300e-03
7.000000e+01	2.599400e-03
7.500000e+01	2.500300e-03
8.000000e+01	2.412600e-03
8.500000e+01	2.334300e-03
9.000000e+01	2.263800e-03
9.500000e+01	2.199800e-03
1.000000e+02	2.141200e-03
1.500000e+02	1.737400e-03
2.000000e+02	1.517800e-03
2.500000e+02	1.397800e-03
3.000000e+02	1.335600e-03
3.500000e+02	1.306900e-03
4.000000e+02	1.297000e-03
4.500000e+02	1.297100e-03
5.000000e+02	1.301400e-03
5.500000e+02	1.306800e-03
6.000000e+02	1.311500e-03
6.500000e+02	1.314900e-03
7.000000e+02	1.316900e-03
7.500000e+02	1.317600e-03
8.000000e+02	1.317300e-03
8.500000e+02	1.315800e-03
9.000000e+02	1.312900e-03
9.500000e+02	1.308100e-03
1.000000e+03	1.300700e-03
